candidate_id,candidate_type,game_id,game_pk,market_ticker,event_ticker,market_type,settlement_horizon,side,candidate_line_value,resolved_line_value,selected_team_abbr,status,blocked_reason,eligible_for_paper,created_at,inning,half_inning,outs,score_away_at_candidate,score_home_at_candidate,entry_yes_bid,entry_yes_ask,entry_side_price,spread_cents,overall_watch_score,trigger_event_type,trigger_description,final_away_score,final_home_score,final_total,game_status,game_is_final,f5_away_score,f5_home_score,f5_total,f5_innings_seen,f5_has_all_5,market_yes_means,market_no_means,market_contract_direction,market_semantics_confidence,market_is_semantics_clear,market_spread_value,market_line_value,settlement_status,settlement_reason,settled_yes_value,settled_side_value,hold_to_settle_win,hold_to_settle_pnl_cents,hold_to_settle_roi,market_inferred_yes,market_inferred_reason,market_inferred_avg_price,market_inferred_at,market_inferred_source,context_source,team_strength_metric,team_strength_col,team_strength_bucket,offense_metric,offense_col,offense_bucket,bullpen_risk_metric,bullpen_risk_col,bullpen_risk_bucket,l1_rpg_metric,l1_rpg_col,l1_rpg_bucket,l5_rpg_metric,l5_rpg_col,l5_rpg_bucket,l10_rpg_metric,l10_rpg_col,l10_rpg_bucket,scoring_form_metric,scoring_form_col,scoring_form_bucket,runs_needed_team_inferred,runs_needed_team_bucket,runs_needed_total_inferred,runs_needed_total_bucket
1277,full_game_total_extreme_reprice_watch,CLE@MIL,823775,KXMLBTOTAL-26JUN161940CLEMIL-3,KXMLBTOTAL-26JUN161940CLEMIL,full_game_total,full_game,NO,3.0,3.0,,blocked,rally_still_active,0,2026-06-16T20:56:26.503972,6,top,0,0,1,95,98,5,3,47.1,full_game_total_reprice,Full-game mid repriced +96c from neutral 50c after 1 scoring play(s),1,2,3,Final,1,0,1,1,"1,2,3,4,5",True,over,under,over_yes,1.0,1,,3.0,score_derived,yes_means_over_or_at_least_score_derived,100,0,0,-5,-1.0,,latest_market_price_not_settled,96.333,2026-06-17T04:47:15.038464+00:00,rest_batch,missing,,,missing,,,missing,,,missing,,,missing,,,missing,,,missing,,,missing,,missing,2.0,need_2
1278,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,5.0,NYM,blocked,team_lag_observe_only,0,2026-06-16T20:56:26.505420,6,top,0,1,5,20,24,24,4,56.9,trailing_team_total_lag,NYM trails 5-1 in inning 6; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-24,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,44.1,bullpen_risk_rating,slightly_low_40_50,0.0,l1_rpg,low_lt_3_5,4.2,l5_rpg,mid_3_5_4_5,3.7,l10_rpg,mid_3_5_4_5,,,missing,4.0,need_4,-1.0,need_0_1
1279,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-COL5,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,5.0,COL,blocked,wide_spread_hard_block: spread=54c > 12c,0,2026-06-16T20:56:26.506003,3,bottom,3,0,2,10,64,64,54,35.2,trailing_team_total_lag,COL trails 2-0 in inning 3; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,100,100,1,36,0.5625,100,latest_market_price_near_100,99.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,46.1,team_strength_rating,45_50,65.2,offense_rating,60_plus,51.0,bullpen_risk_rating,elevated_50_60,4.0,l1_rpg,mid_3_5_4_5,7.8,l5_rpg,very_high_5_5_plus,6.1,l10_rpg,very_high_5_5_plus,,,missing,5.0,need_5,3.0,need_3
1280,trailing_team_total_lag_watch,MIN@TEX,822888,KXMLBTEAMTOTAL-26JUN162005MINTEX-TEX4,KXMLBTEAMTOTAL-26JUN162005MINTEX,team_total,full_game,YES,,4.0,TEX,blocked,team_lag_observe_only,0,2026-06-16T20:57:26.517503,3,bottom,2,5,0,36,41,41,5,55.9,trailing_team_total_lag,TEX trails 5-0 in inning 3; team total may be lagging,12,2,14,Final,1,10,2,12,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-41,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,50.7,team_strength_rating,50_55,42.4,offense_rating,40_45,42.6,bullpen_risk_rating,slightly_low_40_50,2.0,l1_rpg,low_lt_3_5,3.2,l5_rpg,low_lt_3_5,3.8,l10_rpg,mid_3_5_4_5,,,missing,4.0,need_4,-1.0,need_0_1
1281,trailing_team_total_lag_watch,SD@STL,823045,KXMLBTEAMTOTAL-26JUN161945SDSTL-SD5,KXMLBTEAMTOTAL-26JUN161945SDSTL,team_total,full_game,YES,,5.0,SD,blocked,team_lag_observe_only,0,2026-06-16T20:57:26.518284,4,bottom,2,0,2,14,21,21,7,50.0,trailing_team_total_lag,SD trails 2-0 in inning 4; team total may be lagging,2,3,5,Final,1,1,3,4,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-21,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.5,team_strength_rating,45_50,46.9,offense_rating,45_50,41.3,bullpen_risk_rating,slightly_low_40_50,0.0,l1_rpg,low_lt_3_5,4.4,l5_rpg,mid_3_5_4_5,3.7,l10_rpg,mid_3_5_4_5,,,missing,5.0,need_5,3.0,need_3
1282,trailing_team_total_lag_watch,CWS@NYY,823535,KXMLBTEAMTOTAL-26JUN161905CWSNYY-CWS2,KXMLBTEAMTOTAL-26JUN161905CWSNYY,team_total,full_game,YES,,2.0,CWS,blocked,rally_still_active,0,2026-06-16T20:57:26.519251,6,top,1,1,11,69,78,78,9,41.5,trailing_team_total_lag,CWS trails 11-1 in inning 6; team total may be lagging,2,12,14,Final,1,1,11,12,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,100,100,1,22,0.2821,100,latest_market_price_near_100,99.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,52.5,team_strength_rating,50_55,53.2,offense_rating,50_55,45.5,bullpen_risk_rating,slightly_low_40_50,6.0,l1_rpg,very_high_5_5_plus,4.6,l5_rpg,high_4_5_5_5,5.2,l10_rpg,high_4_5_5_5,,,missing,1.0,need_0_1,-10.0,need_0_1
1283,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM8,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,8.0,NYM,blocked,team_lag_observe_only,0,2026-06-16T20:57:26.520873,6,top,1,1,5,7,8,8,1,61.9,trailing_team_total_lag,NYM trails 5-1 in inning 6; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-8,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,44.1,bullpen_risk_rating,slightly_low_40_50,0.0,l1_rpg,low_lt_3_5,4.2,l5_rpg,mid_3_5_4_5,3.7,l10_rpg,mid_3_5_4_5,,,missing,7.0,need_6_plus,2.0,need_2
1284,trailing_team_total_lag_watch,MIN@TEX,822888,KXMLBTEAMTOTAL-26JUN162005MINTEX-TEX4,KXMLBTEAMTOTAL-26JUN162005MINTEX,team_total,full_game,YES,,4.0,TEX,blocked,team_lag_observe_only,0,2026-06-16T20:58:26.533294,3,bottom,2,5,0,33,38,38,5,55.9,trailing_team_total_lag,TEX trails 5-0 in inning 3; team total may be lagging,12,2,14,Final,1,10,2,12,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-38,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,50.7,team_strength_rating,50_55,42.4,offense_rating,40_45,42.6,bullpen_risk_rating,slightly_low_40_50,2.0,l1_rpg,low_lt_3_5,3.2,l5_rpg,low_lt_3_5,3.8,l10_rpg,mid_3_5_4_5,,,missing,4.0,need_4,-1.0,need_0_1
1285,trailing_team_total_lag_watch,SD@STL,823045,KXMLBTEAMTOTAL-26JUN161945SDSTL-SD6,KXMLBTEAMTOTAL-26JUN161945SDSTL,team_total,full_game,YES,,6.0,SD,blocked,rally_still_active,0,2026-06-16T20:58:26.534145,4,bottom,2,0,2,9,15,15,6,52.5,trailing_team_total_lag,SD trails 2-0 in inning 4; team total may be lagging,2,3,5,Final,1,1,3,4,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-15,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.5,team_strength_rating,45_50,46.9,offense_rating,45_50,41.3,bullpen_risk_rating,slightly_low_40_50,0.0,l1_rpg,low_lt_3_5,4.4,l5_rpg,mid_3_5_4_5,3.7,l10_rpg,mid_3_5_4_5,,,missing,6.0,need_6_plus,4.0,need_4
1286,trailing_team_total_lag_watch,CWS@NYY,823535,KXMLBTEAMTOTAL-26JUN161905CWSNYY-CWS6,KXMLBTEAMTOTAL-26JUN161905CWSNYY,team_total,full_game,YES,,6.0,CWS,blocked,rally_still_active,0,2026-06-16T20:58:26.535593,6,top,1,1,11,10,13,13,3,58.8,trailing_team_total_lag,CWS trails 11-1 in inning 6; team total may be lagging,2,12,14,Final,1,1,11,12,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-13,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,52.5,team_strength_rating,50_55,53.2,offense_rating,50_55,45.5,bullpen_risk_rating,slightly_low_40_50,6.0,l1_rpg,very_high_5_5_plus,4.6,l5_rpg,high_4_5_5_5,5.2,l10_rpg,high_4_5_5_5,,,missing,5.0,need_5,-6.0,need_0_1
