l10_rpg_bucket,count,settled_count,wins,losses,win_rate,avg_pnl_cents,total_pnl_cents,total_risk_cents,roi_on_risk,avg_entry_price,avg_spread_cents
mid_3_5_4_5,399,399,104,295,0.2607,-21.431,-8551.0,18951.0,-0.4512,47.496,19.296
high_4_5_5_5,105,105,14,91,0.1333,-25.457,-2673.0,4073.0,-0.6563,38.79,12.857
missing,66,66,29,37,0.4394,8.045,531.0,2369.0,0.2241,35.894,1.576
low_lt_3_5,56,56,0,56,0.0,-35.036,-1962.0,1962.0,-1.0,35.036,10.804
very_high_5_5_plus,14,14,5,9,0.3571,5.714,80.0,420.0,0.1905,30.0,9.357
