candidate_type,l10_rpg_bucket,count,settled_count,wins,losses,win_rate,avg_pnl_cents,total_pnl_cents,total_risk_cents,roi_on_risk,avg_entry_price,avg_spread_cents
trailing_team_total_lag_watch,mid_3_5_4_5,399,399,104,295,0.2607,-21.431,-8551.0,18951.0,-0.4512,47.496,19.296
trailing_team_total_lag_watch,high_4_5_5_5,105,105,14,91,0.1333,-25.457,-2673.0,4073.0,-0.6563,38.79,12.857
trailing_team_total_lag_watch,low_lt_3_5,56,56,0,56,0.0,-35.036,-1962.0,1962.0,-1.0,35.036,10.804
full_game_total_extreme_reprice_watch,missing,53,53,29,24,0.5472,13.453,713.0,2187.0,0.326,41.264,1.717
trailing_team_total_lag_watch,very_high_5_5_plus,14,14,5,9,0.3571,5.714,80.0,420.0,0.1905,30.0,9.357
f5_total_overreaction_fade_watch,missing,13,13,0,13,0.0,-14.0,-182.0,182.0,-1.0,14.0,1.0
