l1_rpg_bucket,count,settled_count,wins,losses,win_rate,avg_pnl_cents,total_pnl_cents,total_risk_cents,roi_on_risk,avg_entry_price,avg_spread_cents
low_lt_3_5,377,377,104,273,0.2759,-19.027,-7173.0,17573.0,-0.4082,46.613,20.103
high_4_5_5_5,78,78,0,78,0.0,-42.821,-3340.0,3340.0,-1.0,42.821,9.295
very_high_5_5_plus,72,72,14,58,0.1944,-25.611,-1844.0,3244.0,-0.5684,45.056,14.125
missing,66,66,29,37,0.4394,8.045,531.0,2369.0,0.2241,35.894,1.576
mid_3_5_4_5,47,47,5,42,0.1064,-15.936,-749.0,1249.0,-0.5997,26.574,9.872
