market_ticker,market_type,game_id,away_team,home_team,parse_success,selected_team,run_line,is_f5,selected_is_away,selected_is_home,parse_note,snapshot_count,unique_mid_count,mid_min,mid_max,mid_range,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,market_liveness_label,score_at_first_snap,score_at_last_snap,stale_despite_score_change,flag_semantics_concern
KXMLBF5SPREAD-26JUN151910NYMCIN-CIN2,f5_spread,NYM@CIN,NYM,CIN,True,CIN,2,True,False,True,,161,2,34,88,54,695.29,454.29,False,stale,,0-12,False,False
KXMLBF5SPREAD-26JUN151910NYMCIN-CIN3,f5_spread,NYM@CIN,NYM,CIN,True,CIN,3,True,False,True,,161,2,22,96,74,695.29,454.29,False,stale,,0-12,False,False
KXMLBF5SPREAD-26JUN151840MIAPHI-MIA3,f5_spread,MIA@PHI,MIA,PHI,True,MIA,3,True,True,False,,161,1,9,9,0,700.23,700.23,False,stale,,0-7,False,False
KXMLBF5SPREAD-26JUN151840MIAPHI-PHI3,f5_spread,MIA@PHI,MIA,PHI,True,PHI,3,True,False,True,,161,1,27,27,0,700.23,700.23,False,stale,,0-7,False,False
KXMLBF5SPREAD-26JUN151840MIAPHI-PHI2,f5_spread,MIA@PHI,MIA,PHI,True,PHI,2,True,False,True,,161,1,39,39,0,700.23,700.23,False,stale,,0-7,False,False
KXMLBF5SPREAD-26JUN151840MIAPHI-MIA2,f5_spread,MIA@PHI,MIA,PHI,True,MIA,2,True,True,False,,161,1,17,17,0,700.23,700.23,False,stale,,0-7,False,False
KXMLBSPREAD-26JUN152210TBLAD-TB3,spread_run_line,TB@LAD,TB,LAD,True,TB,3,False,True,False,,158,2,19,20,1,695.29,454.29,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152210TBLAD-LAD3,spread_run_line,TB@LAD,TB,LAD,True,LAD,3,False,False,True,,158,2,32,34,2,694.18,469.08,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152210TBLAD-TB4,spread_run_line,TB@LAD,TB,LAD,True,TB,4,False,True,False,,158,2,13,14,1,694.18,469.08,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152210TBLAD-TB2,spread_run_line,TB@LAD,TB,LAD,True,TB,2,False,True,False,,158,3,27,29,2,689.24,241.0,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152210TBLAD-LAD2,spread_run_line,TB@LAD,TB,LAD,True,LAD,2,False,False,True,,158,3,43,45,2,689.24,241.0,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152210TBLAD-LAD4,spread_run_line,TB@LAD,TB,LAD,True,LAD,4,False,False,True,,158,2,23,25,2,694.18,469.08,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152140PITATH-ATH4,spread_run_line,PIT@ATH,PIT,ATH,True,ATH,4,False,False,True,,158,1,20,20,0,700.23,700.23,False,stale,,2-11,False,False
KXMLBSPREAD-26JUN152140PITATH-PIT4,spread_run_line,PIT@ATH,PIT,ATH,True,PIT,4,False,True,False,,158,2,20,21,1,659.18,459.23,False,stale,,2-11,False,False
KXMLBSPREAD-26JUN152140PITATH-PIT3,spread_run_line,PIT@ATH,PIT,ATH,True,PIT,3,False,True,False,,158,2,27,28,1,694.18,469.08,False,stale,,2-11,False,False
KXMLBSPREAD-26JUN152140PITATH-ATH3,spread_run_line,PIT@ATH,PIT,ATH,True,ATH,3,False,False,True,,158,1,27,27,0,700.23,700.23,False,stale,,2-11,False,False
KXMLBSPREAD-26JUN152140PITATH-PIT2,spread_run_line,PIT@ATH,PIT,ATH,True,PIT,2,False,True,False,,158,2,36,37,1,695.29,454.29,False,stale,,2-11,False,False
KXMLBSPREAD-26JUN152140PITATH-ATH2,spread_run_line,PIT@ATH,PIT,ATH,True,ATH,2,False,False,True,,158,2,36,37,1,694.18,469.08,False,stale,,2-11,False,False
KXMLBSPREAD-26JUN152140LAAAZ-AZ3,spread_run_line,LAA@AZ,LAA,AZ,True,AZ,3,False,False,True,,158,2,26,28,2,695.29,454.29,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152140LAAAZ-LAA4,spread_run_line,LAA@AZ,LAA,AZ,True,LAA,4,False,True,False,,158,2,17,18,1,695.29,454.29,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152140LAAAZ-LAA3,spread_run_line,LAA@AZ,LAA,AZ,True,LAA,3,False,True,False,,158,2,24,25,1,695.29,454.29,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152140LAAAZ-AZ4,spread_run_line,LAA@AZ,LAA,AZ,True,AZ,4,False,False,True,,158,1,19,19,0,700.23,700.23,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152140LAAAZ-LAA2,spread_run_line,LAA@AZ,LAA,AZ,True,LAA,2,False,True,False,,158,2,34,35,1,695.29,454.29,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152140LAAAZ-AZ2,spread_run_line,LAA@AZ,LAA,AZ,True,AZ,2,False,False,True,,158,3,36,39,3,654.24,454.29,False,stale,,3-4,False,False
KXMLBSPREAD-26JUN152010DETHOU-HOU4,spread_run_line,DET@HOU,DET,HOU,True,HOU,4,False,False,True,,158,4,2,19,17,648.19,225.1,True,live_responsive,,9-3,False,False
KXMLBSPREAD-26JUN152010DETHOU-DET4,spread_run_line,DET@HOU,DET,HOU,True,DET,4,False,True,False,,158,4,18,60,42,648.19,225.1,True,live_responsive,,9-3,False,False
KXMLBSPREAD-26JUN152010DETHOU-HOU3,spread_run_line,DET@HOU,DET,HOU,True,HOU,3,False,False,True,,158,3,4,26,22,654.24,454.29,True,live_responsive,,9-3,False,False
