market_ticker,market_type,game_id,away_team,home_team,first_snapshot_time,last_snapshot_time,snapshot_count,avg_seconds_between_snapshots,max_seconds_between_snapshots,unique_mid_count,mid_min,mid_max,mid_range,total_abs_mid_movement,largest_single_move,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,moved_after_inning_end,moved_after_lead_change,market_liveness_label
KXMLBF5SPREAD-26JUN152005COLCHC-CHC2,f5_spread,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,4,36,55,19,32,19,689.87,228.04,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN152005COLCHC-COL3,f5_spread,COL@CHC,COL,CHC,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,2,11,9,9,6,692.99,454.29,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN151945SDSTL-SD2,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,8,22,14,14,14,695.29,454.29,False,True,False,stale
KXMLBF5SPREAD-26JUN151945SDSTL-SD3,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,6,13,7,8,7,692.17,241.0,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN151945SDSTL-STL3,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,13,25,12,12,12,695.29,454.29,False,True,False,stale
KXMLBF5SPREAD-26JUN151945SDSTL-STL2,f5_spread,SD@STL,SD,STL,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,25,37,12,13,12,692.17,241.0,False,True,False,live_responsive
KXMLBF5SPREAD-26JUN151910NYMCIN-NYM2,f5_spread,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,21,22,1,1,1,451.18,228.04,False,False,False,stale
KXMLBF5SPREAD-26JUN151910NYMCIN-NYM3,f5_spread,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,12,12,0,0,0,454.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN151910NYMCIN-CIN2,f5_spread,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,34,88,54,54,54,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN151910NYMCIN-CIN3,f5_spread,NYM@CIN,NYM,CIN,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,22,96,74,74,74,695.29,454.29,False,False,False,stale
KXMLBF5SPREAD-26JUN151840MIAPHI-MIA3,f5_spread,MIA@PHI,MIA,PHI,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,9,9,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5SPREAD-26JUN151840MIAPHI-PHI3,f5_spread,MIA@PHI,MIA,PHI,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,27,27,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5SPREAD-26JUN151840MIAPHI-PHI2,f5_spread,MIA@PHI,MIA,PHI,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,39,39,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5SPREAD-26JUN151840MIAPHI-MIA2,f5_spread,MIA@PHI,MIA,PHI,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,17,17,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152210TBLAD-3,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,83,83,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152210TBLAD-4,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,71,71,0,0,0,700.23,700.23,False,False,False,stale
