game_pk,game_date,away_abbr,home_abbr,reason
778563,2025-03-18,LAD,CHC,before_regular_start
778870,2025-03-18,DET,MIN,before_regular_start
779025,2025-03-18,PHI,PIT,before_regular_start
779043,2025-03-18,BOS,NYY,before_regular_start
779062,2025-03-18,MIA,STL,before_regular_start
778812,2025-03-18,LAA,CIN,before_regular_start
779001,2025-03-18,MIL,SEA,before_regular_start
778716,2025-03-18,WSN,HOU,before_regular_start
779119,2025-03-18,TOR,BAL,before_regular_start
778921,2025-03-18,CLE,TEX,before_regular_start
778979,2025-03-18,SD,SF,before_regular_start
778783,2025-03-18,SF,COL,before_regular_start
778564,2025-03-19,LAD,CHC,before_regular_start
778768,2025-03-19,DET,BOS,before_regular_start
778900,2025-03-19,NYY,PHI,before_regular_start
778964,2025-03-19,PIT,TB,before_regular_start
779058,2025-03-19,WSN,STL,before_regular_start
778813,2025-03-19,ATH,CLE,before_regular_start
778782,2025-03-19,COL,AZ,before_regular_start
779002,2025-03-19,TEX,SEA,before_regular_start
779088,2025-03-19,CWS,MIL,before_regular_start
779150,2025-03-19,CLE,LAA,before_regular_start
778715,2025-03-19,NYM,HOU,before_regular_start
779042,2025-03-19,ATL,NYY,before_regular_start
778917,2025-03-19,SF,KC,before_regular_start
778694,2025-03-20,PHI,ATL,before_regular_start
778713,2025-03-20,NYM,WSN,before_regular_start
778775,2025-03-20,ATH,AZ,before_regular_start
778814,2025-03-20,KC,CIN,before_regular_start
778839,2025-03-20,LAA,CWS,before_regular_start
778872,2025-03-20,BOS,MIN,before_regular_start
778918,2025-03-20,COL,TEX,before_regular_start
778950,2025-03-20,TB,TOR,before_regular_start
778998,2025-03-20,TEX,SD,before_regular_start
779060,2025-03-20,HOU,MIA,before_regular_start
779120,2025-03-20,NYY,BAL,before_regular_start
778714,2025-03-21,MIA,WSN,before_regular_start
778747,2025-03-21,SD,CHC,before_regular_start
778763,2025-03-21,PIT,BOS,before_regular_start
778777,2025-03-21,LAA,COL,before_regular_start
778811,2025-03-21,CWS,CIN,before_regular_start
778885,2025-03-21,STL,NYM,before_regular_start
778901,2025-03-21,MIN,PHI,before_regular_start
778919,2025-03-21,SEA,KC,before_regular_start
778947,2025-03-21,PHI,TOR,before_regular_start
778961,2025-03-21,ATL,TB,before_regular_start
778980,2025-03-21,CLE,SF,before_regular_start
778995,2025-03-21,CIN,SEA,before_regular_start
779059,2025-03-21,HOU,STL,before_regular_start
779089,2025-03-21,AZ,MIL,before_regular_start
779101,2025-03-21,NYY,DET,before_regular_start
779118,2025-03-21,DET,BAL,before_regular_start
779131,2025-03-21,KC,ATH,before_regular_start
779148,2025-03-21,TEX,LAA,before_regular_start
778711,2025-03-22,MIA,HOU,before_regular_start
778745,2025-03-22,COL,CHC,before_regular_start
778776,2025-03-22,CWS,COL,before_regular_start
778810,2025-03-22,SD,CLE,before_regular_start
778838,2025-03-22,SEA,CWS,before_regular_start
778868,2025-03-22,TOR,MIN,before_regular_start
778886,2025-03-22,WSN,NYM,before_regular_start
778916,2025-03-22,KC,TEX,before_regular_start
778959,2025-03-22,BOS,TB,before_regular_start
778976,2025-03-22,AZ,SF,before_regular_start
778996,2025-03-22,CIN,SD,before_regular_start
779028,2025-03-22,BAL,PIT,before_regular_start
779041,2025-03-22,PHI,NYY,before_regular_start
779057,2025-03-22,STL,MIA,before_regular_start
779100,2025-03-22,ATL,DET,before_regular_start
779133,2025-03-22,MIL,ATH,before_regular_start
778693,2025-03-23,BAL,ATL,before_regular_start
778710,2025-03-23,HOU,WSN,before_regular_start
778746,2025-03-23,ATH,CHC,before_regular_start
778761,2025-03-23,MIN,BOS,before_regular_start
778779,2025-03-23,SD,AZ,before_regular_start
778809,2025-03-23,CLE,CIN,before_regular_start
778841,2025-03-23,AZ,CWS,before_regular_start
778887,2025-03-23,MIA,NYM,before_regular_start
778902,2025-03-23,DET,PHI,before_regular_start
778945,2025-03-23,PIT,TOR,before_regular_start
778997,2025-03-23,MIL,SEA,before_regular_start
779040,2025-03-23,TB,NYY,before_regular_start
779056,2025-03-23,WSN,STL,before_regular_start
779086,2025-03-23,COL,MIL,before_regular_start
787998,2025-03-23,LAA,LAD,before_regular_start
789325,2025-03-23,SAC,SF,non_mlb_team
778712,2025-03-24,KC,TEX,before_regular_start
778744,2025-03-24,ATL,CHC,before_regular_start
778781,2025-03-24,MIL,COL,before_regular_start
778899,2025-03-24,TB,PHI,before_regular_start
778992,2025-03-24,SEA,SD,before_regular_start
787927,2025-03-24,SUG,HOU,non_mlb_team
787930,2025-03-24,CLE,AZ,before_regular_start
787944,2025-03-24,PIT,MIN,before_regular_start
787945,2025-03-24,NYY,NYM,before_regular_start
787999,2025-03-24,LAD,LAA,before_regular_start
789304,2025-03-24,ATH,CWS,before_regular_start
789324,2025-03-24,DET,SF,before_regular_start
791797,2025-03-24,STL,MEM,non_mlb_team
794238,2025-03-24,BOS,MTY,non_mlb_team
778709,2025-03-25,KC,TEX,before_regular_start
778748,2025-03-25,ATL,CHC,before_regular_start
787928,2025-03-25,SUG,HOU,non_mlb_team
787931,2025-03-25,CLE,AZ,before_regular_start
787943,2025-03-25,COL,MIN,before_regular_start
787997,2025-03-25,LAD,LAA,before_regular_start
789323,2025-03-25,DET,SF,before_regular_start
794289,2025-03-25,MTY,BOS,non_mlb_team
796341,2025-03-25,DAY,CIN,non_mlb_team
803680,2025-03-25,NYY,MIA,before_regular_start
778566,2025-07-15,AL,NL,non_mlb_team
