team_abbr,games_played,wins,losses,win_pct,runs_per_game,runs_allowed_per_game,run_diff_per_game,l5_rpg,l10_rpg,l5_runs_allowed,l10_runs_allowed
ATH,168,73,95,0.435,3.994,4.696,-0.702,2.8,3.0,4.4,5.0
ATL,170,92,78,0.541,4.353,3.8,0.553,3.2,3.7,4.2,2.9
AZ,169,93,76,0.55,5.45,4.834,0.615,4.4,5.1,5.0,4.6
BAL,169,95,74,0.562,4.846,4.249,0.598,4.6,4.5,1.8,3.9
BOS,169,85,84,0.503,4.627,4.568,0.059,2.6,3.6,4.2,3.2
CHC,170,84,86,0.494,4.559,4.253,0.306,4.0,3.8,3.2,3.4
CIN,168,79,89,0.47,4.333,4.345,-0.012,1.2,2.5,3.0,4.3
CLE,177,100,77,0.565,4.412,3.881,0.531,4.0,3.9,5.8,4.2
COL,169,64,105,0.379,4.166,5.686,-1.521,3.8,4.1,7.8,7.0
CWS,168,42,126,0.25,3.119,4.988,-1.869,5.0,3.7,2.4,3.1
DET,176,95,81,0.54,4.267,3.966,0.301,2.6,3.0,3.8,3.6
HOU,166,91,75,0.548,4.663,4.018,0.645,2.6,4.5,4.2,5.0
KC,173,89,84,0.514,4.462,3.988,0.474,2.8,2.7,3.0,2.6
LAA,169,66,103,0.391,3.935,4.905,-0.97,2.6,3.6,6.6,6.6
LAD,181,110,71,0.608,5.221,4.254,0.967,5.0,6.2,4.8,5.0
MIA,165,64,101,0.388,3.939,5.158,-1.218,7.4,5.5,4.2,5.6
MIL,172,98,74,0.57,4.89,3.994,0.895,3.4,4.8,4.0,3.9
MIN,168,83,85,0.494,4.589,4.655,-0.065,4.0,3.1,6.6,5.9
NYM,182,99,83,0.544,4.764,4.401,0.363,5.2,4.9,7.4,5.8
NYY,183,106,77,0.579,5.011,4.098,0.913,4.8,5.3,5.0,4.5
PHI,172,97,75,0.564,4.762,4.238,0.523,3.6,4.1,5.2,5.9
PIT,167,78,89,0.467,4.042,4.545,-0.503,4.2,3.2,3.6,4.2
SD,171,97,74,0.567,4.661,4.14,0.52,4.2,4.2,4.8,4.2
SEA,169,89,80,0.527,4.249,3.775,0.473,5.2,5.6,3.0,3.0
SF,169,85,84,0.503,4.349,4.361,-0.012,4.6,4.5,5.0,3.4
STL,168,86,82,0.512,4.196,4.452,-0.256,6.0,4.8,4.4,3.9
TB,168,83,85,0.494,3.75,4.077,-0.327,2.8,2.5,3.4,2.4
TEX,168,79,89,0.47,4.149,4.56,-0.411,5.8,4.5,2.8,4.4
TOR,169,76,93,0.45,4.142,4.586,-0.444,3.6,2.8,6.6,4.5
WSN,167,72,95,0.431,4.066,4.802,-0.737,4.4,3.4,4.0,3.7
