team_abbr,games_played,wins,losses,win_pct,runs_per_game,runs_allowed_per_game,run_diff_per_game,l5_rpg,l10_rpg,l5_runs_allowed,l10_runs_allowed
ATH,99,42,57,0.424,4.434,5.576,-1.141,4.0,4.7,6.8,7.4
ATL,100,60,40,0.6,5.02,3.93,1.09,5.0,6.0,4.4,4.5
AZ,103,54,49,0.524,4.466,4.398,0.068,6.8,5.8,5.4,5.0
BAL,99,46,53,0.465,4.545,4.848,-0.303,3.8,4.4,3.8,3.3
BOS,100,51,49,0.51,4.21,3.85,0.36,3.8,5.3,3.8,3.4
CHC,101,57,44,0.564,5.02,4.347,0.673,6.6,6.5,3.4,3.7
CIN,101,48,53,0.475,4.178,4.832,-0.653,3.6,4.1,3.4,5.1
CLE,102,51,51,0.5,3.873,4.049,-0.176,2.0,3.5,5.6,5.1
COL,104,40,64,0.385,4.76,5.817,-1.058,4.0,4.2,7.2,6.5
CWS,99,54,45,0.545,4.899,4.263,0.636,4.4,5.6,5.6,3.7
DET,103,47,56,0.456,4.165,3.99,0.175,3.4,3.8,2.6,3.4
HOU,104,51,53,0.49,4.606,5.019,-0.413,5.2,4.5,4.6,4.6
KC,105,43,62,0.41,4.095,5.095,-1.0,3.4,3.9,3.2,4.7
LAA,100,39,61,0.39,4.23,4.89,-0.66,3.4,2.6,4.2,3.8
LAD,102,65,37,0.637,5.186,3.618,1.569,4.4,4.3,3.8,3.9
MIA,104,50,54,0.481,4.365,4.385,-0.019,2.4,2.7,5.2,5.2
MIL,100,64,36,0.64,5.05,3.76,1.29,5.0,5.1,3.8,4.4
MIN,103,51,52,0.495,4.66,5.01,-0.35,5.2,4.0,3.4,5.3
NYM,102,42,60,0.412,4.02,4.529,-0.51,4.0,3.6,3.0,3.4
NYY,100,56,44,0.56,4.63,3.84,0.79,2.6,3.1,3.4,3.6
PHI,102,54,48,0.529,4.216,4.48,-0.265,3.6,4.1,3.8,3.7
PIT,102,53,49,0.52,5.196,4.824,0.373,3.0,5.1,5.2,4.6
SD,101,50,51,0.495,4.149,4.317,-0.168,5.4,6.3,4.0,4.1
SEA,101,51,50,0.505,4.089,3.881,0.208,3.2,4.2,5.0,4.0
SF,100,42,58,0.42,4.21,4.7,-0.49,5.0,4.4,4.0,3.5
STL,102,52,50,0.51,4.373,4.314,0.059,2.8,3.4,2.8,3.8
TB,102,61,41,0.598,4.5,4.088,0.412,4.0,4.9,1.6,2.9
TEX,101,52,49,0.515,4.198,4.366,-0.168,5.6,5.0,3.0,5.9
TOR,103,46,57,0.447,3.903,4.398,-0.495,3.2,2.4,3.4,5.1
WSN,103,52,51,0.505,5.515,5.262,0.252,6.4,7.1,4.2,5.0
