team_abbr,games_played,wins,losses,win_pct,runs_per_game,runs_allowed_per_game,run_diff_per_game,l5_rpg,l10_rpg,l5_runs_allowed,l10_runs_allowed
ATH,162,76,86,0.469,4.525,5.043,-0.519,3.8,3.3,5.4,4.7
ATL,162,76,86,0.469,4.469,4.531,-0.062,2.8,5.6,3.8,3.6
AZ,162,80,82,0.494,4.883,4.846,0.037,2.6,3.4,7.4,5.9
BAL,162,75,87,0.463,4.179,4.864,-0.685,3.0,2.7,5.6,5.0
BOS,165,90,75,0.545,4.8,4.152,0.648,2.2,3.0,2.8,3.2
CHC,168,96,72,0.571,4.833,3.964,0.869,3.4,3.2,4.4,3.0
CIN,164,83,81,0.506,4.421,4.262,0.159,4.2,3.5,5.4,3.9
CLE,165,89,76,0.539,3.958,3.988,-0.03,4.4,3.9,3.8,3.9
COL,162,43,119,0.265,3.685,6.302,-2.617,2.0,3.0,5.8,5.2
CWS,162,60,102,0.37,3.994,4.58,-0.586,5.4,3.9,5.6,4.7
DET,170,91,79,0.535,4.629,4.235,0.394,4.0,3.4,3.8,3.4
HOU,162,87,75,0.537,4.235,4.105,0.13,5.2,3.9,3.6,4.2
KC,162,82,80,0.506,4.019,3.932,0.086,5.4,6.2,3.0,3.1
LAA,162,72,90,0.444,4.154,5.167,-1.012,2.8,3.0,5.2,4.9
LAD,177,104,73,0.588,5.011,4.186,0.825,3.4,3.9,4.4,3.7
MIA,162,79,83,0.488,4.377,4.926,-0.549,2.2,4.0,3.8,4.0
MIL,171,100,71,0.585,4.865,3.895,0.971,1.4,3.0,3.2,3.4
MIN,162,70,92,0.432,4.185,4.772,-0.586,2.6,2.5,1.8,3.2
NYM,162,83,79,0.512,4.728,4.414,0.315,3.6,5.0,5.0,4.7
NYY,169,97,72,0.574,5.189,4.29,0.899,4.6,4.5,6.8,4.7
PHI,166,97,69,0.584,4.777,3.982,0.795,3.4,3.7,2.8,2.7
PIT,162,71,91,0.438,3.599,3.981,-0.383,3.6,4.2,2.6,2.7
SD,165,91,74,0.552,4.285,3.8,0.485,4.4,4.5,2.2,2.4
SEA,174,96,78,0.552,4.684,4.316,0.368,3.4,4.4,6.6,5.2
SF,162,81,81,0.5,4.352,4.222,0.13,5.2,4.3,3.6,4.0
STL,162,78,84,0.481,4.253,4.654,-0.401,3.2,3.8,6.6,4.9
TB,162,77,85,0.475,4.407,4.216,0.191,3.6,3.9,6.0,5.6
TEX,162,81,81,0.5,4.222,3.735,0.488,4.2,3.3,4.2,4.4
TOR,180,104,76,0.578,5.017,4.422,0.594,4.4,4.6,3.4,3.7
WSN,162,66,96,0.407,4.241,5.549,-1.309,4.2,4.4,5.8,6.6
