season,game_pk,game_date,game_id,away,home,away_score_model,home_score_model,model_edge,predicted_winner,actual_winner,winner_correct,away_run_projection,home_run_projection,projected_total,projected_f5_total,actual_away_runs,actual_home_runs,actual_full_total,actual_f5_total,actual_post5_runs,away_context_confidence,home_context_confidence,prediction_type,predicted_team,predicted_opponent,predicted_home_away,predicted_team_score,predicted_team_runs,prediction_threshold,predicted_outcome,actual_outcome,correct,actual_team_runs,actual_opponent_runs,actual_margin,actual_home_won,context_confidence,opponent_context_confidence,confidence_label,wrong_reason
2023,718118,2023-05-19,AZ@PIT,AZ,PIT,51.171,42.031,9.14,AZ,PIT,0,4.35,3.485,7.835,4.231,3,13,16,12,4,unknown,unknown,winner,AZ,PIT,away,51.171,,,1,0,0,3,13,10,1,unknown,unknown,high,home_field_or_away_underperformed
2023,718471,2023-04-22,HOU@ATL,HOU,ATL,50.511,59.639,9.128,ATL,HOU,0,4.325,4.756,9.081,4.904,6,3,9,1,8,unknown,unknown,winner,ATL,HOU,home,59.639,,,1,0,0,3,6,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,778075,2025-05-03,ATH@MIA,ATH,MIA,55.028,45.905,9.123,ATH,MIA,0,4.953,4.399,9.352,5.05,6,9,15,8,7,unknown,unknown,winner,ATH,MIA,away,55.028,,,1,0,0,6,9,3,1,unknown,unknown,high,home_field_or_away_underperformed
2025,777404,2025-06-22,TEX@PIT,TEX,PIT,49.707,40.589,9.118,TEX,PIT,0,4.301,3.736,8.037,4.34,3,8,11,9,2,unknown,unknown,winner,TEX,PIT,away,49.707,,,1,0,0,3,8,5,1,unknown,unknown,high,home_field_or_away_underperformed
2025,776269,2025-09-18,TOR@TB,TOR,TB,51.504,42.398,9.106,TOR,TB,0,4.307,3.564,7.871,4.25,0,4,4,3,1,unknown,unknown,winner,TOR,TB,away,51.504,,,1,0,0,0,4,4,1,unknown,unknown,high,home_field_or_away_underperformed
2024,746448,2024-07-26,MIN@DET,MIN,DET,44.679,53.781,9.102,DET,MIN,0,3.763,4.72,8.483,4.581,9,3,12,8,4,unknown,unknown,winner,DET,MIN,home,53.781,,,1,0,0,3,9,6,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,716833,2023-08-26,CIN@AZ,CIN,AZ,47.534,56.618,9.084,AZ,CIN,0,4.128,4.971,9.099,4.913,8,7,15,4,11,unknown,unknown,winner,AZ,CIN,home,56.618,,,1,0,0,7,8,1,0,unknown,unknown,high,coinflip_close_game
2023,717997,2023-05-27,PHI@ATL,PHI,ATL,47.531,56.614,9.083,ATL,PHI,0,4.351,4.693,9.044,4.884,2,1,3,2,1,unknown,unknown,winner,ATL,PHI,home,56.614,,,1,0,0,1,2,1,0,unknown,unknown,high,coinflip_close_game
2023,717650,2023-06-23,ATL@CIN,ATL,CIN,64.628,55.553,9.075,ATL,CIN,0,5.373,4.915,10.288,5.556,10,11,21,16,5,unknown,unknown,winner,ATL,CIN,away,64.628,,,1,0,0,10,11,1,1,unknown,unknown,high,coinflip_close_game
2025,776503,2025-09-01,TOR@CIN,TOR,CIN,55.074,45.999,9.075,TOR,CIN,0,4.738,3.973,8.711,4.704,4,5,9,2,7,unknown,unknown,winner,TOR,CIN,away,55.074,,,1,0,0,4,5,1,1,unknown,unknown,high,coinflip_close_game
2025,777958,2025-05-11,TOR@SEA,TOR,SEA,49.549,58.623,9.074,SEA,TOR,0,4.503,4.987,9.49,5.125,9,1,10,6,4,unknown,unknown,winner,SEA,TOR,home,58.623,,,1,0,0,1,9,8,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,777171,2025-07-09,TEX@LAA,TEX,LAA,56.336,47.262,9.074,TEX,LAA,0,4.991,4.204,9.195,4.965,8,11,19,11,8,unknown,unknown,winner,TEX,LAA,away,56.336,,,1,0,0,8,11,3,1,unknown,unknown,high,home_field_or_away_underperformed
2024,746293,2024-06-25,MIA@KC,MIA,KC,38.207,47.28,9.073,KC,MIA,0,3.681,4.014,7.695,4.155,2,1,3,1,2,unknown,unknown,winner,KC,MIA,home,47.28,,,1,0,0,1,2,1,0,unknown,unknown,high,coinflip_close_game
2025,776279,2025-09-17,SF@AZ,SF,AZ,49.496,58.555,9.059,AZ,SF,0,4.358,5.222,9.58,5.173,5,1,6,0,6,unknown,unknown,winner,AZ,SF,home,58.555,,,1,0,0,1,5,4,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,776547,2025-08-29,SEA@CLE,SEA,CLE,53.167,44.111,9.056,SEA,CLE,0,4.62,3.904,8.524,4.603,4,5,9,4,5,unknown,unknown,winner,SEA,CLE,away,53.167,,,1,0,0,4,5,1,1,unknown,unknown,high,coinflip_close_game
2023,717612,2023-06-25,AZ@SF,AZ,SF,53.721,62.776,9.055,SF,AZ,0,4.565,5.455,10.02,5.411,5,2,7,2,5,unknown,unknown,winner,SF,AZ,home,62.776,,,1,0,0,2,5,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,716683,2023-09-07,SEA@TB,SEA,TB,47.55,56.586,9.036,TB,SEA,0,3.942,4.659,8.601,4.645,1,0,1,1,0,unknown,unknown,winner,TB,SEA,home,56.586,,,1,0,0,0,1,1,0,unknown,unknown,high,coinflip_close_game
2024,745554,2024-07-26,CLE@PHI,CLE,PHI,42.346,51.381,9.035,PHI,CLE,0,3.418,4.198,7.616,4.113,3,1,4,4,0,unknown,unknown,winner,PHI,CLE,home,51.381,,,1,0,0,1,3,2,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,777805,2025-05-23,TEX@CWS,TEX,CWS,46.577,37.542,9.035,TEX,CWS,0,4.053,3.591,7.644,4.128,1,4,5,3,2,unknown,unknown,winner,TEX,CWS,away,46.577,,,1,0,0,1,4,3,1,unknown,unknown,high,home_field_or_away_underperformed
2025,776994,2025-07-26,CHC@CWS,CHC,CWS,51.829,60.864,9.035,CWS,CHC,0,4.225,5.832,10.057,5.431,6,1,7,0,7,unknown,unknown,winner,CWS,CHC,home,60.864,,,1,0,0,1,6,5,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,744967,2024-09-06,LAA@TEX,LAA,TEX,42.214,51.248,9.034,TEX,LAA,0,3.867,4.563,8.43,4.552,5,1,6,2,4,unknown,unknown,winner,TEX,LAA,home,51.248,,,1,0,0,1,5,4,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,746386,2024-05-22,LAA@HOU,LAA,HOU,51.085,60.095,9.01,HOU,LAA,0,4.737,5.347,10.084,5.445,2,1,3,3,0,unknown,unknown,winner,HOU,LAA,home,60.095,,,1,0,0,1,2,1,0,unknown,unknown,high,coinflip_close_game
2025,777977,2025-05-10,BOS@KC,BOS,KC,44.784,53.79,9.006,KC,BOS,0,3.762,4.492,8.254,4.457,10,1,11,5,6,unknown,unknown,winner,KC,BOS,home,53.79,,,1,0,0,1,10,9,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,777111,2025-07-18,CIN@NYM,CIN,NYM,45.909,54.901,8.992,NYM,CIN,0,3.939,4.674,8.613,4.651,8,4,12,5,7,unknown,unknown,winner,NYM,CIN,home,54.901,,,1,0,0,4,8,4,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,717932,2023-06-01,CIN@BOS,CIN,BOS,55.131,46.141,8.99,CIN,BOS,0,5.004,3.936,8.94,4.828,2,8,10,2,8,unknown,unknown,winner,CIN,BOS,away,55.131,,,1,0,0,2,8,6,1,unknown,unknown,high,home_field_or_away_underperformed
2024,745313,2024-07-11,TOR@SF,TOR,SF,46.131,55.12,8.989,SF,TOR,0,4.2,4.917,9.117,4.923,5,3,8,7,1,unknown,unknown,winner,SF,TOR,home,55.12,,,1,0,0,3,5,2,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,777730,2025-05-28,WSN@SEA,WSN,SEA,44.544,53.531,8.987,SEA,WSN,0,4.073,4.513,8.586,4.636,9,0,9,6,3,unknown,unknown,winner,SEA,WSN,home,53.531,,,1,0,0,0,9,9,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,778329,2025-04-13,LAA@HOU,LAA,HOU,60.601,51.616,8.985,LAA,HOU,0,5.168,4.751,9.919,5.356,3,7,10,7,3,unknown,unknown,winner,LAA,HOU,away,60.601,,,1,0,0,3,7,4,1,unknown,unknown,high,home_field_or_away_underperformed
2025,778059,2025-05-04,AZ@PHI,AZ,PHI,45.963,54.948,8.985,PHI,AZ,0,3.947,4.735,8.682,4.688,11,9,20,9,11,unknown,unknown,winner,PHI,AZ,home,54.948,,,1,0,0,9,11,2,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,717099,2023-08-06,COL@STL,COL,STL,44.044,53.024,8.98,STL,COL,0,4.186,4.824,9.01,4.865,1,0,1,1,0,unknown,unknown,winner,STL,COL,home,53.024,,,1,0,0,0,1,1,0,unknown,unknown,high,coinflip_close_game
2023,718188,2023-05-13,PHI@COL,PHI,COL,46.578,55.557,8.979,COL,PHI,0,4.057,5.224,9.281,5.012,7,4,11,7,4,unknown,unknown,winner,COL,PHI,home,55.557,,,1,0,0,4,7,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2025,776537,2025-08-30,SEA@CLE,SEA,CLE,53.313,44.345,8.968,SEA,CLE,0,4.64,3.912,8.552,4.618,3,4,7,1,6,unknown,unknown,winner,SEA,CLE,away,53.313,,,1,0,0,3,4,1,1,unknown,unknown,high,coinflip_close_game
2023,717282,2023-07-24,COL@WSN,COL,WSN,45.639,54.589,8.95,WSN,COL,0,4.359,5.023,9.382,5.066,10,6,16,2,14,unknown,unknown,winner,WSN,COL,home,54.589,,,1,0,0,6,10,4,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,717741,2023-06-16,TOR@TEX,TOR,TEX,46.538,55.482,8.944,TEX,TOR,0,4.012,4.45,8.462,4.569,2,1,3,3,0,unknown,unknown,winner,TEX,TOR,home,55.482,,,1,0,0,1,2,1,0,unknown,unknown,high,coinflip_close_game
2024,744834,2024-07-04,NYM@WSN,NYM,WSN,61.262,52.319,8.943,NYM,WSN,0,5.523,4.786,10.309,5.567,0,1,1,0,1,unknown,unknown,winner,NYM,WSN,away,61.262,,,1,0,0,0,1,1,1,unknown,unknown,high,coinflip_close_game
2025,777215,2025-07-06,CWS@COL,CWS,COL,47.271,38.329,8.942,CWS,COL,0,4.501,3.98,8.481,4.58,4,6,10,10,0,unknown,unknown,winner,CWS,COL,away,47.271,,,1,0,0,4,6,2,1,unknown,unknown,high,home_field_or_away_underperformed
2023,717179,2023-07-31,SD@COL,SD,COL,52.722,43.786,8.936,SD,COL,0,4.568,4.097,8.665,4.679,3,4,7,3,4,unknown,unknown,winner,SD,COL,away,52.722,,,1,0,0,3,4,1,1,unknown,unknown,high,coinflip_close_game
2024,747831,2024-03-23,TEX@KC,TEX,KC,42.428,51.362,8.934,KC,TEX,0,4.16,4.733,8.893,4.802,1,1,2,1,1,unknown,unknown,winner,KC,TEX,home,51.362,,,1,0,0,1,1,0,0,unknown,unknown,high,coinflip_close_game
2024,745096,2024-05-11,NYY@TB,NYY,TB,52.488,43.56,8.928,NYY,TB,0,4.188,3.837,8.025,4.334,2,7,9,6,3,unknown,unknown,winner,NYY,TB,away,52.488,,,1,0,0,2,7,5,1,unknown,unknown,high,home_field_or_away_underperformed
2025,778160,2025-04-26,TB@SD,TB,SD,41.035,49.955,8.92,SD,TB,0,3.547,3.946,7.493,4.046,4,1,5,3,2,unknown,unknown,winner,SD,TB,home,49.955,,,1,0,0,1,4,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,716877,2023-08-23,WSN@NYY,WSN,NYY,54.377,45.469,8.908,WSN,NYY,0,5.025,3.978,9.003,4.862,1,9,10,6,4,unknown,unknown,winner,WSN,NYY,away,54.377,,,1,0,0,1,9,8,1,unknown,unknown,high,home_field_or_away_underperformed
2024,747084,2024-08-21,PHI@ATL,PHI,ATL,49.085,57.99,8.905,ATL,PHI,0,4.09,5.089,9.179,4.957,3,2,5,2,3,unknown,unknown,winner,ATL,PHI,home,57.99,,,1,0,0,2,3,1,0,unknown,unknown,high,coinflip_close_game
2025,776590,2025-08-25,DET@ATH,DET,ATH,58.656,49.759,8.897,DET,ATH,0,4.984,4.52,9.504,5.132,3,8,11,0,11,unknown,unknown,winner,DET,ATH,away,58.656,,,1,0,0,3,8,5,1,unknown,unknown,high,home_field_or_away_underperformed
2024,747201,2024-05-17,DET@AZ,DET,AZ,45.739,54.622,8.883,AZ,DET,0,3.883,4.798,8.681,4.688,13,0,13,11,2,unknown,unknown,winner,AZ,DET,home,54.622,,,1,0,0,0,13,13,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,744811,2024-08-27,NYY@WSN,NYY,WSN,51.185,42.309,8.876,NYY,WSN,0,4.162,3.792,7.954,4.295,2,4,6,3,3,unknown,unknown,winner,NYY,WSN,away,51.185,,,1,0,0,2,4,2,1,unknown,unknown,high,home_field_or_away_underperformed
2025,777502,2025-06-15,TB@NYM,TB,NYM,53.264,62.136,8.872,NYM,TB,0,4.569,5.198,9.767,5.274,9,0,9,6,3,unknown,unknown,winner,NYM,TB,home,62.136,,,1,0,0,0,9,9,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,717499,2023-07-04,PHI@TB,PHI,TB,52.472,61.327,8.855,TB,PHI,0,4.646,4.944,9.59,5.179,3,1,4,1,3,unknown,unknown,winner,TB,PHI,home,61.327,,,1,0,0,1,3,2,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,745795,2024-07-28,ATL@NYM,ATL,NYM,43.449,52.296,8.847,NYM,ATL,0,3.617,4.557,8.174,4.414,9,2,11,4,7,unknown,unknown,winner,NYM,ATL,home,52.296,,,1,0,0,2,9,7,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,745419,2024-05-12,LAD@SD,LAD,SD,56.417,47.575,8.842,LAD,SD,0,4.527,4.116,8.643,4.667,0,4,4,4,0,unknown,unknown,winner,LAD,SD,away,56.417,,,1,0,0,0,4,4,1,unknown,unknown,high,home_field_or_away_underperformed
2025,776823,2025-08-08,TOR@LAD,TOR,LAD,62.342,53.5,8.842,TOR,LAD,0,5.389,4.6,9.989,5.394,1,5,6,3,3,unknown,unknown,winner,TOR,LAD,away,62.342,,,1,0,0,1,5,4,1,unknown,unknown,high,home_field_or_away_underperformed
2024,747180,2024-07-09,ATL@AZ,ATL,AZ,49.343,58.183,8.84,AZ,ATL,0,4.146,5.136,9.282,5.012,6,2,8,2,6,unknown,unknown,winner,AZ,ATL,home,58.183,,,1,0,0,2,6,4,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,717096,2023-08-08,WSN@PHI,WSN,PHI,47.032,55.871,8.839,PHI,WSN,0,4.324,4.804,9.128,4.929,5,4,9,6,3,unknown,unknown,winner,PHI,WSN,home,55.871,,,1,0,0,4,5,1,0,unknown,unknown,high,coinflip_close_game
2023,717871,2023-06-06,HOU@TOR,HOU,TOR,56.781,47.952,8.829,HOU,TOR,0,4.721,4.049,8.77,4.736,1,5,6,4,2,unknown,unknown,winner,HOU,TOR,away,56.781,,,1,0,0,1,5,4,1,unknown,unknown,high,home_field_or_away_underperformed
