season,game_pk,game_date,game_id,away,home,away_score_model,home_score_model,model_edge,predicted_winner,actual_winner,winner_correct,away_run_projection,home_run_projection,projected_total,projected_f5_total,actual_away_runs,actual_home_runs,actual_full_total,actual_f5_total,actual_post5_runs,away_context_confidence,home_context_confidence,prediction_type,predicted_team,predicted_opponent,predicted_home_away,predicted_team_score,predicted_team_runs,prediction_threshold,predicted_outcome,actual_outcome,correct,actual_team_runs,actual_opponent_runs,actual_margin,actual_home_won,context_confidence,opponent_context_confidence,confidence_label,wrong_reason
2023,718759,2023-04-01,TOR@STL,TOR,STL,94.425,73.975,3.658,TOR,STL,0,7.5,7.145,14.645,7.908,1,4,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2023,718726,2023-04-03,BAL@TEX,BAL,TEX,50.67,101.303,2.557,TEX,BAL,0,5.105,7.5,12.605,6.807,2,0,2,2,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,746833,2024-09-02,PIT@CHC,PIT,CHC,52.507,80.834,2.371,CHC,PIT,0,4.785,7.476,12.261,6.621,5,3,8,3,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,746834,2024-09-03,PIT@CHC,PIT,CHC,52.209,78.11,2.219,CHC,PIT,0,4.755,7.225,11.98,6.469,5,0,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,5,0,medium,medium,high,early_scoring_failed
2024,747843,2024-03-23,WSN@STL,WSN,STL,52.454,71.704,2.107,STL,WSN,0,5.217,6.555,11.772,6.357,2,2,4,1,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,0,0,medium,medium,high,early_scoring_failed
2025,778526,2025-03-30,PHI@WSN,PHI,WSN,94.547,39.972,1.987,PHI,WSN,0,7.4,4.15,11.55,6.237,1,5,6,3,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,4,1,medium,medium,high,early_scoring_failed
2023,718739,2023-04-02,PHI@TEX,PHI,TEX,32.313,127.625,1.972,TEX,TEX,1,4.023,7.5,11.523,6.222,1,2,3,3,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,778525,2025-03-30,BAL@TOR,BAL,TOR,78.507,46.139,1.875,BAL,TOR,0,6.604,4.738,11.342,6.125,1,3,4,3,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2023,718238,2023-05-09,CWS@KC,CWS,KC,55.693,58.817,1.869,KC,CWS,0,5.479,5.852,11.331,6.119,4,2,6,2,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2023,716880,2023-08-23,COL@TB,COL,TB,50.0,74.466,1.861,TB,TB,1,4.855,6.462,11.317,6.111,5,6,11,3,8,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,746832,2024-09-06,NYY@CHC,NYY,CHC,57.131,70.069,1.841,CHC,NYY,0,4.881,6.399,11.28,6.091,3,0,3,3,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,0,medium,medium,high,early_scoring_failed
2025,776552,2025-08-29,ATL@PHI,ATL,PHI,56.246,69.083,1.834,PHI,PHI,1,5.165,6.101,11.266,6.084,1,2,3,2,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777838,2025-05-20,AZ@LAD,AZ,LAD,59.243,68.433,1.83,LAD,LAD,1,5.315,5.945,11.26,6.08,3,4,7,1,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,747864,2024-03-22,DET@PHI,DET,PHI,76.223,42.973,1.785,DET,DET,1,6.775,4.4,11.175,6.035,4,3,7,1,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778230,2025-04-21,CIN@MIA,CIN,MIA,68.919,53.967,1.783,CIN,MIA,0,6.107,5.065,11.172,6.033,3,6,9,3,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2023,716604,2023-09-13,STL@BAL,STL,BAL,53.716,71.045,1.749,BAL,STL,0,4.985,6.124,11.109,5.999,1,0,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778219,2025-04-22,CIN@MIA,CIN,MIA,67.083,55.098,1.743,CIN,MIA,0,6.007,5.092,11.099,5.993,3,4,7,3,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,747877,2024-03-21,BAL@BOS,BAL,BOS,105.606,40.208,1.734,BAL,BOS,0,7.5,3.582,11.082,5.984,2,3,5,1,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,746925,2024-07-31,SEA@BOS,SEA,BOS,58.871,64.077,1.707,BOS,BOS,1,5.34,5.692,11.032,5.957,2,3,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,716516,2023-09-19,COL@SD,COL,SD,51.541,66.871,1.686,SD,SD,1,5.001,5.992,10.993,5.936,0,2,2,0,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2025,777317,2025-06-29,TB@BAL,TB,BAL,66.393,54.84,1.686,TB,BAL,0,5.808,5.184,10.992,5.936,1,5,6,3,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,4,1,medium,medium,high,early_scoring_failed
2024,746496,2024-09-29,LAD@COL,LAD,COL,73.649,46.843,1.672,LAD,LAD,1,6.479,4.488,10.967,5.922,2,1,3,1,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2024,745718,2024-08-04,TOR@NYY,TOR,NYY,50.968,70.655,1.649,NYY,NYY,1,4.757,6.167,10.924,5.899,3,4,7,2,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,776624,2025-08-24,NYM@ATL,NYM,ATL,61.557,59.112,1.63,NYM,ATL,0,5.461,5.428,10.889,5.88,3,4,7,2,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,747876,2024-03-21,HOU@STL,HOU,STL,37.908,107.906,1.626,STL,HOU,0,3.382,7.5,10.882,5.876,9,1,10,3,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,8,0,medium,medium,high,early_scoring_failed
2025,776436,2025-09-06,TOR@NYY,TOR,NYY,60.509,64.301,1.608,NYY,NYY,1,5.222,5.626,10.848,5.858,1,3,4,3,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2025,777242,2025-07-04,LAA@TOR,LAA,TOR,54.953,65.932,1.6,TOR,TOR,1,5.001,5.833,10.834,5.85,3,4,7,0,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777358,2025-06-25,LAD@COL,LAD,COL,67.608,47.925,1.592,LAD,LAD,1,5.763,5.056,10.819,5.842,8,1,9,0,9,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,7,0,medium,medium,high,early_scoring_failed
2025,776429,2025-09-07,NYM@CIN,NYM,CIN,64.314,56.612,1.59,NYM,CIN,0,5.75,5.064,10.814,5.84,2,3,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777870,2025-05-18,COL@AZ,COL,AZ,40.353,69.472,1.588,AZ,AZ,1,4.513,6.299,10.812,5.838,0,1,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,717226,2023-07-28,CHC@STL,CHC,STL,66.054,53.544,1.571,CHC,CHC,1,5.922,4.858,10.78,5.821,3,2,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778017,2025-05-07,LAD@MIA,LAD,MIA,75.276,44.179,1.571,LAD,LAD,1,6.565,4.215,10.78,5.821,10,1,11,0,11,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,9,0,medium,medium,high,early_scoring_failed
2024,746829,2024-09-07,NYY@CHC,NYY,CHC,53.621,68.652,1.567,CHC,NYY,0,4.514,6.259,10.773,5.817,2,0,2,1,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,744838,2024-07-02,NYM@WSN,NYM,WSN,62.229,55.813,1.553,NYM,NYM,1,5.626,5.12,10.746,5.803,7,2,9,2,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,5,0,medium,medium,high,early_scoring_failed
2024,746536,2024-06-23,WSN@COL,WSN,COL,57.507,56.021,1.539,WSN,WSN,1,5.318,5.403,10.721,5.789,2,1,3,1,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2024,746396,2024-05-14,ATH@HOU,ATH,HOU,59.584,56.385,1.538,ATH,HOU,0,5.505,5.213,10.718,5.788,1,2,3,1,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,778035,2025-05-06,LAD@MIA,LAD,MIA,74.216,44.621,1.534,LAD,MIA,0,6.412,4.299,10.711,5.784,4,5,9,3,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,744901,2024-08-06,BAL@TOR,BAL,TOR,64.841,54.677,1.527,BAL,TOR,0,5.593,5.106,10.699,5.777,2,5,7,0,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2025,777344,2025-06-26,LAD@COL,LAD,COL,67.201,47.161,1.527,LAD,LAD,1,5.715,4.983,10.698,5.777,3,1,4,2,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,745391,2024-07-07,AZ@SD,AZ,SD,57.145,62.238,1.515,SD,AZ,0,5.111,5.564,10.675,5.765,9,1,10,2,8,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,8,0,medium,medium,high,early_scoring_failed
2024,745824,2024-05-26,SF@NYM,SF,NYM,65.757,50.839,1.507,SF,NYM,0,5.98,4.682,10.662,5.757,3,4,7,3,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777083,2025-07-20,NYY@ATL,NYY,ATL,64.012,55.563,1.507,NYY,NYY,1,5.582,5.08,10.662,5.757,4,2,6,2,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2025,777975,2025-05-10,LAD@AZ,LAD,AZ,70.885,52.089,1.505,LAD,AZ,0,6.063,4.594,10.657,5.755,0,3,3,1,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2023,717504,2023-07-04,COL@HOU,COL,HOU,45.086,70.302,1.5,HOU,HOU,1,4.371,6.278,10.649,5.75,1,4,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2024,747853,2024-03-22,ATH@CWS,ATH,CWS,49.148,25.248,1.499,ATH,CWS,0,3.06,2.035,5.095,2.751,2,8,10,9,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,0,1,0,,,6,1,medium,medium,high,early_scoring_explosion
2024,745395,2024-07-06,AZ@SD,AZ,SD,55.981,63.181,1.499,SD,AZ,0,5.006,5.64,10.646,5.749,7,5,12,3,9,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2025,777137,2025-07-12,TEX@HOU,TEX,HOU,60.871,60.711,1.499,TEX,HOU,0,5.463,5.183,10.646,5.749,4,5,9,3,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,744915,2024-07-03,HOU@TOR,HOU,TOR,63.935,54.322,1.496,HOU,HOU,1,5.674,4.967,10.641,5.746,9,2,11,2,9,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,7,0,medium,medium,high,early_scoring_failed
2025,777409,2025-06-22,DET@TB,DET,TB,55.008,67.882,1.477,TB,DET,0,4.58,6.025,10.605,5.727,9,3,12,2,10,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,6,0,medium,medium,high,early_scoring_failed
2023,717526,2023-07-02,SD@CIN,SD,CIN,56.163,61.37,1.476,CIN,CIN,1,5.118,5.486,10.604,5.726,3,4,7,2,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777196,2025-07-08,COL@BOS,COL,BOS,38.534,72.624,1.473,BOS,BOS,1,4.099,6.499,10.598,5.723,2,10,12,0,12,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,8,1,medium,medium,high,early_scoring_failed
2023,716700,2023-09-06,MIN@CLE,MIN,CLE,65.291,52.593,1.471,MIN,CLE,0,5.869,4.726,10.595,5.721,1,2,3,3,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777314,2025-06-29,MIN@DET,MIN,DET,52.636,67.602,1.471,DET,DET,1,4.772,5.823,10.595,5.721,0,3,3,3,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2025,776669,2025-08-20,CWS@ATL,CWS,ATL,48.517,65.221,1.464,ATL,ATL,1,4.623,5.958,10.581,5.714,0,1,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,717427,2023-07-09,CIN@MIL,CIN,MIL,59.108,59.815,1.459,MIL,MIL,1,5.243,5.329,10.572,5.709,0,1,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777334,2025-06-27,MIN@DET,MIN,DET,52.174,67.613,1.446,DET,MIN,0,4.733,5.816,10.549,5.696,4,1,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,0,medium,medium,high,early_scoring_failed
2025,776915,2025-08-01,BAL@CHC,BAL,CHC,62.616,56.335,1.443,BAL,CHC,0,5.897,4.645,10.542,5.693,0,1,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,745337,2024-05-28,PHI@SF,PHI,SF,58.78,63.138,1.432,SF,SF,1,4.859,5.664,10.523,5.682,0,1,1,0,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777751,2025-05-27,COL@CHC,COL,CHC,32.379,79.98,1.428,CHC,CHC,1,3.718,6.796,10.514,5.678,3,4,7,3,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,778488,2025-04-01,KC@MIL,KC,MIL,69.926,36.901,1.423,KC,MIL,0,6.353,4.153,10.506,5.673,0,5,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,5,1,medium,medium,high,early_scoring_failed
2025,777757,2025-05-26,COL@CHC,COL,CHC,32.258,79.647,1.42,CHC,CHC,1,3.708,6.792,10.5,5.67,1,3,4,3,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2024,747168,2024-08-09,PHI@AZ,PHI,AZ,54.881,65.558,1.419,AZ,AZ,1,4.659,5.839,10.498,5.669,2,3,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777301,2025-06-29,COL@MIL,COL,MIL,35.948,75.007,1.412,MIL,COL,0,3.888,6.597,10.485,5.662,4,3,7,0,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2024,745445,2024-03-28,SF@SD,SF,SD,65.059,50.728,1.411,SF,SD,0,5.43,5.054,10.484,5.661,4,6,10,3,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2023,717445,2023-07-08,STL@CWS,STL,CWS,52.32,59.562,1.407,CWS,STL,0,4.863,5.612,10.475,5.657,3,0,3,2,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,0,medium,medium,high,early_scoring_failed
2024,744914,2024-07-01,HOU@TOR,HOU,TOR,64.576,51.974,1.406,HOU,HOU,1,5.749,4.725,10.474,5.656,3,1,4,1,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2025,777565,2025-06-10,TB@BOS,TB,BOS,60.031,58.212,1.404,TB,BOS,0,5.261,5.21,10.471,5.654,1,3,4,3,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2025,777886,2025-05-17,DET@TOR,DET,TOR,67.76,53.0,1.403,DET,TOR,0,5.607,4.861,10.468,5.653,1,2,3,1,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,718759,2023-04-01,TOR@STL,TOR,STL,94.425,73.975,5.895,TOR,STL,0,7.5,7.145,14.645,7.908,1,4,5,3,2,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2024,747870,2024-03-21,NYY@ATL,NYY,ATL,103.314,74.056,4.713,NYY,ATL,0,7.5,5.963,13.463,7.27,2,5,7,5,2,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,3,1,medium,medium,high,late_scoring_stalled
2023,718726,2023-04-03,BAL@TEX,BAL,TEX,50.67,101.303,3.855,TEX,BAL,0,5.105,7.5,12.605,6.807,2,0,2,2,0,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,747853,2024-03-22,ATH@CWS,ATH,CWS,49.148,25.248,3.655,ATH,CWS,0,3.06,2.035,5.095,2.751,2,8,10,9,1,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,6,1,medium,medium,high,early_scoring_explosion
2024,746833,2024-09-02,PIT@CHC,PIT,CHC,52.507,80.834,3.511,CHC,PIT,0,4.785,7.476,12.261,6.621,5,3,8,3,5,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2025,778484,2025-04-02,AZ@NYY,AZ,NYY,60.167,87.93,3.491,NYY,AZ,0,5.162,7.079,12.241,6.61,4,3,7,4,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,0,medium,medium,high,total_underperformed_projection
2023,718757,2023-04-01,LAA@ATH,LAA,ATH,24.875,49.925,3.42,ATH,LAA,0,2.065,3.265,5.33,2.878,13,1,14,12,2,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,12,0,medium,medium,high,early_scoring_explosion
2024,746834,2024-09-03,PIT@CHC,PIT,CHC,52.209,78.11,3.23,CHC,PIT,0,4.755,7.225,11.98,6.469,5,0,5,2,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,5,0,medium,medium,high,early_scoring_failed
2024,747873,2024-03-21,TOR@PIT,TOR,PIT,82.714,32.883,3.172,TOR,TOR,1,7.5,4.422,11.922,6.438,3,2,5,4,1,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,0,medium,medium,high,late_scoring_stalled
2024,747843,2024-03-23,WSN@STL,WSN,STL,52.454,71.704,3.022,STL,WSN,0,5.217,6.555,11.772,6.357,2,2,4,1,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,0,0,medium,medium,high,early_scoring_failed
2023,718738,2023-04-02,MIL@CHC,MIL,CHC,30.463,42.513,2.8,CHC,MIL,0,2.525,3.425,5.95,3.213,9,5,14,5,9,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,4,0,medium,medium,high,late_scoring_explosion
2025,778526,2025-03-30,PHI@WSN,PHI,WSN,94.547,39.972,2.8,PHI,WSN,0,7.4,4.15,11.55,6.237,1,5,6,3,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,4,1,medium,medium,high,early_scoring_failed
2025,776519,2025-08-31,MIA@NYM,MIA,NYM,52.074,74.488,2.779,NYM,MIA,0,4.796,6.733,11.529,6.226,5,1,6,5,1,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,4,0,medium,medium,high,late_scoring_stalled
2023,718739,2023-04-02,PHI@TEX,PHI,TEX,32.313,127.625,2.773,TEX,TEX,1,4.023,7.5,11.523,6.222,1,2,3,3,0,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,778524,2025-03-30,COL@TB,COL,TB,35.822,38.122,2.694,TB,TB,1,2.928,3.128,6.056,3.27,4,6,10,3,7,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,2,1,medium,medium,high,late_scoring_explosion
2024,747808,2024-03-25,SEA@SD,SEA,SD,59.312,67.662,2.691,SD,SEA,0,5.404,6.037,11.441,6.178,4,1,5,4,1,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,3,0,medium,medium,high,late_scoring_stalled
2023,718745,2023-04-02,MIN@KC,MIN,KC,48.238,33.775,2.615,MIN,MIN,1,2.965,3.17,6.135,3.313,7,4,11,3,8,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,3,0,medium,medium,high,late_scoring_explosion
2025,778525,2025-03-30,BAL@TOR,BAL,TOR,78.507,46.139,2.592,BAL,TOR,0,6.604,4.738,11.342,6.125,1,3,4,3,1,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2023,716802,2023-08-29,HOU@BOS,HOU,BOS,64.46,63.059,2.585,HOU,HOU,1,5.671,5.664,11.335,6.121,6,2,8,4,4,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,4,0,medium,medium,high,total_underperformed_projection
2023,718238,2023-05-09,CWS@KC,CWS,KC,55.693,58.817,2.581,KC,CWS,0,5.479,5.852,11.331,6.119,4,2,6,2,4,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2023,716869,2023-08-24,COL@TB,COL,TB,51.21,73.231,2.554,TB,TB,1,4.97,6.334,11.304,6.104,3,5,8,5,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,2,1,medium,medium,high,total_underperformed_projection
2025,777410,2025-06-21,AZ@COL,AZ,COL,65.797,51.225,2.541,AZ,AZ,1,5.926,5.365,11.291,6.097,5,3,8,8,0,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,2,0,medium,medium,high,late_scoring_stalled
2024,746832,2024-09-06,NYY@CHC,NYY,CHC,57.131,70.069,2.53,CHC,NYY,0,4.881,6.399,11.28,6.091,3,0,3,3,0,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,3,0,medium,medium,high,early_scoring_failed
2024,747855,2024-03-22,CIN@ATH,CIN,ATH,24.397,56.881,2.517,ATH,ATH,1,2.408,3.825,6.233,3.366,6,8,14,3,11,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,2,1,medium,medium,high,late_scoring_explosion
2025,776552,2025-08-29,ATL@PHI,ATL,PHI,56.246,69.083,2.516,PHI,PHI,1,5.165,6.101,11.266,6.084,1,2,3,2,1,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777838,2025-05-20,AZ@LAD,AZ,LAD,59.243,68.433,2.51,LAD,LAD,1,5.315,5.945,11.26,6.08,3,4,7,1,6,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,718218,2023-05-11,CWS@KC,CWS,KC,54.859,59.689,2.505,KC,KC,1,5.381,5.874,11.255,6.078,3,4,7,4,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,total_underperformed_projection
2024,745883,2024-07-07,HOU@MIN,HOU,MIN,60.638,65.965,2.462,MIN,MIN,1,5.329,5.883,11.212,6.054,2,3,5,4,1,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,late_scoring_stalled
2025,778532,2025-03-29,CHC@AZ,CHC,AZ,53.207,70.132,2.454,AZ,CHC,0,4.977,6.227,11.204,6.05,4,3,7,4,3,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,0,medium,medium,high,total_underperformed_projection
2024,747864,2024-03-22,DET@PHI,DET,PHI,76.223,42.973,2.425,DET,DET,1,6.775,4.4,11.175,6.035,4,3,7,1,6,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2023,718764,2023-03-31,CWS@HOU,CWS,HOU,52.635,32.185,2.382,CWS,HOU,0,3.584,2.784,6.368,3.439,3,6,9,1,8,unknown,unknown,full_total_9_plus,,,,,,8.75,0,1,0,,,3,1,medium,medium,high,late_scoring_explosion
2023,716604,2023-09-13,STL@BAL,STL,BAL,53.716,71.045,2.359,BAL,STL,0,4.985,6.124,11.109,5.999,1,0,1,1,0,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778219,2025-04-22,CIN@MIA,CIN,MIA,67.083,55.098,2.349,CIN,MIA,0,6.007,5.092,11.099,5.993,3,4,7,3,4,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,776457,2025-09-05,TOR@NYY,TOR,NYY,58.298,69.0,2.347,NYY,TOR,0,5.009,6.088,11.097,5.992,7,1,8,6,2,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,6,0,medium,medium,high,late_scoring_stalled
2024,747877,2024-03-21,BAL@BOS,BAL,BOS,105.606,40.208,2.332,BAL,BOS,0,7.5,3.582,11.082,5.984,2,3,5,1,4,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,746925,2024-07-31,SEA@BOS,SEA,BOS,58.871,64.077,2.282,BOS,BOS,1,5.34,5.692,11.032,5.957,2,3,5,3,2,unknown,unknown,full_total_9_plus,,,,,,8.75,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
