candidate_id,candidate_type,game_id,game_pk,market_ticker,event_ticker,market_type,settlement_horizon,side,candidate_line_value,resolved_line_value,selected_team_abbr,status,blocked_reason,eligible_for_paper,created_at,inning,half_inning,outs,score_away_at_candidate,score_home_at_candidate,entry_yes_bid,entry_yes_ask,entry_side_price,spread_cents,overall_watch_score,trigger_event_type,trigger_description,final_away_score,final_home_score,final_total,game_status,game_is_final,f5_away_score,f5_home_score,f5_total,f5_innings_seen,f5_has_all_5,market_yes_means,market_no_means,market_contract_direction,market_semantics_confidence,market_is_semantics_clear,market_spread_value,market_line_value,settlement_status,settlement_reason,settled_yes_value,settled_side_value,hold_to_settle_win,hold_to_settle_pnl_cents,hold_to_settle_roi,market_inferred_yes,market_inferred_reason,market_inferred_avg_price,market_inferred_at,market_inferred_source,context_source,team_strength_metric,team_strength_col,team_strength_bucket,offense_metric,offense_col,offense_bucket,recent_form_metric,recent_form_col,recent_form_bucket,bullpen_risk_metric,bullpen_risk_col,bullpen_risk_bucket,runs_per_game_context,runs_allowed_context,runs_needed_team_inferred,runs_needed_team_bucket,runs_needed_total_inferred,runs_needed_total_bucket
1504,trailing_team_total_lag_watch,PIT@ATH,824991,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,YES,6.0,6.0,PIT,blocked,rally_still_active,0,2026-06-16T22:40:42.722959,4,top,1,0,4,17,23,23,6,54.0,trailing_team_total_lag,PIT trails 4-0 in inning 4; team total may be lagging,6,5,11,Final,1,1,4,5,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,6.0,score_derived,team_total_yes_means_over_or_at_least_score_derived,100,100,1,77,3.3478,100,latest_market_price_near_100,99.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,52.3,team_strength_rating,50_55,48.9,offense_rating,45_50,,,missing,51.7,bullpen_risk_rating,elevated_50_60,4.986,4.792,6.0,need_6_plus,2.0,need_2
1468,trailing_team_total_lag_watch,LAA@AZ,825070,KXMLBTEAMTOTAL-26JUN162140LAAAZ-AZ2,KXMLBTEAMTOTAL-26JUN162140LAAAZ,team_total,full_game,YES,,2.0,AZ,blocked,wide_spread_hard_block: spread=20c > 12c,0,2026-06-16T22:25:40.599842,4,top,0,2,0,55,75,75,20,34.6,trailing_team_total_lag,AZ trails 2-0 in inning 4; team total may be lagging,7,0,7,Final,1,5,0,5,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-75,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,49.1,team_strength_rating,45_50,40.8,offense_rating,40_45,,,missing,43.7,bullpen_risk_rating,slightly_low_40_50,4.225,4.507,2.0,need_2,0.0,need_0_1
1377,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC4,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,4.0,CHC,blocked,rally_still_active,0,2026-06-16T21:35:31.757415,5,top,1,4,2,71,74,74,3,53.7,trailing_team_total_lag,CHC trails 4-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-74,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,2.0,need_2,-2.0,need_0_1
1509,trailing_team_total_lag_watch,PIT@ATH,824991,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,YES,6.0,6.0,PIT,blocked,rally_still_active,0,2026-06-16T22:42:42.778449,4,top,2,1,4,21,26,26,5,56.5,trailing_team_total_lag,PIT trails 4-1 in inning 4; team total may be lagging,6,5,11,Final,1,1,4,5,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,6.0,score_derived,team_total_yes_means_over_or_at_least_score_derived,100,100,1,74,2.8462,100,latest_market_price_near_100,99.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,52.3,team_strength_rating,50_55,48.9,offense_rating,45_50,,,missing,51.7,bullpen_risk_rating,elevated_50_60,4.986,4.792,5.0,need_5,1.0,need_0_1
1511,trailing_team_total_lag_watch,PIT@ATH,824991,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,YES,6.0,6.0,PIT,blocked,team_lag_observe_only,0,2026-06-16T22:43:42.797935,4,top,3,1,4,22,26,26,4,59.0,trailing_team_total_lag,PIT trails 4-1 in inning 4; team total may be lagging,6,5,11,Final,1,1,4,5,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,6.0,score_derived,team_total_yes_means_over_or_at_least_score_derived,100,100,1,74,2.8462,100,latest_market_price_near_100,99.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,52.3,team_strength_rating,50_55,48.9,offense_rating,45_50,,,missing,51.7,bullpen_risk_rating,elevated_50_60,4.986,4.792,5.0,need_5,1.0,need_0_1
997,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,5.0,NYM,blocked,wide_spread_hard_block: spread=37c > 12c,0,2026-06-16T19:35:20.535458,2,top,0,0,4,36,73,73,37,30.1,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-73,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,,,missing,44.1,bullpen_risk_rating,slightly_low_40_50,4.0,4.319,5.0,need_5,1.0,need_0_1
1386,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC4,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,4.0,CHC,blocked,team_lag_observe_only,0,2026-06-16T21:39:32.162659,5,bottom,0,5,2,68,73,73,5,49.9,trailing_team_total_lag,CHC trails 5-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-73,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,2.0,need_2,-3.0,need_0_1
1430,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC3,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,3.0,CHC,blocked,team_lag_observe_only,0,2026-06-16T22:01:37.660002,6,bottom,3,5,2,69,73,73,4,58.1,trailing_team_total_lag,CHC trails 5-2 in inning 6; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-73,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,1.0,need_0_1,-4.0,need_0_1
1487,trailing_team_total_lag_watch,LAA@AZ,825070,KXMLBTEAMTOTAL-26JUN162140LAAAZ-AZ3,KXMLBTEAMTOTAL-26JUN162140LAAAZ,team_total,full_game,YES,,3.0,AZ,blocked,wide_spread_hard_block: spread=23c > 12c,0,2026-06-16T22:33:42.206933,4,top,2,2,0,50,73,73,23,34.6,trailing_team_total_lag,AZ trails 2-0 in inning 4; team total may be lagging,7,0,7,Final,1,5,0,5,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-73,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,49.1,team_strength_rating,45_50,40.8,offense_rating,40_45,,,missing,43.7,bullpen_risk_rating,slightly_low_40_50,4.225,4.507,3.0,need_3,1.0,need_0_1
1542,trailing_team_total_lag_watch,PIT@ATH,824991,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,YES,6.0,6.0,PIT,blocked,rally_still_active,0,2026-06-16T22:59:44.507948,5,top,2,1,4,21,27,27,6,54.0,trailing_team_total_lag,PIT trails 4-1 in inning 5; team total may be lagging,6,5,11,Final,1,1,4,5,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,6.0,score_derived,team_total_yes_means_over_or_at_least_score_derived,100,100,1,73,2.7037,100,latest_market_price_near_100,99.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,52.3,team_strength_rating,50_55,48.9,offense_rating,45_50,,,missing,51.7,bullpen_risk_rating,elevated_50_60,4.986,4.792,5.0,need_5,1.0,need_0_1
