date,game_pk,game_id,market_ticker,market_type,derivative_type,candidate_surface,selected_team,opponent_team,line_value,contract_direction,yes_means,no_means,inning,half,outs,runners,score_away,score_home,score_diff,trailing_team,leading_team,batting_team,home_team,away_team,is_home_selected_team,selected_team_strength_rating,selected_team_form_context,opponent_strength_rating,weather_run_label,current_yes_bid,current_yes_ask,current_mid,current_spread,prior_mid_300s,next_mid_300s,delta_mid_next_300s,max_mid_next_300s,min_mid_next_300s,movement_favorable_to_yes,movement_favorable_to_no,nearest_play_description,seconds_since_last_play,seconds_since_last_score,recent_scoring_flag,active_rally_flag,market_nearly_settled_flag,wide_spread_flag,source
2026-06-15,824181,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,team_total,team_total,HOU,DET,,team_total_over_yes,team_total_over,team_total_under,5,bottom,1,-2-,6,3,-3,HOU,DET,HOU,HOU,DET,1,49.3,51.0,50.1,volatile,74,80,77,6,87,87,0,87,87,0,0,Status Change - Warmup,4428,,0,1,0,0,rest_poll
2026-06-15,822887,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,full_game_total,fg_total,fg_total,,,8.0,over_yes,over,under,8,bottom,1,,4,2,-2,TEX,MIN,TEX,TEX,MIN,,,,,not_applicable,73,74,73,1,55,55,0,55,55,0,0,Status Change - Warmup,6498,,0,0,0,0,rest_poll
2026-06-15,822887,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,full_game_total,fg_total,fg_total,,,8.0,over_yes,over,under,8,bottom,2,1--,4,2,-2,TEX,MIN,TEX,TEX,MIN,,,,,not_applicable,73,74,73,1,55,55,0,55,55,0,0,Status Change - Warmup,6619,,0,1,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,6,top,0,,6,3,-3,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,4849,,0,0,1,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,team_total,team_total,HOU,DET,,team_total_over_yes,team_total_over,team_total_under,6,top,0,,6,3,-3,HOU,DET,DET,HOU,DET,1,49.3,51.0,50.1,volatile,74,80,77,6,87,87,0,87,87,0,0,Status Change - Warmup,4849,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,6,top,0,1--,6,3,-3,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,4969,,0,1,1,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,team_total,team_total,HOU,DET,,team_total_over_yes,team_total_over,team_total_under,6,top,0,1--,6,3,-3,HOU,DET,DET,HOU,DET,1,49.3,51.0,50.1,volatile,74,80,77,6,87,87,0,87,87,0,0,Status Change - Warmup,4969,,0,1,0,0,rest_poll
2026-06-15,822887,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,full_game_total,fg_total,fg_total,,,8.0,over_yes,over,under,9,top,0,,4,2,-2,TEX,MIN,MIN,TEX,MIN,,,,,not_applicable,73,74,73,1,55,55,0,55,55,0,0,Status Change - Warmup,6980,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,6,bottom,0,,6,3,-3,HOU,DET,HOU,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,5270,,0,0,1,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,team_total,team_total,HOU,DET,,team_total_over_yes,team_total_over,team_total_under,6,bottom,0,,6,3,-3,HOU,DET,HOU,HOU,DET,1,49.3,51.0,50.1,volatile,74,80,77,6,87,87,0,87,87,0,0,Status Change - Warmup,5270,,0,0,0,0,rest_poll
2026-06-15,822887,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,full_game_total,fg_total,fg_total,,,8.0,over_yes,over,under,9,bottom,0,,4,2,-2,TEX,MIN,TEX,TEX,MIN,,,,,not_applicable,73,74,73,1,55,55,0,55,55,0,0,Status Change - Warmup,7280,,0,0,0,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,1,top,2,,2,0,-2,LAD,TB,TB,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,2,bottom,1,,0,3,3,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,,,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,7,top,0,,6,3,-3,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,5630,,0,0,1,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,7,top,0,1--,6,3,-3,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,5751,,0,1,1,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,1,bottom,0,,2,0,-2,LAD,TB,LAD,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,7,top,0,,8,3,-5,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,5811,,0,0,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,3,top,0,,0,3,3,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,,,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,7,bottom,0,,8,3,-5,HOU,DET,HOU,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,6171,,0,0,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,3,top,2,1--,0,3,3,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,,,,0,1,0,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,2,top,0,,2,0,-2,LAD,TB,TB,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,0,0,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,2,top,0,1--,2,0,-2,LAD,TB,TB,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,1,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,7,bottom,1,1--,8,3,-5,HOU,DET,HOU,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,6532,,0,1,1,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,2,top,2,--3,3,0,-3,LAD,TB,TB,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,1,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,3,bottom,0,,0,3,3,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,,,,0,0,0,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,2,top,3,,3,0,-3,LAD,TB,TB,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,0,0,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,2,bottom,0,,3,0,-3,LAD,TB,LAD,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,0,0,0,rest_poll
2026-06-15,823938,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,team_total,team_total,LAD,TB,,team_total_over_yes,team_total_over,team_total_under,2,bottom,0,-2-,3,0,-3,LAD,TB,LAD,LAD,TB,1,59.9,63.0,50.5,neutral,43,45,44,2,42,42,0,42,42,0,0,,,,0,1,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,8,top,0,,8,3,-5,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,6892,,0,0,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,top,0,,0,3,3,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,93,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,8,top,1,1--,8,3,-5,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,7072,,0,1,1,0,rest_poll
