market_ticker,market_type,game_id,away_team,home_team,parse_success,selected_team,run_line,is_f5,selected_is_away,selected_is_home,parse_note,snapshot_count,unique_mid_count,mid_min,mid_max,mid_range,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,market_liveness_label,score_at_first_snap,score_at_last_snap,stale_despite_score_change,flag_semantics_concern
KXMLBF5SPREAD-26JUN162210TBLAD-LAD2,f5_spread,TB@LAD,TB,LAD,True,LAD,2,True,False,True,,1107,5,28,65,37,1073.65,554.51,False,live_responsive,,0-1,False,False
KXMLBF5SPREAD-26JUN162210TBLAD-TB3,f5_spread,TB@LAD,TB,LAD,True,TB,3,True,True,False,,1107,5,16,57,41,1071.35,548.01,False,live_responsive,,0-1,False,False
KXMLBF5SPREAD-26JUN162210TBLAD-TB2,f5_spread,TB@LAD,TB,LAD,True,TB,2,True,True,False,,1107,4,25,62,37,1073.65,548.01,False,live_responsive,,0-1,False,False
KXMLBF5SPREAD-26JUN162210TBLAD-LAD3,f5_spread,TB@LAD,TB,LAD,True,LAD,3,True,False,True,,1107,6,19,60,41,1071.35,554.01,False,live_responsive,,0-1,False,False
KXMLBF5SPREAD-26JUN162140PITATH-ATH2,f5_spread,PIT@ATH,PIT,ATH,True,ATH,2,True,False,True,,1107,6,19,50,31,1071.35,539.51,True,live_responsive,,5-5,False,False
KXMLBF5SPREAD-26JUN162140PITATH-ATH3,f5_spread,PIT@ATH,PIT,ATH,True,ATH,3,True,False,True,,1107,6,14,50,36,1071.35,539.51,True,live_responsive,,5-5,False,False
KXMLBF5SPREAD-26JUN162140PITATH-PIT3,f5_spread,PIT@ATH,PIT,ATH,True,PIT,3,True,True,False,,1107,5,18,58,40,1071.35,511.01,True,live_responsive,,5-5,False,False
KXMLBF5SPREAD-26JUN162140PITATH-PIT2,f5_spread,PIT@ATH,PIT,ATH,True,PIT,2,True,True,False,,1107,5,23,62,39,1071.35,518.01,True,live_responsive,,5-5,False,False
KXMLBF5SPREAD-26JUN162140LAAAZ-LAA2,f5_spread,LAA@AZ,LAA,AZ,True,LAA,2,True,True,False,,1107,3,16,50,34,1073.65,534.51,False,live_responsive,,7-0,False,False
KXMLBF5SPREAD-26JUN162140LAAAZ-LAA3,f5_spread,LAA@AZ,LAA,AZ,True,LAA,3,True,True,False,,1107,4,11,50,39,1076.28,534.01,True,live_responsive,,7-0,False,False
