feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
big_inning_allowed_rate_L10_bucket,low_lt_25,team_won,"2023,2024,2025",3,2661,788,0.5164,0.0171,-0.0013,0.0311,mixed_or_noisy
BO_L10_bucket,high_105_115,opponent_runs_4plus,"2023,2024,2025",3,2073,656,0.575,0.017,0.0049,0.0266,mixed_or_noisy
BO_bucket,high_105_115,opponent_runs_4plus,"2023,2024,2025",3,2073,656,0.575,0.017,0.0049,0.0266,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,team_won,"2023,2024,2025",3,1120,353,0.5163,0.017,0.0082,0.0301,mixed_or_noisy
BD_L5_bucket,very_high_115_plus,opponent_runs_4plus,"2023,2024,2025",3,5750,1876,0.5411,-0.0168,-0.0223,-0.0112,mixed_or_noisy
BD_gap_bucket,minus_15_or_worse,opponent_runs_4plus,"2023,2024,2025",3,5272,1701,0.5746,0.0167,0.0115,0.0214,mixed_or_noisy
BD_gap_bucket,plus_15_plus,team_runs_4plus,"2023,2024,2025",3,5272,1701,0.5746,0.0167,0.0115,0.0214,mixed_or_noisy
BO_L10_bucket,very_high_115_plus,game_total_9plus,"2023,2024,2025",3,4604,1506,0.5151,0.0167,0.0092,0.0281,mixed_or_noisy
BO_bucket,very_high_115_plus,game_total_9plus,"2023,2024,2025",3,4604,1506,0.5151,0.0167,0.0092,0.0281,mixed_or_noisy
BO_gap_bucket,plus_15_plus,team_f5_runs_2plus,"2023,2024,2025",3,5095,1663,0.5998,0.0166,-0.0048,0.0309,mixed_or_noisy
BD_L10_bucket,high_105_115,team_f5_runs_2plus,"2023,2024,2025",3,1807,551,0.5668,-0.0164,-0.0291,0.0075,mixed_or_noisy
BD_bucket,high_105_115,team_f5_runs_2plus,"2023,2024,2025",3,1807,551,0.5668,-0.0164,-0.0291,0.0075,mixed_or_noisy
BD_L10_bucket,low_85_95,team_won,"2023,2024,2025",3,1972,648,0.4833,-0.016,-0.0243,-0.0108,mixed_or_noisy
BD_bucket,low_85_95,team_won,"2023,2024,2025",3,1972,648,0.4833,-0.016,-0.0243,-0.0108,mixed_or_noisy
BO_L5_bucket,high_105_115,opponent_runs_5plus,"2023,2024,2025",3,1601,514,0.4475,0.016,-0.0041,0.0341,mixed_or_noisy
strong_BO_clean_BD_tag,yes,opponent_runs_5plus,"2023,2024,2025",3,3330,1085,0.4156,-0.0159,-0.0247,-0.0055,mixed_or_noisy
BO_L5_bucket,very_low_lt_85,team_f5_runs_2plus,"2023,2024,2025",3,4859,1580,0.5674,-0.0158,-0.0219,-0.0087,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,opponent_runs_4plus,"2023,2024,2025",3,4179,1333,0.5738,0.0158,-0.0063,0.0452,mixed_or_noisy
BO_bucket,very_low_lt_85,opponent_runs_4plus,"2023,2024,2025",3,4179,1333,0.5738,0.0158,-0.0063,0.0452,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,team_f5_runs_2plus,"2023,2024,2025",3,3917,1266,0.5673,-0.0158,-0.0219,-0.0084,mixed_or_noisy
BD_bucket,very_low_lt_85,team_f5_runs_2plus,"2023,2024,2025",3,3917,1266,0.5673,-0.0158,-0.0219,-0.0084,mixed_or_noisy
BO_event_bucket,very_low_lt_85,opponent_post5_runs_2plus,"2023,2024,2025",3,3528,1159,0.4968,0.0158,0.0019,0.0235,mixed_or_noisy
extra_innings_previous_game,yes,opponent_runs_5plus,"2023,2024,2025",3,1268,409,0.4158,-0.0158,-0.0399,0.0214,mixed_or_noisy
BD_L5_bucket,high_105_115,team_won,"2023,2024,2025",3,1478,463,0.4836,-0.0157,-0.0292,-0.0021,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,team_post5_runs_2plus,"2023,2024,2025",3,5095,1663,0.4654,-0.0156,-0.0196,-0.0114,mixed_or_noisy
BO_gap_bucket,plus_15_plus,opponent_post5_runs_2plus,"2023,2024,2025",3,5095,1663,0.4654,-0.0156,-0.0196,-0.0114,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,neutral_minus7_plus7,game_total_10plus,"2023,2024,2025",3,2131,679,0.3836,-0.0155,-0.0297,0.0036,mixed_or_noisy
BO_L10_bucket,very_high_115_plus,team_f5_runs_2plus,"2023,2024,2025",3,4604,1506,0.5986,0.0154,-0.0047,0.0379,mixed_or_noisy
BO_bucket,very_high_115_plus,team_f5_runs_2plus,"2023,2024,2025",3,4604,1506,0.5986,0.0154,-0.0047,0.0379,mixed_or_noisy
BO_event_bucket,low_85_95,opponent_runs_5plus,"2023,2024,2025",3,3090,1000,0.4162,-0.0154,-0.0316,-0.0006,mixed_or_noisy
BD_gap_bucket,minus_7_to_15,game_total_10plus,"2023,2024,2025",3,1162,383,0.4145,0.0154,0.0111,0.0221,mixed_or_noisy
BD_gap_bucket,plus_7_to_15,game_total_10plus,"2023,2024,2025",3,1162,383,0.4145,0.0154,0.0111,0.0221,mixed_or_noisy
BD_L5_bucket,very_high_115_plus,opponent_runs_5plus,"2023,2024,2025",3,5750,1876,0.4162,-0.0153,-0.0209,-0.0114,mixed_or_noisy
BD_L10_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,5199,1660,0.5147,0.0153,0.0034,0.0269,mixed_or_noisy
BD_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,5199,1660,0.5147,0.0153,0.0034,0.0269,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,team_runs_5plus,"2023,2024,2025",3,3917,1266,0.4163,-0.0153,-0.0225,-0.0114,mixed_or_noisy
BD_bucket,very_low_lt_85,team_runs_5plus,"2023,2024,2025",3,3917,1266,0.4163,-0.0153,-0.0225,-0.0114,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,neutral_minus7_plus7,opponent_post5_runs_2plus,"2023,2024,2025",3,2131,679,0.4656,-0.0153,-0.019,-0.0105,mixed_or_noisy
BO_event_bucket,very_low_lt_85,team_post5_runs_2plus,"2023,2024,2025",3,3528,1159,0.4658,-0.0152,-0.0223,-0.0062,mixed_or_noisy
BD_chaos_bucket,low_85_95,team_won,"2023,2024,2025",3,1669,506,0.4841,-0.0152,-0.0528,0.023,mixed_or_noisy
BD_L5_bucket,high_105_115,opponent_runs_5plus,"2023,2024,2025",3,1478,463,0.4466,0.0151,-0.0062,0.0421,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,opponent_runs_5plus,"2023,2024,2025",3,4179,1333,0.4466,0.015,-0.0001,0.034,mixed_or_noisy
BO_bucket,very_low_lt_85,opponent_runs_5plus,"2023,2024,2025",3,4179,1333,0.4466,0.015,-0.0001,0.034,mixed_or_noisy
BD_gap_bucket,neutral_minus7_plus7,f5_total_4plus,"2023,2024,2025",3,2046,624,0.6409,0.0149,-0.0249,0.053,mixed_or_noisy
BO_plus_tired_bullpen_tag,yes,game_total_10plus,"2023,2024,2025",3,5172,1717,0.4139,0.0148,0.0077,0.0206,mixed_or_noisy
BO_event_bucket,low_85_95,game_total_9plus,"2023,2024,2025",3,3090,1000,0.4837,-0.0148,-0.0222,-0.0063,mixed_or_noisy
BO_plus_tired_bullpen_tag,yes,team_runs_4plus,"2023,2024,2025",3,5172,1717,0.5727,0.0147,0.0114,0.0181,mixed_or_noisy
BO_event_bucket,very_high_115_plus,opponent_runs_5plus,"2023,2024,2025",3,2686,811,0.4169,-0.0147,-0.026,-0.001,mixed_or_noisy
BD_chaos_bucket,very_high_115_plus,opponent_runs_5plus,"2023,2024,2025",3,5675,1870,0.417,-0.0146,-0.0257,-0.0079,mixed_or_noisy
BO_event_bucket,high_105_115,opponent_runs_4plus,"2023,2024,2025",3,2481,796,0.5433,-0.0146,-0.0198,-0.0114,mixed_or_noisy
error_rate_L10_bucket,high_55_70,game_total_9plus,"2023,2024,2025",3,1691,520,0.484,-0.0145,-0.0164,-0.0129,mixed_or_noisy
BD_L5_bucket,high_105_115,team_f5_runs_2plus,"2023,2024,2025",3,1478,463,0.5977,0.0145,0.0079,0.0189,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,minus_7_to_15,team_post5_runs_2plus,"2023,2024,2025",3,1220,390,0.4664,-0.0145,-0.0419,0.0089,mixed_or_noisy
BD_L5_bucket,very_low_lt_85,opponent_runs_5plus,"2023,2024,2025",3,4438,1461,0.446,0.0144,0.0071,0.0238,mixed_or_noisy
BD_chaos_bucket,high_105_115,team_runs_5plus,"2023,2024,2025",3,2318,696,0.446,0.0144,0.0013,0.0261,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,very_high_70_plus,opponent_runs_5plus,"2023,2024,2025",3,1036,329,0.446,0.0144,-0.0079,0.0363,mixed_or_noisy
reliever_appearances_last_2d_bucket,low_1_3,opponent_runs_5plus,"2023,2024,2025",3,422,131,0.4172,-0.0144,-0.0349,0.0081,mixed_or_noisy
BO_event_bucket,avg_95_105,opponent_runs_4plus,"2023,2024,2025",3,3135,938,0.5723,0.0143,0.0051,0.0225,mixed_or_noisy
BD_gap_bucket,minus_7_to_15,team_runs_4plus,"2023,2024,2025",3,1162,383,0.5723,0.0143,-0.0234,0.0531,mixed_or_noisy
BD_gap_bucket,plus_7_to_15,opponent_runs_4plus,"2023,2024,2025",3,1162,383,0.5723,0.0143,-0.0234,0.0531,mixed_or_noisy
BD_chaos_bucket,very_high_115_plus,opponent_runs_4plus,"2023,2024,2025",3,5675,1870,0.5437,-0.0142,-0.0223,-0.0003,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,low_lt_25,team_post5_runs_2plus,"2023,2024,2025",3,2661,788,0.4668,-0.0142,-0.0226,-0.0018,mixed_or_noisy
extra_innings_previous_game,yes,game_total_10plus,"2023,2024,2025",3,1268,409,0.3849,-0.0142,-0.0342,-0.0027,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,minus_15_or_worse,team_post5_runs_2plus,"2023,2024,2025",3,5602,1794,0.4668,-0.0141,-0.0242,-0.0055,mixed_or_noisy
BD_L10_bucket,very_high_115_plus,team_f5_runs_2plus,"2023,2024,2025",3,5199,1660,0.5973,0.0141,0.0129,0.0157,mixed_or_noisy
BD_bucket,very_high_115_plus,team_f5_runs_2plus,"2023,2024,2025",3,5199,1660,0.5973,0.0141,0.0129,0.0157,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,opponent_post5_runs_2plus,"2023,2024,2025",3,3917,1266,0.4951,0.0141,0.0084,0.0197,mixed_or_noisy
BD_bucket,very_low_lt_85,opponent_post5_runs_2plus,"2023,2024,2025",3,3917,1266,0.4951,0.0141,0.0084,0.0197,mixed_or_noisy
BO_L10_bucket,high_105_115,team_runs_5plus,"2023,2024,2025",3,2073,656,0.4456,0.0141,-0.0212,0.0486,mixed_or_noisy
BO_bucket,high_105_115,team_runs_5plus,"2023,2024,2025",3,2073,656,0.4456,0.0141,-0.0212,0.0486,mixed_or_noisy
BD_L5_bucket,avg_95_105,opponent_post5_runs_2plus,"2023,2024,2025",3,1588,515,0.4668,-0.0141,-0.0254,-0.0073,mixed_or_noisy
starter_short_outing_previous_game,yes,opponent_runs_5plus,"2023,2024,2025",3,5089,1662,0.4454,0.0139,0.0032,0.0237,mixed_or_noisy
BD_L10_bucket,high_105_115,f5_total_4plus,"2023,2024,2025",3,1807,551,0.6121,-0.0139,-0.0273,-0.0035,mixed_or_noisy
BD_bucket,high_105_115,f5_total_4plus,"2023,2024,2025",3,1807,551,0.6121,-0.0139,-0.0273,-0.0035,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,minus_15_or_worse,opponent_runs_4plus,"2023,2024,2025",3,5602,1794,0.5717,0.0138,0.003,0.0309,mixed_or_noisy
BO_event_bucket,very_high_115_plus,team_post5_runs_2plus,"2023,2024,2025",3,2686,811,0.4948,0.0138,0.0024,0.0256,mixed_or_noisy
error_rate_L10_bucket,high_55_70,opponent_runs_4plus,"2023,2024,2025",3,1691,520,0.5442,-0.0138,-0.0254,0.0007,mixed_or_noisy
reliever_appearances_last_2d_bucket,medium_4_6,opponent_post5_runs_2plus,"2023,2024,2025",3,7058,2298,0.4672,-0.0137,-0.0167,-0.0081,mixed_or_noisy
strong_BO_clean_BD_tag,yes,opponent_runs_4plus,"2023,2024,2025",3,3330,1085,0.5444,-0.0136,-0.0273,-0.0014,mixed_or_noisy
BD_gap_bucket,minus_15_or_worse,opponent_runs_5plus,"2023,2024,2025",3,5272,1701,0.4451,0.0135,0.009,0.0195,mixed_or_noisy
BD_gap_bucket,plus_15_plus,team_runs_5plus,"2023,2024,2025",3,5272,1701,0.4451,0.0135,0.009,0.0195,mixed_or_noisy
BO_event_bucket,high_105_115,team_post5_runs_2plus,"2023,2024,2025",3,2481,796,0.4944,0.0135,-0.0009,0.0324,mixed_or_noisy
BD_chaos_bucket,high_105_115,team_post5_runs_2plus,"2023,2024,2025",3,2318,696,0.4945,0.0135,-0.0054,0.0319,mixed_or_noisy
BD_L5_bucket,low_85_95,opponent_runs_4plus,"2023,2024,2025",3,1666,526,0.5714,0.0135,0.008,0.0187,mixed_or_noisy
BD_gap_bucket,plus_7_to_15,team_f5_runs_2plus,"2023,2024,2025",3,1162,383,0.5697,-0.0135,-0.0365,0.0054,mixed_or_noisy
BO_event_bucket,avg_95_105,f5_total_4plus,"2023,2024,2025",3,3135,938,0.6394,0.0134,0.0018,0.0215,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,below_avg_25_40,team_won,"2023,2024,2025",3,3121,955,0.5127,0.0134,-0.0065,0.0263,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,low_lt_25,opponent_post5_runs_2plus,"2023,2024,2025",3,2661,788,0.4677,-0.0133,-0.0168,-0.0098,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,team_f5_runs_2plus,"2023,2024,2025",3,1808,537,0.5699,-0.0133,-0.028,0.0012,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,4179,1333,0.4853,-0.0132,-0.0283,-0.0008,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,team_f5_runs_2plus,"2023,2024,2025",3,4179,1333,0.5699,-0.0132,-0.0356,0.006,mixed_or_noisy
BO_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,4179,1333,0.4853,-0.0132,-0.0283,-0.0008,mixed_or_noisy
BO_bucket,very_low_lt_85,team_f5_runs_2plus,"2023,2024,2025",3,4179,1333,0.5699,-0.0132,-0.0356,0.006,mixed_or_noisy
BD_chaos_bucket,very_low_lt_85,f5_total_4plus,"2023,2024,2025",3,3405,1107,0.6391,0.0132,0.0056,0.0212,mixed_or_noisy
BO_L5_bucket,avg_95_105,team_runs_4plus,"2023,2024,2025",3,1684,531,0.5711,0.0132,0.0084,0.0157,mixed_or_noisy
reliever_appearances_last_2d_bucket,medium_4_6,game_total_9plus,"2023,2024,2025",3,7058,2298,0.4853,-0.0131,-0.0254,-0.0061,mixed_or_noisy
BO_event_bucket,low_85_95,team_f5_runs_2plus,"2023,2024,2025",3,3090,1000,0.5701,-0.0131,-0.0187,-0.0024,mixed_or_noisy
BD_L10_bucket,low_85_95,opponent_runs_4plus,"2023,2024,2025",3,1972,648,0.571,0.0131,-0.008,0.0364,mixed_or_noisy
BD_bucket,low_85_95,opponent_runs_4plus,"2023,2024,2025",3,1972,648,0.571,0.0131,-0.008,0.0364,mixed_or_noisy
BD_chaos_bucket,low_85_95,team_f5_runs_2plus,"2023,2024,2025",3,1669,506,0.57,-0.0131,-0.0384,0.0004,mixed_or_noisy
BO_gap_bucket,neutral_minus7_plus7,opponent_post5_runs_2plus,"2023,2024,2025",3,2234,708,0.468,-0.013,-0.0172,-0.0051,mixed_or_noisy
BO_gap_bucket,neutral_minus7_plus7,team_post5_runs_2plus,"2023,2024,2025",3,2234,708,0.468,-0.013,-0.0172,-0.0051,mixed_or_noisy
reliever_appearances_last_2d_bucket,high_7_10,opponent_post5_runs_2plus,"2023,2024,2025",3,7197,2314,0.4938,0.0129,0.0075,0.0204,mixed_or_noisy
BD_chaos_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,5675,1870,0.5121,0.0128,0.0053,0.0255,mixed_or_noisy
starter_short_outing_previous_game,yes,team_f5_runs_2plus,"2023,2024,2025",3,5089,1662,0.5703,-0.0128,-0.0145,-0.0113,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,low_lt_25,f5_total_4plus,"2023,2024,2025",3,2661,788,0.6131,-0.0128,-0.0351,0.0026,mixed_or_noisy
BO_L5_bucket,high_105_115,team_won,"2023,2024,2025",3,1601,514,0.4865,-0.0128,-0.0261,-0.0039,mixed_or_noisy
extra_innings_previous_game,yes,team_runs_5plus,"2023,2024,2025",3,1268,409,0.4188,-0.0128,-0.0399,0.0116,mixed_or_noisy
BO_event_bucket,high_105_115,game_total_10plus,"2023,2024,2025",3,2481,796,0.4118,0.0127,0.0002,0.027,mixed_or_noisy
BD_chaos_bucket,avg_95_105,opponent_runs_5plus,"2023,2024,2025",3,1853,586,0.4189,-0.0127,-0.024,-0.0036,mixed_or_noisy
BD_chaos_bucket,low_85_95,f5_total_4plus,"2023,2024,2025",3,1669,506,0.6132,-0.0127,-0.0329,0.0081,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,minus_15_or_worse,game_total_9plus,"2023,2024,2025",3,5602,1794,0.4858,-0.0126,-0.0266,-0.002,mixed_or_noisy
BO_event_bucket,very_low_lt_85,opponent_runs_5plus,"2023,2024,2025",3,3528,1159,0.4442,0.0126,0.0036,0.0227,mixed_or_noisy
bullpen_outs_last_2d_bucket,very_heavy_28_plus,team_runs_4plus,"2023,2024,2025",3,2542,786,0.5454,-0.0126,-0.0226,0.0013,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,neutral_minus7_plus7,game_total_9plus,"2023,2024,2025",3,2131,679,0.4859,-0.0126,-0.0217,0.0007,mixed_or_noisy
BO_L10_bucket,avg_95_105,team_runs_4plus,"2023,2024,2025",3,2079,628,0.5453,-0.0126,-0.0342,0.0139,mixed_or_noisy
BO_bucket,avg_95_105,team_runs_4plus,"2023,2024,2025",3,2079,628,0.5453,-0.0126,-0.0342,0.0139,mixed_or_noisy
reliever_appearances_last_2d_bucket,high_7_10,opponent_runs_5plus,"2023,2024,2025",3,7197,2314,0.4441,0.0125,0.0017,0.0223,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,opponent_post5_runs_2plus,"2023,2024,2025",3,5095,1663,0.4934,0.0125,0.0098,0.0162,mixed_or_noisy
BO_gap_bucket,plus_15_plus,team_post5_runs_2plus,"2023,2024,2025",3,5095,1663,0.4934,0.0125,0.0098,0.0162,mixed_or_noisy
BD_L10_bucket,avg_95_105,opponent_runs_4plus,"2023,2024,2025",3,2025,647,0.5454,-0.0125,-0.0186,-0.009,mixed_or_noisy
BD_bucket,avg_95_105,opponent_runs_4plus,"2023,2024,2025",3,2025,647,0.5454,-0.0125,-0.0186,-0.009,mixed_or_noisy
BD_chaos_bucket,avg_95_105,opponent_runs_4plus,"2023,2024,2025",3,1853,586,0.5456,-0.0124,-0.0203,-0.0066,mixed_or_noisy
BD_L5_bucket,low_85_95,opponent_post5_runs_2plus,"2023,2024,2025",3,1666,526,0.4933,0.0124,-0.0118,0.0368,mixed_or_noisy
BO_L5_bucket,low_85_95,team_f5_runs_2plus,"2023,2024,2025",3,1584,514,0.5707,-0.0124,-0.0172,-0.0069,mixed_or_noisy
reliever_appearances_last_2d_bucket,medium_4_6,opponent_runs_5plus,"2023,2024,2025",3,7058,2298,0.4192,-0.0123,-0.0189,-0.0016,mixed_or_noisy
BO_L10_bucket,low_85_95,opponent_runs_5plus,"2023,2024,2025",3,1985,597,0.4193,-0.0123,-0.0244,0.0071,mixed_or_noisy
BO_bucket,low_85_95,opponent_runs_5plus,"2023,2024,2025",3,1985,597,0.4193,-0.0123,-0.0244,0.0071,mixed_or_noisy
BD_chaos_bucket,very_low_lt_85,team_runs_4plus,"2023,2024,2025",3,3405,1107,0.5458,-0.0122,-0.0233,0.0056,mixed_or_noisy
BO_event_bucket,very_high_115_plus,f5_total_4plus,"2023,2024,2025",3,2686,811,0.6382,0.0122,-0.0024,0.0354,mixed_or_noisy
reliever_appearances_last_2d_bucket,medium_4_6,game_total_10plus,"2023,2024,2025",3,7058,2298,0.387,-0.0121,-0.0172,-0.0095,mixed_or_noisy
BD_L5_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,4438,1461,0.5105,0.0121,0.0037,0.0181,mixed_or_noisy
BO_event_bucket,very_high_115_plus,opponent_runs_4plus,"2023,2024,2025",3,2686,811,0.5458,-0.0121,-0.0254,0.0007,mixed_or_noisy
BD_L10_bucket,avg_95_105,team_f5_runs_2plus,"2023,2024,2025",3,2025,647,0.5953,0.0121,0.0077,0.0171,mixed_or_noisy
BD_bucket,avg_95_105,team_f5_runs_2plus,"2023,2024,2025",3,2025,647,0.5953,0.0121,0.0077,0.0171,mixed_or_noisy
error_rate_L10_bucket,high_55_70,team_won,"2023,2024,2025",3,1691,520,0.5115,0.0121,-0.023,0.0382,mixed_or_noisy
BO_L5_bucket,very_high_115_plus,team_runs_4plus,"2023,2024,2025",3,5192,1714,0.57,0.012,0.0099,0.0153,mixed_or_noisy
BO_L10_bucket,low_85_95,opponent_runs_4plus,"2023,2024,2025",3,1985,597,0.546,-0.012,-0.015,-0.0062,mixed_or_noisy
BO_bucket,low_85_95,opponent_runs_4plus,"2023,2024,2025",3,1985,597,0.546,-0.012,-0.015,-0.0062,mixed_or_noisy
BO_gap_bucket,minus_7_to_15,opponent_runs_4plus,"2023,2024,2025",3,1245,378,0.57,0.012,-0.0048,0.0248,mixed_or_noisy
BO_gap_bucket,plus_7_to_15,team_runs_4plus,"2023,2024,2025",3,1245,378,0.57,0.012,-0.0048,0.0248,mixed_or_noisy
reliever_appearances_last_2d_bucket,high_7_10,game_total_10plus,"2023,2024,2025",3,7197,2314,0.4109,0.0118,0.0107,0.014,mixed_or_noisy
back_to_back_reliever_count_bucket,low_1_3,game_total_10plus,"2023,2024,2025",3,6526,2093,0.4109,0.0118,0.0072,0.0157,mixed_or_noisy
BO_plus_weak_BD_tag,yes,f5_total_4plus,"2023,2024,2025",3,2907,942,0.6378,0.0118,-0.0001,0.0237,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,avg_40_55,opponent_runs_5plus,"2023,2024,2025",3,6294,1979,0.4433,0.0117,0.0058,0.0172,mixed_or_noisy
BD_chaos_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,3405,1107,0.5102,0.0117,-0.015,0.0268,mixed_or_noisy
BD_chaos_bucket,very_low_lt_85,opponent_post5_runs_2plus,"2023,2024,2025",3,3405,1107,0.4927,0.0117,0.006,0.0168,mixed_or_noisy
avoid_low_BO_strong_BD_tag,no,team_runs_5plus,"2023,2024,2025",3,11880,3882,0.4432,0.0116,0.0083,0.0138,mixed_or_noisy
reliever_appearances_last_2d_bucket,high_7_10,game_total_9plus,"2023,2024,2025",3,7197,2314,0.51,0.0116,0.0083,0.0172,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,avg_40_55,game_total_10plus,"2023,2024,2025",3,6294,1979,0.4107,0.0116,0.0076,0.0152,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,avg_40_55,team_runs_5plus,"2023,2024,2025",3,6294,1979,0.4432,0.0116,0.0067,0.0163,mixed_or_noisy
BD_L5_bucket,very_high_115_plus,opponent_post5_runs_2plus,"2023,2024,2025",3,5750,1876,0.4695,-0.0115,-0.0158,-0.0051,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,f5_total_4plus,"2023,2024,2025",3,3917,1266,0.6375,0.0115,-0.0036,0.0207,mixed_or_noisy
BD_bucket,very_low_lt_85,f5_total_4plus,"2023,2024,2025",3,3917,1266,0.6375,0.0115,-0.0036,0.0207,mixed_or_noisy
BO_L5_bucket,low_85_95,team_runs_4plus,"2023,2024,2025",3,1584,514,0.5695,0.0115,-0.0095,0.0221,mixed_or_noisy
BO_plus_tired_bullpen_tag,yes,team_f5_runs_2plus,"2023,2024,2025",3,5172,1717,0.5945,0.0114,0.0065,0.0175,mixed_or_noisy
avoid_low_BO_strong_BD_tag,yes,opponent_runs_4plus,"2023,2024,2025",3,3132,974,0.5693,0.0114,-0.0128,0.0354,mixed_or_noisy
BO_L5_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,4859,1580,0.4872,-0.0113,-0.0253,0.0048,mixed_or_noisy
BO_plus_tired_bullpen_tag,yes,game_total_9plus,"2023,2024,2025",3,5172,1717,0.5096,0.0112,0.0087,0.0156,mixed_or_noisy
BO_event_bucket,low_85_95,team_runs_4plus,"2023,2024,2025",3,3090,1000,0.5467,-0.0112,-0.0193,-0.0023,mixed_or_noisy
error_rate_L10_bucket,high_55_70,game_total_10plus,"2023,2024,2025",3,1691,520,0.3879,-0.0112,-0.0184,-0.0069,mixed_or_noisy
reliever_appearances_last_2d_bucket,medium_4_6,opponent_runs_4plus,"2023,2024,2025",3,7058,2298,0.5468,-0.0111,-0.0214,-0.0027,mixed_or_noisy
starter_short_outing_previous_game,yes,team_won,"2023,2024,2025",3,5089,1662,0.4882,-0.0111,-0.0133,-0.0084,mixed_or_noisy
BD_L5_bucket,very_low_lt_85,opponent_post5_runs_2plus,"2023,2024,2025",3,4438,1461,0.492,0.0111,0.0065,0.0163,mixed_or_noisy
error_rate_L10_bucket,very_high_70_plus,team_f5_runs_2plus,"2023,2024,2025",3,2187,638,0.572,-0.0111,-0.0128,-0.0078,mixed_or_noisy
BD_chaos_bucket,avg_95_105,game_total_10plus,"2023,2024,2025",3,1853,586,0.388,-0.0111,-0.0234,0.0042,mixed_or_noisy
BD_L5_bucket,low_85_95,game_total_9plus,"2023,2024,2025",3,1666,526,0.4873,-0.0111,-0.0306,0.0086,mixed_or_noisy
BO_event_bucket,very_low_lt_85,game_total_10plus,"2023,2024,2025",3,3528,1159,0.3881,-0.011,-0.0304,0.008,mixed_or_noisy
BO_plus_tired_bullpen_tag,no,team_runs_5plus,"2023,2024,2025",3,9840,3214,0.4207,-0.0109,-0.0133,-0.0079,mixed_or_noisy
BD_L5_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,4438,1461,0.4885,-0.0109,-0.0154,-0.0053,mixed_or_noisy
error_rate_L10_bucket,below_avg_25_40,opponent_runs_5plus,"2023,2024,2025",3,2587,824,0.4206,-0.0109,-0.0264,0.0056,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,f5_total_4plus,"2023,2024,2025",3,1808,537,0.6369,0.0109,-0.0114,0.0292,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,game_total_9plus,"2023,2024,2025",3,1808,537,0.5093,0.0109,-0.0151,0.0436,mixed_or_noisy
BD_L5_bucket,avg_95_105,f5_total_4plus,"2023,2024,2025",3,1588,515,0.6151,-0.0109,-0.0562,0.0221,mixed_or_noisy
BD_L5_bucket,high_105_115,opponent_post5_runs_2plus,"2023,2024,2025",3,1478,463,0.4919,0.0109,-0.0007,0.0257,mixed_or_noisy
BO_event_bucket,very_low_lt_85,f5_total_4plus,"2023,2024,2025",3,3528,1159,0.6152,-0.0108,-0.0178,-0.0022,mixed_or_noisy
BD_L10_bucket,high_105_115,opponent_runs_5plus,"2023,2024,2025",3,1807,551,0.4208,-0.0108,-0.0339,0.0226,mixed_or_noisy
BD_bucket,high_105_115,opponent_runs_5plus,"2023,2024,2025",3,1807,551,0.4208,-0.0108,-0.0339,0.0226,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,team_runs_4plus,"2023,2024,2025",3,3917,1266,0.5473,-0.0107,-0.0176,-0.0048,mixed_or_noisy
