feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
BD_gap_bucket,minus_7_to_15,opponent_runs_4plus,"2023,2024,2025",3,1162,383,0.5875,0.0296,0.0166,0.054,mixed_or_noisy
BD_gap_bucket,plus_7_to_15,team_runs_4plus,"2023,2024,2025",3,1162,383,0.5875,0.0296,0.0166,0.054,mixed_or_noisy
BD_L5_bucket,low_85_95,team_post5_runs_2plus,"2023,2024,2025",3,1666,526,0.5101,0.0292,0.0102,0.0422,mixed_or_noisy
BO_plus_weak_BD_tag,yes,game_total_9plus,"2023,2024,2025",3,2907,942,0.5274,0.029,0.0201,0.0355,mixed_or_noisy
BD_gap_bucket,minus_7_to_15,opponent_post5_runs_2plus,"2023,2024,2025",3,1162,383,0.51,0.029,0.0083,0.0643,mixed_or_noisy
BD_gap_bucket,plus_7_to_15,team_post5_runs_2plus,"2023,2024,2025",3,1162,383,0.51,0.029,0.0083,0.0643,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,game_total_10plus,"2023,2024,2025",3,1120,353,0.3701,-0.029,-0.0405,-0.02,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_15_plus,team_won,"2023,2024,2025",3,4841,1576,0.528,0.0287,0.0221,0.036,mixed_or_noisy
strong_BO_clean_BD_tag,yes,team_runs_5plus,"2023,2024,2025",3,3330,1085,0.4602,0.0286,0.0209,0.0332,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,3917,1266,0.4708,-0.0285,-0.0407,-0.0221,mixed_or_noisy
BD_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,3917,1266,0.4708,-0.0285,-0.0407,-0.0221,mixed_or_noisy
BD_chaos_bucket,very_low_lt_85,opponent_runs_4plus,"2023,2024,2025",3,3405,1107,0.5864,0.0285,0.0101,0.0397,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,low_lt_25,opponent_runs_5plus,"2023,2024,2025",3,2661,788,0.4035,-0.0281,-0.0353,-0.0202,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,team_runs_4plus,"2023,2024,2025",3,1120,353,0.5858,0.0278,0.0239,0.031,mixed_or_noisy
BO_plus_weak_BD_tag,yes,team_f5_runs_2plus,"2023,2024,2025",3,2907,942,0.6109,0.0277,0.0056,0.0393,mixed_or_noisy
error_rate_L10_bucket,very_high_70_plus,team_won,"2023,2024,2025",3,2187,638,0.4717,-0.0276,-0.0408,-0.0075,mixed_or_noisy
error_rate_L10_bucket,very_high_70_plus,opponent_runs_5plus,"2023,2024,2025",3,2187,638,0.4591,0.0275,-0.0038,0.0563,mixed_or_noisy
BD_gap_bucket,plus_15_plus,team_won,"2023,2024,2025",3,5272,1701,0.5267,0.0274,0.0231,0.0326,mixed_or_noisy
BD_gap_bucket,minus_15_or_worse,team_runs_4plus,"2023,2024,2025",3,5272,1701,0.5306,-0.0273,-0.0435,-0.0161,mixed_or_noisy
BD_gap_bucket,minus_15_or_worse,team_won,"2023,2024,2025",3,5272,1701,0.472,-0.0273,-0.0326,-0.0229,mixed_or_noisy
BD_gap_bucket,plus_15_plus,opponent_runs_4plus,"2023,2024,2025",3,5272,1701,0.5306,-0.0273,-0.0435,-0.0161,mixed_or_noisy
