season,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,BD_L10_bucket,high_105_115,team_runs_4plus,551,0.5227,0.5493,-0.0266
2023,BD_L10_bucket,high_105_115,team_runs_5plus,612,0.4542,0.4529,0.0013
2024,BD_L10_bucket,high_105_115,team_runs_5plus,644,0.4301,0.4252,0.0049
2025,BD_L10_bucket,high_105_115,team_runs_5plus,551,0.4138,0.4166,-0.0028
2023,BD_L10_bucket,high_105_115,team_won,612,0.5049,0.5,0.0049
2024,BD_L10_bucket,high_105_115,team_won,644,0.5217,0.498,0.0237
2025,BD_L10_bucket,high_105_115,team_won,551,0.5027,0.5,0.0027
2023,BD_L10_bucket,low_85_95,f5_total_4plus,658,0.6231,0.6342,-0.0111
2024,BD_L10_bucket,low_85_95,f5_total_4plus,666,0.6171,0.6211,-0.004
2025,BD_L10_bucket,low_85_95,f5_total_4plus,648,0.6451,0.6226,0.0225
2023,BD_L10_bucket,low_85_95,game_total_10plus,658,0.4271,0.4257,0.0014
2024,BD_L10_bucket,low_85_95,game_total_10plus,666,0.3949,0.3805,0.0144
2025,BD_L10_bucket,low_85_95,game_total_10plus,648,0.3951,0.3911,0.004
2023,BD_L10_bucket,low_85_95,game_total_9plus,658,0.5289,0.5237,0.0052
2024,BD_L10_bucket,low_85_95,game_total_9plus,666,0.485,0.4863,-0.0013
2025,BD_L10_bucket,low_85_95,game_total_9plus,648,0.4907,0.4853,0.0054
2023,BD_L10_bucket,low_85_95,opponent_post5_runs_2plus,658,0.5122,0.4955,0.0167
2024,BD_L10_bucket,low_85_95,opponent_post5_runs_2plus,666,0.4565,0.4773,-0.0208
2025,BD_L10_bucket,low_85_95,opponent_post5_runs_2plus,648,0.4722,0.4701,0.0021
2023,BD_L10_bucket,low_85_95,opponent_runs_4plus,658,0.6109,0.5745,0.0364
2024,BD_L10_bucket,low_85_95,opponent_runs_4plus,666,0.542,0.55,-0.008
2025,BD_L10_bucket,low_85_95,opponent_runs_4plus,648,0.5602,0.5493,0.0109
2023,BD_L10_bucket,low_85_95,opponent_runs_5plus,658,0.4787,0.4529,0.0258
2024,BD_L10_bucket,low_85_95,opponent_runs_5plus,666,0.4219,0.4252,-0.0033
2025,BD_L10_bucket,low_85_95,opponent_runs_5plus,648,0.4228,0.4166,0.0062
2023,BD_L10_bucket,low_85_95,team_f5_runs_2plus,658,0.5866,0.5945,-0.0079
2024,BD_L10_bucket,low_85_95,team_f5_runs_2plus,666,0.5616,0.5795,-0.0179
2025,BD_L10_bucket,low_85_95,team_f5_runs_2plus,648,0.5864,0.5754,0.011
2023,BD_L10_bucket,low_85_95,team_post5_runs_2plus,658,0.4848,0.4955,-0.0107
2024,BD_L10_bucket,low_85_95,team_post5_runs_2plus,666,0.488,0.4773,0.0107
2025,BD_L10_bucket,low_85_95,team_post5_runs_2plus,648,0.4676,0.4701,-0.0025
2023,BD_L10_bucket,low_85_95,team_runs_4plus,658,0.5593,0.5745,-0.0152
2024,BD_L10_bucket,low_85_95,team_runs_4plus,666,0.5571,0.55,0.0071
2025,BD_L10_bucket,low_85_95,team_runs_4plus,648,0.571,0.5493,0.0217
2023,BD_L10_bucket,low_85_95,team_runs_5plus,658,0.4407,0.4529,-0.0122
2024,BD_L10_bucket,low_85_95,team_runs_5plus,666,0.4384,0.4252,0.0132
2025,BD_L10_bucket,low_85_95,team_runs_5plus,648,0.4383,0.4166,0.0217
2023,BD_L10_bucket,low_85_95,team_won,658,0.4757,0.5,-0.0243
2024,BD_L10_bucket,low_85_95,team_won,666,0.485,0.498,-0.013
2025,BD_L10_bucket,low_85_95,team_won,648,0.4892,0.5,-0.0108
2023,BD_L10_bucket,very_high_115_plus,f5_total_4plus,1660,0.6295,0.6342,-0.0047
2024,BD_L10_bucket,very_high_115_plus,f5_total_4plus,1795,0.6318,0.6211,0.0107
2025,BD_L10_bucket,very_high_115_plus,f5_total_4plus,1744,0.6049,0.6226,-0.0177
2023,BD_L10_bucket,very_high_115_plus,game_total_10plus,1660,0.4187,0.4257,-0.007
2024,BD_L10_bucket,very_high_115_plus,game_total_10plus,1795,0.371,0.3805,-0.0095
2025,BD_L10_bucket,very_high_115_plus,game_total_10plus,1744,0.3859,0.3911,-0.0052
2023,BD_L10_bucket,very_high_115_plus,game_total_9plus,1660,0.5133,0.5237,-0.0104
2024,BD_L10_bucket,very_high_115_plus,game_total_9plus,1795,0.4858,0.4863,-0.0005
2025,BD_L10_bucket,very_high_115_plus,game_total_9plus,1744,0.4713,0.4853,-0.014
2023,BD_L10_bucket,very_high_115_plus,opponent_post5_runs_2plus,1660,0.4777,0.4955,-0.0178
2024,BD_L10_bucket,very_high_115_plus,opponent_post5_runs_2plus,1795,0.478,0.4773,0.0007
2025,BD_L10_bucket,very_high_115_plus,opponent_post5_runs_2plus,1744,0.457,0.4701,-0.0131
2023,BD_L10_bucket,very_high_115_plus,opponent_runs_4plus,1660,0.5373,0.5745,-0.0372
2024,BD_L10_bucket,very_high_115_plus,opponent_runs_4plus,1795,0.5393,0.55,-0.0107
2025,BD_L10_bucket,very_high_115_plus,opponent_runs_4plus,1744,0.5235,0.5493,-0.0258
2023,BD_L10_bucket,very_high_115_plus,opponent_runs_5plus,1660,0.4235,0.4529,-0.0294
2024,BD_L10_bucket,very_high_115_plus,opponent_runs_5plus,1795,0.4033,0.4252,-0.0219
2025,BD_L10_bucket,very_high_115_plus,opponent_runs_5plus,1744,0.3951,0.4166,-0.0215
2023,BD_L10_bucket,very_high_115_plus,team_f5_runs_2plus,1660,0.6102,0.5945,0.0157
2024,BD_L10_bucket,very_high_115_plus,team_f5_runs_2plus,1795,0.5933,0.5795,0.0138
2025,BD_L10_bucket,very_high_115_plus,team_f5_runs_2plus,1744,0.5883,0.5754,0.0129
2023,BD_L10_bucket,very_high_115_plus,team_post5_runs_2plus,1660,0.4994,0.4955,0.0039
2024,BD_L10_bucket,very_high_115_plus,team_post5_runs_2plus,1795,0.4518,0.4773,-0.0255
2025,BD_L10_bucket,very_high_115_plus,team_post5_runs_2plus,1744,0.4782,0.4701,0.0081
2023,BD_L10_bucket,very_high_115_plus,team_runs_4plus,1660,0.5873,0.5745,0.0128
2024,BD_L10_bucket,very_high_115_plus,team_runs_4plus,1795,0.5499,0.55,-0.0001
2025,BD_L10_bucket,very_high_115_plus,team_runs_4plus,1744,0.5528,0.5493,0.0035
2023,BD_L10_bucket,very_high_115_plus,team_runs_5plus,1660,0.459,0.4529,0.0061
2024,BD_L10_bucket,very_high_115_plus,team_runs_5plus,1795,0.4362,0.4252,0.011
2025,BD_L10_bucket,very_high_115_plus,team_runs_5plus,1744,0.4117,0.4166,-0.0049
2023,BD_L10_bucket,very_high_115_plus,team_won,1660,0.5157,0.5,0.0157
2024,BD_L10_bucket,very_high_115_plus,team_won,1795,0.5014,0.498,0.0034
2025,BD_L10_bucket,very_high_115_plus,team_won,1744,0.5269,0.5,0.0269
2023,BD_L10_bucket,very_low_lt_85,f5_total_4plus,1266,0.6517,0.6342,0.0175
2024,BD_L10_bucket,very_low_lt_85,f5_total_4plus,1336,0.6175,0.6211,-0.0036
2025,BD_L10_bucket,very_low_lt_85,f5_total_4plus,1315,0.6433,0.6226,0.0207
2023,BD_L10_bucket,very_low_lt_85,game_total_10plus,1266,0.4392,0.4257,0.0135
2024,BD_L10_bucket,very_low_lt_85,game_total_10plus,1336,0.381,0.3805,0.0005
2025,BD_L10_bucket,very_low_lt_85,game_total_10plus,1315,0.4076,0.3911,0.0165
2023,BD_L10_bucket,very_low_lt_85,game_total_9plus,1266,0.5427,0.5237,0.019
2024,BD_L10_bucket,very_low_lt_85,game_total_9plus,1336,0.497,0.4863,0.0107
2025,BD_L10_bucket,very_low_lt_85,game_total_9plus,1315,0.5163,0.4853,0.031
2023,BD_L10_bucket,very_low_lt_85,opponent_post5_runs_2plus,1266,0.5039,0.4955,0.0084
2024,BD_L10_bucket,very_low_lt_85,opponent_post5_runs_2plus,1336,0.497,0.4773,0.0197
2025,BD_L10_bucket,very_low_lt_85,opponent_post5_runs_2plus,1315,0.4844,0.4701,0.0143
2023,BD_L10_bucket,very_low_lt_85,opponent_runs_4plus,1266,0.6082,0.5745,0.0337
2024,BD_L10_bucket,very_low_lt_85,opponent_runs_4plus,1336,0.5831,0.55,0.0331
2025,BD_L10_bucket,very_low_lt_85,opponent_runs_4plus,1315,0.5901,0.5493,0.0408
2023,BD_L10_bucket,very_low_lt_85,opponent_runs_5plus,1266,0.4731,0.4529,0.0202
2024,BD_L10_bucket,very_low_lt_85,opponent_runs_5plus,1336,0.4626,0.4252,0.0374
2025,BD_L10_bucket,very_low_lt_85,opponent_runs_5plus,1315,0.4616,0.4166,0.045
2023,BD_L10_bucket,very_low_lt_85,team_f5_runs_2plus,1266,0.5861,0.5945,-0.0084
2024,BD_L10_bucket,very_low_lt_85,team_f5_runs_2plus,1336,0.5576,0.5795,-0.0219
2025,BD_L10_bucket,very_low_lt_85,team_f5_runs_2plus,1315,0.5582,0.5754,-0.0172
2023,BD_L10_bucket,very_low_lt_85,team_post5_runs_2plus,1266,0.4905,0.4955,-0.005
2024,BD_L10_bucket,very_low_lt_85,team_post5_runs_2plus,1336,0.4903,0.4773,0.013
