test_season,lane,score_bin,train_sample,train_conservative_prob,test_sample,test_hits,test_hit_rate,train_baseline,error_vs_conservative
2025,team_runs_4plus,0.30-0.40,436,0.6478,514,302,0.5875,0.562,-0.0603
2025,team_runs_4plus,0.40+,974,0.6426,1052,670,0.6369,0.562,-0.0057
2025,team_runs_5plus_no,0.00-0.10,7097,0.5377,7178,4096,0.5706,0.5612,0.0329
2025,team_runs_5plus_no,0.10-0.20,1517,0.5993,1316,764,0.5805,0.5612,-0.0188
2025,team_runs_5plus_no,0.20-0.30,812,0.6153,824,530,0.6432,0.5612,0.0279
2025,team_runs_5plus_no,0.30-0.40,394,0.6156,420,276,0.6571,0.5612,0.0415
2025,team_runs_5plus_no,0.40+,242,0.6524,162,110,0.679,0.5612,0.0266
2025,team_f5_runs_2plus,0.00-0.10,7296,0.567,6668,3752,0.5627,0.5869,-0.0043
2025,team_f5_runs_2plus,0.10-0.20,1080,0.6175,1060,612,0.5774,0.5869,-0.0401
2025,team_f5_runs_2plus,0.20-0.30,627,0.6529,748,440,0.5882,0.5869,-0.0647
2025,team_f5_runs_2plus,0.30-0.40,465,0.6525,538,336,0.6245,0.5869,-0.028
2025,team_f5_runs_2plus,0.40+,594,0.6235,886,556,0.6275,0.5869,0.004
2025,full_total_avoid,0.00-0.10,9734,0.4942,9386,4816,0.5131,0.4953,0.0189
2025,full_total_avoid,0.10-0.20,327,0.5212,510,278,0.5451,0.4953,0.0239
2025,full_total_avoid,0.20-0.30,1,0.5003,4,2,0.5,0.4953,-0.0003
