generated_at,window_start,window_end,game_pk,game_date,game_id,team,opponent,home_away,coverage_gap_type,team_or_opponent_is_wsn
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824007,2026-07-19,DET@LAA,DET,LAA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824007,2026-07-19,DET@LAA,LAA,DET,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823764,2026-07-19,MIA@MIL,MIA,MIL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823764,2026-07-19,MIA@MIL,MIL,MIA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824653,2026-07-19,MIN@CHC,MIN,CHC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824653,2026-07-19,MIN@CHC,CHC,MIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824411,2026-07-19,PIT@CLE,PIT,CLE,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824411,2026-07-19,PIT@CLE,CLE,PIT,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824086,2026-07-19,SD@KC,SD,KC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824086,2026-07-19,SD@KC,KC,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823113,2026-07-19,SF@SEA,SF,SEA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823113,2026-07-19,SF@SEA,SEA,SF,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825057,2026-07-19,STL@AZ,STL,AZ,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825057,2026-07-19,STL@AZ,AZ,STL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825058,2026-07-20,ATH@AZ,ATH,AZ,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,825058,2026-07-20,ATH@AZ,AZ,ATH,home,ok_has_usable_price,False
