candidate_id,candidate_type,derivative_type,market_ticker,game_pk,inning,half_inning,score_away,score_home,runners_state,baseline_source,original_mismatch,replayed_mismatch,mismatch_capped,mismatch_delta,original_label,replayed_label,replayed_blocked_reason,classification_changed,process_grade,settlement_result,outcome_explanation,paper_setup_id,paper_net_pnl_cents
836,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,2,top,2,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
837,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,822887,3,bottom,3,0,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,18,-34
838,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,2,bottom,2,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
840,f5_total_overreaction_fade_watch,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,822887,3,bottom,3,2,,first_discovery,100.0,25.0,True,75.0,watch,blocked,f5_total_already_cleared,True,bad_process,unknown,unknown_or_unsettled,23,-9
841,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,5,bottom,0,2,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
845,f5_total_overreaction_fade_watch,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,822887,4,top,3,2,,first_discovery,100.0,25.0,True,75.0,watch,blocked,f5_total_already_cleared,True,bad_process,unknown,unknown_or_unsettled,23,-9
847,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,3,top,2,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
848,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,5,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
850,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,6,top,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
853,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,3,top,4,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
855,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,3,top,5,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
857,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,6,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
858,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,3,bottom,5,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
860,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,6,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
862,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,3,bottom,5,0,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,26,
872,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,3,bottom,5,2,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,26,
875,f5_total_overreaction_fade_watch,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,824181,3,bottom,5,3,,first_discovery,18.0,18.0,False,0.0,watch,blocked,f5_total_already_cleared,True,bad_process,unknown,unknown_or_unsettled,29,
876,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,3,bottom,5,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
879,f5_total_overreaction_fade_watch,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,824181,4,top,5,3,,first_discovery,18.0,18.0,False,0.0,watch,blocked,f5_total_already_cleared,True,bad_process,unknown,unknown_or_unsettled,29,
880,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,4,top,5,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
885,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,822887,6,top,4,2,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,30,0
888,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,4,bottom,5,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
890,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,822887,6,bottom,4,2,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,30,0
892,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,5,top,5,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
