variant,prediction_type,starter_confidence,opponent_starter_confidence,count,correct,success_rate,avg_model_edge,predicted_yes_count,predicted_yes_success_rate,predicted_no_count,predicted_no_success_rate
team_context_only,winner,low,low,360,197,0.5472,16.91,360,0.5472,0,
team_context_only,winner,low,medium,87,45,0.5172,13.585,87,0.5172,0,
team_context_only,winner,low,none,62,37,0.5968,17.437,62,0.5968,0,
team_context_only,winner,medium,high,238,124,0.521,11.82,238,0.521,0,
team_context_only,winner,medium,low,79,42,0.5316,13.839,79,0.5316,0,
team_context_only,winner,medium,medium,220,125,0.5682,13.879,220,0.5682,0,
team_context_only,winner,medium,none,44,30,0.6818,15.248,44,0.6818,0,
team_context_only,winner,none,high,160,85,0.5312,11.131,160,0.5312,0,
team_context_only,winner,none,low,66,32,0.4848,21.719,66,0.4848,0,
team_context_only,winner,none,medium,32,22,0.6875,13.651,32,0.6875,0,
team_context_only,winner,none,none,181,92,0.5083,27.286,181,0.5083,0,
