game_date,away_team,home_team,away_abbr,home_abbr,reason,source_url
2025-05-06,Seattle Mariners,Athletics Athletics,SEA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-06
2025-05-07,Seattle Mariners,Athletics Athletics,SEA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-07
2025-05-09,New York Yankees,Athletics Athletics,NYY,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-09
2025-05-10,New York Yankees,Athletics Athletics,NYY,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-10
2025-05-11,New York Yankees,Athletics Athletics,NYY,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-11
2025-05-13,Athletics Athletics,Los Angeles Dodgers,,LAD,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-13
2025-05-14,Athletics Athletics,Los Angeles Dodgers,,LAD,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-14
2025-05-15,Athletics Athletics,Los Angeles Dodgers,,LAD,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-15
2025-05-16,Athletics Athletics,San Francisco Giants,,SF,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-16
2025-05-17,Athletics Athletics,San Francisco Giants,,SF,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-17
2025-05-18,Athletics Athletics,San Francisco Giants,,SF,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-18
2025-05-19,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-19
2025-05-20,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-20
2025-05-21,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-21
2025-05-22,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-22
2025-05-23,Philadelphia Phillies,Athletics Athletics,PHI,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-23
2025-05-24,Philadelphia Phillies,Athletics Athletics,PHI,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-24
2025-05-25,Philadelphia Phillies,Athletics Athletics,PHI,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-25
2025-05-27,Athletics Athletics,Houston Astros,,HOU,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-27
2025-05-28,Athletics Athletics,Houston Astros,,HOU,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-28
2025-05-29,Athletics Athletics,Toronto Blue Jays,,TOR,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-29
2025-05-30,Athletics Athletics,Toronto Blue Jays,,TOR,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-30
2025-05-31,Athletics Athletics,Toronto Blue Jays,,TOR,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-31
2025-06-01,Athletics Athletics,Toronto Blue Jays,,TOR,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-01
2025-06-02,Minnesota Twins,Athletics Athletics,MIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-02
2025-06-03,Minnesota Twins,Athletics Athletics,MIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-03
2025-06-04,Minnesota Twins,Athletics Athletics,MIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-04
2025-06-05,Minnesota Twins,Athletics Athletics,MIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-05
2025-06-06,Baltimore Orioles,Athletics Athletics,BAL,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-06
2025-06-07,Baltimore Orioles,Athletics Athletics,BAL,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-07
2025-06-08,Baltimore Orioles,Athletics Athletics,BAL,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-08
2025-06-09,Athletics Athletics,Los Angeles Angels,,LAA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-09
2025-06-10,Athletics Athletics,Los Angeles Angels,,LAA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-10
