source,rows,first_seen,last_seen
focused_watch,17903,2026-06-16T02:14:46.414691+00:00,2026-06-17T04:00:43.592762+00:00
rest_batch,2656280,2026-06-16T17:21:46.583142+00:00,2026-06-17T04:15:15.022711+00:00
rest_poll,362397,2026-06-15T01:41:28.199502+00:00,2026-06-16T04:37:00.241020+00:00
ws_orderbook,580,2026-06-16T18:55:09.660762+00:00,2026-06-16T20:58:29.427421+00:00
ws_ticker,391334,2026-06-16T18:55:18.617635+00:00,2026-06-17T04:15:19.011493+00:00
