id,game_pk,checked_at,status,inning,inning_half,outs,away_score,home_score,balls,strikes,runner_state,current_batter,current_pitcher
17668,824991,2026-06-17T00:04:44.127588,Live,8,top,1,5,5,0,2,,Tyler Callihan,Mark Leiter Jr.
17667,824912,2026-06-17T00:04:42.910307,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17666,825070,2026-06-17T00:04:11.364223,Live,9,bottom,0,7,0,0,1,,Geraldo Perdomo,Chase Silseth
17665,824991,2026-06-17T00:04:10.028065,Live,8,top,1,5,5,0,1,,Tyler Callihan,Mark Leiter Jr.
17664,824912,2026-06-17T00:04:08.797579,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17663,825070,2026-06-17T00:03:37.182627,Live,9,bottom,0,7,0,0,0,,Geraldo Perdomo,Chase Silseth
17662,824991,2026-06-17T00:03:35.811465,Live,8,top,0,5,5,0,0,,Endy Rodríguez,Mark Leiter Jr.
17661,824912,2026-06-17T00:03:34.509472,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17660,825070,2026-06-17T00:03:02.868256,Live,9,bottom,0,7,0,0,0,,Geraldo Perdomo,Chase Silseth
17659,824991,2026-06-17T00:03:01.531767,Live,7,bottom,3,5,5,0,1,,Jacob Wilson,Yohan Ramírez
17658,824912,2026-06-17T00:03:00.196566,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17657,823939,2026-06-17T00:02:58.908635,Final,9,top,3,0,1,0,0,,Jonathan Aranda,Tanner Scott
17656,825070,2026-06-17T00:02:27.298873,Live,9,bottom,0,7,0,0,0,,Geraldo Perdomo,Chase Silseth
17655,824991,2026-06-17T00:02:26.040755,Live,7,bottom,3,5,5,0,1,,Jacob Wilson,Yohan Ramírez
17654,824912,2026-06-17T00:02:24.761161,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17653,823939,2026-06-17T00:02:23.489204,Live,9,top,3,0,1,0,0,,Jonathan Aranda,Tanner Scott
17652,825070,2026-06-17T00:01:51.881316,Live,9,top,3,7,0,0,2,,Nick Madrigal,Drey Jameson
17651,824991,2026-06-17T00:01:50.561747,Live,7,bottom,3,5,5,0,1,,Jacob Wilson,Yohan Ramírez
17650,824912,2026-06-17T00:01:49.284997,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17649,823939,2026-06-17T00:01:48.043289,Live,9,top,2,0,1,1,3,,Austin Slater,Tanner Scott
17648,825070,2026-06-17T00:01:16.347371,Live,9,top,2,7,0,0,2,,Nick Madrigal,Drey Jameson
17647,824991,2026-06-17T00:01:15.026058,Live,7,bottom,2,5,5,0,1,1-3,Jacob Wilson,Yohan Ramírez
17646,824912,2026-06-17T00:01:13.804110,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17645,823939,2026-06-17T00:01:12.545723,Live,9,top,1,0,1,1,2,,Austin Slater,Tanner Scott
17644,825070,2026-06-17T00:00:40.949471,Live,9,top,2,7,0,0,0,,Nick Madrigal,Drey Jameson
17643,824991,2026-06-17T00:00:39.621525,Live,7,bottom,2,5,5,0,0,1-3,Jacob Wilson,Yohan Ramírez
17642,824912,2026-06-17T00:00:38.358011,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17641,823939,2026-06-17T00:00:37.070342,Live,9,top,1,0,1,1,0,,Austin Slater,Tanner Scott
17640,825070,2026-06-17T00:00:05.432016,Live,9,top,1,7,0,1,2,,Jo Adell,Drey Jameson
17639,824991,2026-06-17T00:00:04.074098,Live,7,bottom,2,5,5,0,0,--3,Tyler Soderstrom,Yohan Ramírez
17638,824912,2026-06-17T00:00:02.745880,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17637,823939,2026-06-17T00:00:01.475131,Live,9,top,0,0,1,1,2,,Yandy Díaz,Tanner Scott
17636,825070,2026-06-16T23:59:29.821544,Live,9,top,1,7,0,1,1,,Jo Adell,Drey Jameson
17635,824991,2026-06-16T23:59:28.486718,Live,7,bottom,1,5,5,1,1,--3,Shea Langeliers,Yohan Ramírez
17634,824912,2026-06-16T23:59:27.253312,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17633,823939,2026-06-16T23:59:25.987742,Live,9,top,0,0,1,1,2,,Yandy Díaz,Tanner Scott
17632,823128,2026-06-16T23:59:24.711728,Final,9,top,3,1,3,2,2,,Samuel Basallo,Andrés Muñoz
17631,825070,2026-06-16T23:58:53.159507,Live,9,top,1,7,0,0,0,,Jo Adell,Drey Jameson
17630,824991,2026-06-16T23:58:51.865870,Live,7,bottom,1,5,5,0,1,-2-,Shea Langeliers,Yohan Ramírez
17629,824912,2026-06-16T23:58:50.623968,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17628,823939,2026-06-16T23:58:49.420486,Live,9,top,0,0,1,0,2,,Yandy Díaz,Tanner Scott
17627,823128,2026-06-16T23:58:48.120899,Live,9,top,2,1,3,2,2,1--,Samuel Basallo,Andrés Muñoz
17626,825070,2026-06-16T23:58:16.466646,Live,9,top,0,7,0,0,2,,Nolan Schanuel,Drey Jameson
17625,824991,2026-06-16T23:58:15.128314,Live,7,bottom,1,5,5,0,0,-2-,Shea Langeliers,Yohan Ramírez
17624,824912,2026-06-16T23:58:13.790786,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17623,823939,2026-06-16T23:58:12.431434,Live,9,top,0,0,1,0,0,,Yandy Díaz,Tanner Scott
17622,823128,2026-06-16T23:58:11.101616,Live,9,top,2,1,3,1,1,1--,Samuel Basallo,Andrés Muñoz
17621,825070,2026-06-16T23:57:39.488772,Live,9,top,0,7,0,0,1,,Nolan Schanuel,Drey Jameson
17620,824991,2026-06-16T23:57:38.201776,Live,7,bottom,1,5,5,0,0,-2-,Shea Langeliers,Yohan Ramírez
17619,824912,2026-06-16T23:57:36.940859,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17618,823939,2026-06-16T23:57:35.727312,Live,8,bottom,3,0,1,0,1,,Andy Pages,Cam Booser
17617,823128,2026-06-16T23:57:34.475936,Live,9,top,2,1,3,1,0,1--,Samuel Basallo,Andrés Muñoz
17616,825070,2026-06-16T23:57:02.923787,Live,9,top,0,7,0,0,0,,Nolan Schanuel,Drey Jameson
17615,824991,2026-06-16T23:57:01.641393,Live,7,bottom,1,5,5,0,0,-2-,Shea Langeliers,Yohan Ramírez
17614,824912,2026-06-16T23:57:00.445918,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17613,823939,2026-06-16T23:56:59.181146,Live,8,bottom,3,0,1,0,1,,Andy Pages,Cam Booser
17612,823128,2026-06-16T23:56:57.891382,Live,9,top,1,1,3,0,3,1--,Pete Alonso,Andrés Muñoz
17611,825070,2026-06-16T23:56:26.279427,Live,8,bottom,3,7,0,1,0,,Ketel Marte,Kirby Yates
17610,824991,2026-06-16T23:56:25.057232,Live,7,bottom,1,5,5,0,0,-2-,Shea Langeliers,Evan Sisk
17609,824912,2026-06-16T23:56:23.819298,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17608,823939,2026-06-16T23:56:22.622920,Live,8,bottom,3,0,1,0,1,,Andy Pages,Cam Booser
17607,823128,2026-06-16T23:56:21.342744,Live,9,top,1,1,3,0,2,1--,Pete Alonso,Andrés Muñoz
17606,825070,2026-06-16T23:55:49.679660,Live,8,bottom,3,7,0,1,0,,Ketel Marte,Kirby Yates
17605,824991,2026-06-16T23:55:48.400073,Live,7,bottom,0,5,5,1,3,-2-,Nick Kurtz,Evan Sisk
17604,824912,2026-06-16T23:55:47.105758,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17603,823939,2026-06-16T23:55:45.799276,Live,8,bottom,2,0,1,0,1,,Andy Pages,Cam Booser
17602,823128,2026-06-16T23:55:44.484490,Live,9,top,1,1,3,0,2,1--,Pete Alonso,Andrés Muñoz
17601,825070,2026-06-16T23:55:12.782743,Live,8,bottom,2,7,0,1,0,1--,Ketel Marte,Kirby Yates
