shadow_id,logged_at_utc,game_date,game_id,game,team,opponent,home_away,lane,sub_lane,direction,market_ticker,decision_time_utc,brain_score,calibrated_probability,calibration_sample_size,lane_historical_probability,sbr_open_no_vig_probability,sbr_current_no_vig_probability,estimated_ask_cents,estimated_bid_cents,estimated_spread_cents,estimated_net_edge_cents,overlay_status,review_tier,reason_summary,observe_only
ca3ac4b0d28b,2026-06-24T00:30:41.734091+00:00,2026-06-23,ATH@SF,ATH@SF,ATH,SF,away,side,,YES,KXMLBGAME-26JUN232145ATHSF-ATH,2026-06-24T00:30:41.734060+00:00,0.4184,0.6039,2445,0.6082,,,45,44,1,15.39,tradeable_candidate,core_v1,,true
c1dbb592b50e,2026-06-24T00:30:41.734101+00:00,2026-06-23,ATH@SF,ATH@SF,ATH,SF,away,team_runs_4plus,,YES,KXMLBTEAMTOTAL-26JUN232145ATHSF-ATH4,2026-06-24T00:30:41.734060+00:00,0.2746,0.5667,1318,0.5675,,,56,55,1,0.67,watch_only,ev_overlay,Positive edge 0.7c but below 5c tradeable floor,true
49c98a2c81da,2026-06-24T00:30:41.734107+00:00,2026-06-23,MIL@CIN,MIL@CIN,MIL,CIN,away,side,,YES,KXMLBGAME-26JUN231910MILCIN-MIL,2026-06-24T00:30:41.734060+00:00,0.2525,0.5286,1262,0.5309,,,50,49,1,2.86,watch_only,ev_overlay,Positive edge 2.9c but below 5c tradeable floor,true
