id,market_ticker,snapped_at,yes_bids_json,yes_asks_json,spread_cents,mid_cents,raw_json,event_ticker,sport,home_team,away_team,game_pk,market_type,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,open_interest,source
1729491,KXMLBF5SPREAD-26JUN131610DETCLE-CLE2,2026-06-16T23:46:44.857079+00:00,[],[],3,20,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610DETCLE,mlb,CLE,DET,,f5_spread,19,22,,,,,,rest_batch
1729492,KXMLBF5SPREAD-26JUN131610DETCLE-CLE3,2026-06-16T23:46:44.857079+00:00,[],[],9,10,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610DETCLE,mlb,CLE,DET,,f5_spread,6,15,,,,,,rest_batch
1729493,KXMLBF5SPREAD-26JUN131610DETCLE-DET2,2026-06-16T23:46:44.857079+00:00,[],[],2,35,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610DETCLE,mlb,CLE,DET,,f5_spread,34,36,,,,,,rest_batch
1729494,KXMLBF5SPREAD-26JUN131610DETCLE-DET3,2026-06-16T23:46:44.857079+00:00,[],[],2,24,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610DETCLE,mlb,CLE,DET,,f5_spread,23,25,,,,,,rest_batch
1729495,KXMLBF5SPREAD-26JUN131610LADCWS-CWS2,2026-06-16T23:46:44.857079+00:00,[],[],2,18,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610LADCWS,mlb,CWS,LAD,,f5_spread,17,19,,,,,,rest_batch
1729496,KXMLBF5SPREAD-26JUN131610LADCWS-CWS3,2026-06-16T23:46:44.857079+00:00,[],[],6,12,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610LADCWS,mlb,CWS,LAD,,f5_spread,9,15,,,,,,rest_batch
1729497,KXMLBF5SPREAD-26JUN131610LADCWS-LAD2,2026-06-16T23:46:44.857079+00:00,[],[],3,39,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610LADCWS,mlb,CWS,LAD,,f5_spread,38,41,,,30,,,rest_batch
1729498,KXMLBF5SPREAD-26JUN131610LADCWS-LAD3,2026-06-16T23:46:44.857079+00:00,[],[],3,27,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610LADCWS,mlb,CWS,LAD,,f5_spread,26,29,,,,,,rest_batch
1729499,KXMLBF5SPREAD-26JUN131610TEXBOS-BOS2,2026-06-16T23:46:44.857079+00:00,[],[],2,28,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610TEXBOS,mlb,BOS,TEX,,f5_spread,27,29,,,,,,rest_batch
1729500,KXMLBF5SPREAD-26JUN131610TEXBOS-BOS3,2026-06-16T23:46:44.857079+00:00,[],[],2,18,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610TEXBOS,mlb,BOS,TEX,,f5_spread,17,19,,,,,,rest_batch
1729501,KXMLBF5SPREAD-26JUN131610TEXBOS-TEX2,2026-06-16T23:46:44.857079+00:00,[],[],2,27,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610TEXBOS,mlb,BOS,TEX,,f5_spread,26,28,,,,,,rest_batch
1729502,KXMLBF5SPREAD-26JUN131610TEXBOS-TEX3,2026-06-16T23:46:44.857079+00:00,[],[],2,17,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131610TEXBOS,mlb,BOS,TEX,,f5_spread,16,18,,,,,,rest_batch
1729503,KXMLBF5SPREAD-26JUN131910HOUKC-HOU2,2026-06-16T23:46:44.857079+00:00,[],[],2,26,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910HOUKC,mlb,KC,HOU,,f5_spread,25,27,,,,,,rest_batch
1729504,KXMLBF5SPREAD-26JUN131910HOUKC-HOU3,2026-06-16T23:46:44.857079+00:00,[],[],3,17,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910HOUKC,mlb,KC,HOU,,f5_spread,16,19,,,,,,rest_batch
1729505,KXMLBF5SPREAD-26JUN131910HOUKC-KC2,2026-06-16T23:46:44.857079+00:00,[],[],2,33,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910HOUKC,mlb,KC,HOU,,f5_spread,32,34,,,,,,rest_batch
1729506,KXMLBF5SPREAD-26JUN131910HOUKC-KC3,2026-06-16T23:46:44.857079+00:00,[],[],2,22,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910HOUKC,mlb,KC,HOU,,f5_spread,21,23,,,,,,rest_batch
1729507,KXMLBF5SPREAD-26JUN131910PHIMIL-MIL2,2026-06-16T23:46:44.857079+00:00,[],[],2,33,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910PHIMIL,mlb,MIL,PHI,,f5_spread,32,34,,,,,,rest_batch
1729508,KXMLBF5SPREAD-26JUN131910PHIMIL-MIL3,2026-06-16T23:46:44.857079+00:00,[],[],3,22,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910PHIMIL,mlb,MIL,PHI,,f5_spread,21,24,,,,,,rest_batch
1729509,KXMLBF5SPREAD-26JUN131910PHIMIL-PHI2,2026-06-16T23:46:44.857079+00:00,[],[],2,26,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910PHIMIL,mlb,MIL,PHI,,f5_spread,25,27,,,,,,rest_batch
1729510,KXMLBF5SPREAD-26JUN131910PHIMIL-PHI3,2026-06-16T23:46:44.857079+00:00,[],[],2,16,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN131910PHIMIL,mlb,MIL,PHI,,f5_spread,15,17,,,,,,rest_batch
1729511,KXMLBF5SPREAD-26JUN132205CHCSF-CHC2,2026-06-16T23:46:44.857079+00:00,[],[],3,31,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205CHCSF,mlb,SF,CHC,,f5_spread,30,33,,,,,,rest_batch
1729512,KXMLBF5SPREAD-26JUN132205CHCSF-CHC3,2026-06-16T23:46:44.857079+00:00,[],[],3,20,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205CHCSF,mlb,SF,CHC,,f5_spread,19,22,,,,,,rest_batch
1729513,KXMLBF5SPREAD-26JUN132205CHCSF-SF2,2026-06-16T23:46:44.857079+00:00,[],[],1,24,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205CHCSF,mlb,SF,CHC,,f5_spread,24,25,,,31,,,rest_batch
1729514,KXMLBF5SPREAD-26JUN132205CHCSF-SF3,2026-06-16T23:46:44.857079+00:00,[],[],3,15,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205CHCSF,mlb,SF,CHC,,f5_spread,14,17,,,,,,rest_batch
1729515,KXMLBF5SPREAD-26JUN132205COLATH-ATH2,2026-06-16T23:46:44.857079+00:00,[],[],2,42,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205COLATH,mlb,ATH,COL,,f5_spread,41,43,,,,,,rest_batch
1729516,KXMLBF5SPREAD-26JUN132205COLATH-ATH3,2026-06-16T23:46:44.857079+00:00,[],[],2,31,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205COLATH,mlb,ATH,COL,,f5_spread,30,32,,,,,,rest_batch
1729517,KXMLBF5SPREAD-26JUN132205COLATH-COL2,2026-06-16T23:46:44.857079+00:00,[],[],1,27,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205COLATH,mlb,ATH,COL,,f5_spread,27,28,,,,,,rest_batch
1729518,KXMLBF5SPREAD-26JUN132205COLATH-COL3,2026-06-16T23:46:44.857079+00:00,[],[],14,13,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN132205COLATH,mlb,ATH,COL,,f5_spread,6,20,,,,,,rest_batch
1729519,KXMLBF5SPREAD-26JUN141215MIAPIT-MIA2,2026-06-16T23:46:44.857079+00:00,[],[],1,18,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN141215MIAPIT,mlb,PIT,MIA,,f5_spread,18,19,,,18,,,rest_batch
1729520,KXMLBF5SPREAD-26JUN141215MIAPIT-MIA3,2026-06-16T23:46:44.857079+00:00,[],[],6,11,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN141215MIAPIT,mlb,PIT,MIA,,f5_spread,8,14,,,7,,,rest_batch
1729521,KXMLBF5SPREAD-26JUN141215MIAPIT-PIT2,2026-06-16T23:46:44.857079+00:00,[],[],2,34,"{""orderbook"": {""orderbook_fp"": {""no_dollars"": [], ""yes_dollars"": []}}}",KXMLBF5SPREAD-26JUN141215MIAPIT,mlb,PIT,MIA,,f5_spread,33,35,,,35,,,rest_batch
