id,game_pk,checked_at,status,inning,inning_half,outs,away_score,home_score,balls,strikes,runner_state,current_batter,current_pitcher
14309,824504,2026-06-16T19:46:50.867729,Live,3,top,0,0,4,0,0,,Brett Baty,Brady Singer
14308,823775,2026-06-16T19:46:49.866776,Live,1,bottom,0,0,0,0,0,,Christian Yelich,Slade Cecconi
14307,823535,2026-06-16T19:46:48.889090,Live,3,bottom,0,1,1,1,2,,J.C. Escarra,Davis Martin
14306,823451,2026-06-16T19:46:47.870871,Live,4,bottom,1,0,7,1,0,,Brandon Marsh,Tyler Phillips
14305,823045,2026-06-16T19:46:46.872770,Live,1,top,0,0,0,0,0,,Fernando Tatis Jr.,Andre Pallante
14304,822888,2026-06-16T19:46:45.883246,Live,1,top,0,0,0,0,0,,Trevor Larnach,Kumar Rocker
14303,822723,2026-06-16T19:46:44.902584,Live,4,bottom,3,0,2,1,0,,Drew Millas,Michael Wacha
14302,824912,2026-06-16T19:46:13.697522,Live,2,top,0,1,2,1,2,,Casey Schmitt,Grant Holmes
14301,824750,2026-06-16T19:46:12.670412,Live,3,bottom,0,1,0,2,2,-2-,Wilyer Abreu,Dylan Cease
14300,824667,2026-06-16T19:46:11.594065,Live,1,top,0,0,0,0,0,,Jake McCarthy,Edward Cabrera
14299,824504,2026-06-16T19:46:10.496638,Live,2,bottom,3,0,4,3,2,,Blake Dunn,Kodai Senga
14298,823775,2026-06-16T19:46:09.428691,Live,1,top,3,0,0,2,3,,Rhys Hoskins,Robert Gasser
14297,823535,2026-06-16T19:46:08.385049,Live,3,bottom,0,1,1,0,0,,J.C. Escarra,Davis Martin
14296,823451,2026-06-16T19:46:07.275611,Live,4,bottom,1,0,7,0,0,,Brandon Marsh,Tyler Phillips
14295,823045,2026-06-16T19:46:06.130289,Live,1,top,0,0,0,0,0,,Fernando Tatis Jr.,Andre Pallante
14294,822888,2026-06-16T19:46:05.054261,Live,1,top,0,0,0,0,0,,Trevor Larnach,Kumar Rocker
14293,822723,2026-06-16T19:46:03.955218,Live,4,bottom,3,0,2,1,0,,Drew Millas,Michael Wacha
14292,824912,2026-06-16T19:45:32.709804,Live,2,top,0,1,2,1,0,,Casey Schmitt,Grant Holmes
14291,824750,2026-06-16T19:45:31.830630,Live,3,bottom,0,1,0,2,1,-2-,Wilyer Abreu,Dylan Cease
14290,824667,2026-06-16T19:45:30.961221,Live,1,top,0,0,0,0,0,,Jake McCarthy,Edward Cabrera
14289,824504,2026-06-16T19:45:30.070569,Live,2,bottom,3,0,4,3,2,,Blake Dunn,Kodai Senga
14288,823775,2026-06-16T19:45:29.180231,Live,1,top,2,0,0,2,2,,Rhys Hoskins,Robert Gasser
