season,state_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate
2025,down_1_early_1_3,5522,0.3892,0.648,0.404,0.5594,0.4591,0.958
2024,down_1_early_1_3,5340,0.3575,0.6305,0.3964,0.5468,0.4255,0.9541
2023,down_1_early_1_3,5257,0.3827,0.6371,0.4141,0.5632,0.4392,0.9583
2025,down_5_plus_late_7_plus,5064,0.0057,0.0079,0.3474,0.4017,0.3323,0.0166
2024,down_5_plus_late_7_plus,5053,0.0073,0.0113,0.3275,0.3794,0.3137,0.0263
2023,down_5_plus_late_7_plus,4855,0.0054,0.0072,0.3574,0.4122,0.3429,0.0185
2024,down_1_late_7_plus,4150,0.232,0.3383,0.3525,0.4051,0.3383,0.974
2023,down_1_late_7_plus,4144,0.2266,0.3313,0.3448,0.3924,0.3313,0.9718
2025,down_1_late_7_plus,4136,0.2038,0.3039,0.3138,0.3656,0.3039,0.9768
2024,down_1_f5_1_5,3704,0.3386,0.5702,0.4023,0.5664,0.4355,0.9754
2025,down_1_f5_1_5,3632,0.3648,0.5765,0.4025,0.5498,0.4452,0.9722
2023,down_1_f5_1_5,3577,0.3528,0.5801,0.4082,0.5639,0.4507,0.9723
2024,down_2_late_7_plus,3327,0.1214,0.1776,0.3408,0.3956,0.3267,0.3267
2023,down_2_late_7_plus,3321,0.1186,0.174,0.3342,0.3927,0.3219,0.3219
2025,down_2_late_7_plus,3185,0.1058,0.1799,0.3341,0.3962,0.3353,0.3353
2024,down_2_early_1_3,3030,0.2554,0.4502,0.3835,0.5419,0.4145,0.4145
2023,down_2_early_1_3,2917,0.2989,0.505,0.432,0.5883,0.4758,0.4758
2024,down_2_f5_1_5,2806,0.2217,0.3553,0.3813,0.5474,0.4195,0.4195
2025,down_2_early_1_3,2763,0.2649,0.4629,0.3959,0.553,0.447,0.447
2024,down_3_late_7_plus,2744,0.0466,0.0678,0.3287,0.3812,0.32,0.1396
2023,down_2_f5_1_5,2652,0.2466,0.4163,0.4427,0.592,0.4729,0.4729
2025,down_2_f5_1_5,2589,0.2364,0.4002,0.409,0.5577,0.4434,0.4434
2023,down_3_late_7_plus,2579,0.0613,0.0954,0.3373,0.3889,0.3075,0.1706
2025,down_3_late_7_plus,2484,0.0431,0.0761,0.318,0.3732,0.3019,0.1514
2024,down_4_late_7_plus,2139,0.0276,0.0383,0.323,0.3806,0.3249,0.0827
2023,down_4_late_7_plus,2125,0.0245,0.0381,0.3233,0.3751,0.2894,0.0776
2024,down_3_f5_1_5,1931,0.13,0.2258,0.392,0.5298,0.4247,0.2496
2025,down_4_late_7_plus,1928,0.0239,0.0311,0.2822,0.333,0.2573,0.0705
2023,down_5_plus_f5_1_5,1901,0.0395,0.0631,0.3924,0.5692,0.4477,0.0568
2024,down_5_plus_f5_1_5,1894,0.0491,0.0692,0.3685,0.5148,0.4197,0.0533
2023,down_3_f5_1_5,1832,0.1736,0.2735,0.4099,0.5617,0.4481,0.2702
2025,down_5_plus_f5_1_5,1789,0.0369,0.0598,0.4203,0.5696,0.4477,0.0464
2025,down_3_f5_1_5,1710,0.1357,0.2216,0.3713,0.5222,0.4146,0.2444
2023,down_3_early_1_3,1690,0.226,0.3657,0.4385,0.5964,0.458,0.2817
2023,down_1_middle_6,1639,0.3295,0.5095,0.3905,0.5503,0.446,0.975
2024,down_3_early_1_3,1634,0.1707,0.2803,0.4002,0.5532,0.4278,0.2301
2024,down_1_middle_6,1608,0.3346,0.51,0.3943,0.5647,0.449,0.9826
2025,down_1_middle_6,1601,0.3279,0.4859,0.3691,0.524,0.4204,0.9781
2025,down_3_early_1_3,1574,0.1887,0.3253,0.3952,0.5559,0.425,0.2541
2024,down_5_plus_middle_6,1412,0.0184,0.0269,0.3817,0.5163,0.4256,0.0276
2023,down_5_plus_middle_6,1330,0.0195,0.0331,0.4113,0.5887,0.4549,0.0406
