season,state_bucket,home_away,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_1_early_1_3,away,3067,0.6182,0.6482,0.4581,0.5849,0.4565,0.9619,5340,0.6382,-0.02,0.6305,0.0177,0.3964,0.0617,0.5468,0.0381,0.4255,0.031,0.9541,0.0078
2025,up_1_early_1_3,away,3051,0.5598,0.6817,0.4736,0.6168,0.5025,0.9649,5522,0.6108,-0.051,0.648,0.0337,0.404,0.0696,0.5594,0.0574,0.4591,0.0434,0.958,0.0069
2023,up_1_early_1_3,away,2946,0.5876,0.6609,0.4742,0.6062,0.4671,0.9616,5257,0.6173,-0.0297,0.6371,0.0238,0.4141,0.0601,0.5632,0.043,0.4392,0.0279,0.9583,0.0033
2024,up_5_plus_late_7_plus,away,2821,0.9915,0.0106,0.3577,0.3963,0.3166,0.0252,5053,0.9927,-0.0012,0.0113,-0.0007,0.3275,0.0302,0.3794,0.0169,0.3137,0.0029,0.0263,-0.0011
2025,up_5_plus_late_7_plus,away,2762,0.9928,0.0098,0.3787,0.4247,0.3501,0.0188,5064,0.9943,-0.0015,0.0079,0.0019,0.3474,0.0313,0.4017,0.023,0.3323,0.0178,0.0166,0.0022
2023,up_5_plus_late_7_plus,away,2747,0.9905,0.0116,0.3713,0.4088,0.3418,0.0269,4855,0.9946,-0.0041,0.0072,0.0044,0.3574,0.0139,0.4122,-0.0034,0.3429,-0.0011,0.0185,0.0084
2025,up_1_early_1_3,home,2471,0.6738,0.6062,0.3181,0.4885,0.4055,0.9494,5522,0.6108,0.063,0.648,-0.0418,0.404,-0.0859,0.5594,-0.0709,0.4591,-0.0536,0.958,-0.0086
2023,up_1_early_1_3,home,2311,0.6551,0.6067,0.3375,0.5084,0.4037,0.9541,5257,0.6173,0.0378,0.6371,-0.0304,0.4141,-0.0766,0.5632,-0.0548,0.4392,-0.0355,0.9583,-0.0042
2025,up_5_plus_late_7_plus,home,2302,0.9961,0.0056,0.3097,0.374,0.311,0.0139,5064,0.9943,0.0018,0.0079,-0.0023,0.3474,-0.0377,0.4017,-0.0277,0.3323,-0.0213,0.0166,-0.0027
2023,up_1_late_7_plus,away,2278,0.7283,0.3477,0.3793,0.4223,0.3477,0.9684,4144,0.7734,-0.0451,0.3313,0.0164,0.3448,0.0345,0.3924,0.0299,0.3313,0.0164,0.9718,-0.0034
2024,up_1_early_1_3,home,2273,0.6652,0.6067,0.3132,0.4954,0.3836,0.9437,5340,0.6382,0.027,0.6305,-0.0238,0.3964,-0.0832,0.5468,-0.0514,0.4255,-0.0419,0.9541,-0.0104
2024,up_1_late_7_plus,away,2273,0.7224,0.3744,0.4074,0.4562,0.3744,0.9705,4150,0.7598,-0.0374,0.3383,0.0361,0.3525,0.0549,0.4051,0.0511,0.3383,0.0361,0.974,-0.0035
2024,up_5_plus_late_7_plus,home,2232,0.9942,0.0121,0.2894,0.358,0.31,0.0278,5053,0.9927,0.0015,0.0113,0.0008,0.3275,-0.0381,0.3794,-0.0214,0.3137,-0.0037,0.0263,0.0015
2025,up_1_late_7_plus,away,2151,0.7485,0.3422,0.3691,0.4133,0.3422,0.9712,4136,0.7962,-0.0477,0.3039,0.0383,0.3138,0.0553,0.3656,0.0477,0.3039,0.0383,0.9768,-0.0056
2023,up_5_plus_late_7_plus,home,2108,1.0,0.0014,0.3392,0.4165,0.3444,0.0076,4855,0.9946,0.0054,0.0072,-0.0058,0.3574,-0.0182,0.4122,0.0043,0.3429,0.0015,0.0185,-0.0109
2024,up_1_f5_1_5,away,1994,0.6389,0.5692,0.4509,0.6113,0.4524,0.9774,3704,0.6547,-0.0158,0.5702,-0.001,0.4023,0.0486,0.5664,0.0449,0.4355,0.0169,0.9754,0.002
2025,up_1_late_7_plus,home,1985,0.8479,0.2625,0.2539,0.3139,0.2625,0.9829,4136,0.7962,0.0517,0.3039,-0.0414,0.3138,-0.0599,0.3656,-0.0517,0.3039,-0.0414,0.9768,0.0061
2024,up_1_late_7_plus,home,1877,0.805,0.2946,0.2861,0.3431,0.2946,0.9782,4150,0.7598,0.0452,0.3383,-0.0437,0.3525,-0.0664,0.4051,-0.062,0.3383,-0.0437,0.974,0.0042
2023,up_1_late_7_plus,home,1866,0.8285,0.3114,0.3028,0.3558,0.3114,0.9759,4144,0.7734,0.0551,0.3313,-0.0199,0.3448,-0.042,0.3924,-0.0366,0.3313,-0.0199,0.9718,0.0041
2025,up_1_f5_1_5,away,1844,0.5884,0.6041,0.4599,0.5938,0.474,0.9723,3632,0.6352,-0.0468,0.5765,0.0276,0.4025,0.0574,0.5498,0.044,0.4452,0.0288,0.9722,0.0001
2023,up_1_f5_1_5,away,1828,0.6116,0.5941,0.4519,0.5952,0.4705,0.9737,3577,0.6472,-0.0356,0.5801,0.014,0.4082,0.0437,0.5639,0.0313,0.4507,0.0198,0.9723,0.0014
2024,up_2_late_7_plus,away,1826,0.8604,0.1796,0.3719,0.4217,0.3253,0.3253,3327,0.8744,-0.014,0.1776,0.002,0.3408,0.0311,0.3956,0.0261,0.3267,-0.0014,0.3267,-0.0014
2025,up_1_f5_1_5,home,1788,0.6834,0.5481,0.3434,0.5045,0.4155,0.972,3632,0.6352,0.0482,0.5765,-0.0284,0.4025,-0.0591,0.5498,-0.0453,0.4452,-0.0297,0.9722,-0.0002
2023,up_2_late_7_plus,away,1750,0.8663,0.1783,0.3663,0.4171,0.3303,0.3303,3321,0.8814,-0.0151,0.174,0.0043,0.3342,0.0321,0.3927,0.0244,0.3219,0.0084,0.3219,0.0084
2023,up_1_f5_1_5,home,1749,0.6844,0.5655,0.3625,0.5312,0.43,0.9708,3577,0.6472,0.0372,0.5801,-0.0146,0.4082,-0.0457,0.5639,-0.0327,0.4507,-0.0207,0.9723,-0.0015
2025,up_2_late_7_plus,away,1725,0.8678,0.2029,0.367,0.4226,0.353,0.353,3185,0.8942,-0.0264,0.1799,0.023,0.3341,0.0329,0.3962,0.0264,0.3353,0.0177,0.3353,0.0177
2024,up_1_f5_1_5,home,1710,0.6731,0.5713,0.3456,0.514,0.4158,0.9731,3704,0.6547,0.0184,0.5702,0.0011,0.4023,-0.0567,0.5664,-0.0524,0.4355,-0.0197,0.9754,-0.0023
2024,up_2_early_1_3,away,1678,0.6985,0.5,0.4589,0.5858,0.4577,0.4577,3030,0.7429,-0.0444,0.4502,0.0498,0.3835,0.0754,0.5419,0.0439,0.4145,0.0432,0.4145,0.0432
2023,up_2_early_1_3,away,1671,0.6565,0.5344,0.5027,0.6493,0.5266,0.5266,2917,0.7011,-0.0446,0.505,0.0294,0.432,0.0707,0.5883,0.061,0.4758,0.0508,0.4758,0.0508
2025,up_2_early_1_3,away,1586,0.6923,0.5069,0.4647,0.6072,0.4987,0.4987,2763,0.7351,-0.0428,0.4629,0.044,0.3959,0.0688,0.553,0.0542,0.447,0.0517,0.447,0.0517
2023,up_2_late_7_plus,home,1571,0.8982,0.1693,0.2985,0.3654,0.3125,0.3125,3321,0.8814,0.0168,0.174,-0.0047,0.3342,-0.0357,0.3927,-0.0273,0.3219,-0.0094,0.3219,-0.0094
2024,up_3_late_7_plus,away,1548,0.9567,0.0601,0.3534,0.4037,0.3379,0.137,2744,0.953,0.0037,0.0678,-0.0077,0.3287,0.0247,0.3812,0.0225,0.32,0.0179,0.1396,-0.0026
2024,up_2_late_7_plus,home,1501,0.8914,0.1752,0.3031,0.3638,0.3284,0.3284,3327,0.8744,0.017,0.1776,-0.0024,0.3408,-0.0377,0.3956,-0.0318,0.3267,0.0017,0.3267,0.0017
2025,up_2_late_7_plus,home,1460,0.9253,0.1527,0.2952,0.3651,0.3144,0.3144,3185,0.8942,0.0311,0.1799,-0.0272,0.3341,-0.0389,0.3962,-0.0311,0.3353,-0.0209,0.3353,-0.0209
2023,up_2_f5_1_5,away,1437,0.7307,0.444,0.5205,0.65,0.5087,0.5087,2652,0.7534,-0.0227,0.4163,0.0277,0.4427,0.0778,0.592,0.058,0.4729,0.0358,0.4729,0.0358
2023,up_3_late_7_plus,away,1436,0.9192,0.1149,0.3579,0.3976,0.3217,0.1859,2579,0.9387,-0.0195,0.0954,0.0195,0.3373,0.0206,0.3889,0.0087,0.3075,0.0142,0.1706,0.0153
