season,state_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate
2025,up_1_early_1_3,5522,0.6108,0.648,0.404,0.5594,0.4591,0.958
2024,up_1_early_1_3,5340,0.6382,0.6305,0.3964,0.5468,0.4255,0.9541
2023,up_1_early_1_3,5257,0.6173,0.6371,0.4141,0.5632,0.4392,0.9583
2025,up_5_plus_late_7_plus,5064,0.9943,0.0079,0.3474,0.4017,0.3323,0.0166
2024,up_5_plus_late_7_plus,5053,0.9927,0.0113,0.3275,0.3794,0.3137,0.0263
2023,up_5_plus_late_7_plus,4855,0.9946,0.0072,0.3574,0.4122,0.3429,0.0185
2024,up_1_late_7_plus,4150,0.7598,0.3383,0.3525,0.4051,0.3383,0.974
2023,up_1_late_7_plus,4144,0.7734,0.3313,0.3448,0.3924,0.3313,0.9718
2025,up_1_late_7_plus,4136,0.7962,0.3039,0.3138,0.3656,0.3039,0.9768
2024,up_1_f5_1_5,3704,0.6547,0.5702,0.4023,0.5664,0.4355,0.9754
2025,up_1_f5_1_5,3632,0.6352,0.5765,0.4025,0.5498,0.4452,0.9722
2023,up_1_f5_1_5,3577,0.6472,0.5801,0.4082,0.5639,0.4507,0.9723
2024,up_2_late_7_plus,3327,0.8744,0.1776,0.3408,0.3956,0.3267,0.3267
2023,up_2_late_7_plus,3321,0.8814,0.174,0.3342,0.3927,0.3219,0.3219
2025,up_2_late_7_plus,3185,0.8942,0.1799,0.3341,0.3962,0.3353,0.3353
2024,up_2_early_1_3,3030,0.7429,0.4502,0.3835,0.5419,0.4145,0.4145
2023,up_2_early_1_3,2917,0.7011,0.505,0.432,0.5883,0.4758,0.4758
2024,up_2_f5_1_5,2806,0.7744,0.3553,0.3813,0.5474,0.4195,0.4195
2025,up_2_early_1_3,2763,0.7351,0.4629,0.3959,0.553,0.447,0.447
2024,up_3_late_7_plus,2744,0.953,0.0678,0.3287,0.3812,0.32,0.1396
2023,up_2_f5_1_5,2652,0.7534,0.4163,0.4427,0.592,0.4729,0.4729
2025,up_2_f5_1_5,2589,0.7636,0.4002,0.409,0.5577,0.4434,0.4434
2023,up_3_late_7_plus,2579,0.9387,0.0954,0.3373,0.3889,0.3075,0.1706
2025,up_3_late_7_plus,2484,0.9569,0.0761,0.318,0.3732,0.3019,0.1514
2024,up_4_late_7_plus,2139,0.9715,0.0383,0.323,0.3806,0.3249,0.0827
2023,up_4_late_7_plus,2125,0.9755,0.0381,0.3233,0.3751,0.2894,0.0776
2024,up_3_f5_1_5,1931,0.8674,0.2258,0.392,0.5298,0.4247,0.2496
2025,up_4_late_7_plus,1928,0.9761,0.0311,0.2822,0.333,0.2573,0.0705
2023,up_5_plus_f5_1_5,1901,0.9605,0.0631,0.3924,0.5692,0.4477,0.0568
2024,up_5_plus_f5_1_5,1894,0.9498,0.0692,0.3685,0.5148,0.4197,0.0533
2023,up_3_f5_1_5,1832,0.8264,0.2735,0.4099,0.5617,0.4481,0.2702
2025,up_5_plus_f5_1_5,1789,0.9631,0.0598,0.4203,0.5696,0.4477,0.0464
2025,up_3_f5_1_5,1710,0.8643,0.2216,0.3713,0.5222,0.4146,0.2444
2023,up_3_early_1_3,1690,0.774,0.3657,0.4385,0.5964,0.458,0.2817
2023,up_1_middle_6,1639,0.6705,0.5095,0.3905,0.5503,0.446,0.975
2024,up_3_early_1_3,1634,0.8237,0.2803,0.4002,0.5532,0.4278,0.2301
2024,up_1_middle_6,1608,0.658,0.51,0.3943,0.5647,0.449,0.9826
2025,up_1_middle_6,1601,0.6721,0.4859,0.3691,0.524,0.4204,0.9781
2025,up_3_early_1_3,1574,0.8113,0.3253,0.3952,0.5559,0.425,0.2541
2024,up_5_plus_middle_6,1412,0.9816,0.0269,0.3817,0.5163,0.4256,0.0276
2023,up_5_plus_middle_6,1330,0.9805,0.0331,0.4113,0.5887,0.4549,0.0406
2024,up_2_middle_6,1291,0.7885,0.3238,0.4361,0.5655,0.4547,0.4547
2025,up_5_plus_middle_6,1288,0.9806,0.0272,0.3773,0.5435,0.4045,0.038
2025,up_2_middle_6,1273,0.8272,0.3009,0.392,0.5169,0.4171,0.4171
2023,up_2_middle_6,1240,0.8016,0.3056,0.3903,0.5379,0.4323,0.4323
2024,up_4_f5_1_5,1221,0.914,0.1532,0.3931,0.5569,0.4398,0.1507
2025,up_4_f5_1_5,1146,0.9136,0.1257,0.3927,0.5515,0.4564,0.1405
2023,up_4_f5_1_5,1143,0.9029,0.1557,0.4156,0.5608,0.4558,0.1382
2024,up_3_middle_6,1020,0.902,0.1539,0.4118,0.5363,0.4275,0.2392
2023,up_3_middle_6,981,0.8695,0.1978,0.4149,0.5668,0.4506,0.2589
2025,up_3_middle_6,955,0.9026,0.156,0.3916,0.5047,0.422,0.2398
2023,up_5_plus_early_1_3,921,0.9359,0.1042,0.4332,0.6113,0.4734,0.0543
2023,up_4_early_1_3,914,0.8589,0.2144,0.4344,0.57,0.4431,0.1915
2025,up_5_plus_early_1_3,893,0.9351,0.1053,0.3751,0.5532,0.4255,0.0571
2024,up_5_plus_early_1_3,822,0.8881,0.135,0.4161,0.573,0.4672,0.0389
2024,up_4_early_1_3,803,0.8829,0.1918,0.3873,0.5268,0.4247,0.1108
2024,up_4_middle_6,724,0.9282,0.1077,0.4268,0.5359,0.4448,0.1367
2025,up_4_early_1_3,719,0.8901,0.2086,0.4089,0.5535,0.4339,0.1446
2023,up_4_middle_6,684,0.9254,0.1038,0.4108,0.5468,0.424,0.1389
2025,up_4_middle_6,654,0.9327,0.078,0.3593,0.5138,0.3761,0.1147
