season,state_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_5_plus_late_7_plus,45_50,1026,0.9961,0.0078,0.3743,0.4318,0.3704,0.0292,4855,0.9946,0.0015,0.0072,0.0006,0.3574,0.0169,0.4122,0.0196,0.3429,0.0275,0.0185,0.0107
2024,up_5_plus_late_7_plus,55_60,975,0.9959,0.0092,0.3662,0.4082,0.321,0.0236,5053,0.9927,0.0032,0.0113,-0.0021,0.3275,0.0387,0.3794,0.0288,0.3137,0.0073,0.0263,-0.0027
2024,up_2_late_7_plus,50_55,971,0.8795,0.1874,0.3502,0.3975,0.309,0.309,3327,0.8744,0.0051,0.1776,0.0098,0.3408,0.0094,0.3956,0.0019,0.3267,-0.0177,0.3267,-0.0177
2025,up_1_late_7_plus,45_50,964,0.7915,0.3154,0.3174,0.3672,0.3154,0.9782,4136,0.7962,-0.0047,0.3039,0.0115,0.3138,0.0036,0.3656,0.0016,0.3039,0.0115,0.9768,0.0014
2025,up_2_f5_1_5,50_55,946,0.7336,0.4239,0.4006,0.5581,0.4461,0.4461,2589,0.7636,-0.03,0.4002,0.0237,0.409,-0.0084,0.5577,0.0004,0.4434,0.0027,0.4434,0.0027
2023,up_2_early_1_3,50_55,939,0.721,0.4888,0.4388,0.5911,0.4867,0.4867,2917,0.7011,0.0199,0.505,-0.0162,0.432,0.0068,0.5883,0.0028,0.4758,0.0109,0.4758,0.0109
2023,up_2_f5_1_5,50_55,933,0.7428,0.4202,0.4362,0.5927,0.4791,0.4791,2652,0.7534,-0.0106,0.4163,0.0039,0.4427,-0.0065,0.592,0.0007,0.4729,0.0062,0.4729,0.0062
2025,up_1_early_1_3,55_60,922,0.6952,0.6009,0.3774,0.5271,0.4078,0.9588,5522,0.6108,0.0844,0.648,-0.0471,0.404,-0.0266,0.5594,-0.0323,0.4591,-0.0513,0.958,0.0008
2024,up_2_early_1_3,45_50,915,0.7377,0.4689,0.3814,0.5563,0.4197,0.4197,3030,0.7429,-0.0052,0.4502,0.0187,0.3835,-0.0021,0.5419,0.0144,0.4145,0.0052,0.4145,0.0052
2025,up_3_late_7_plus,50_55,913,0.9518,0.0811,0.3231,0.3866,0.31,0.1424,2484,0.9569,-0.0051,0.0761,0.005,0.318,0.0051,0.3732,0.0134,0.3019,0.0081,0.1514,-0.009
2023,up_3_late_7_plus,50_55,909,0.9461,0.0957,0.3355,0.3883,0.3102,0.1595,2579,0.9387,0.0074,0.0954,0.0003,0.3373,-0.0018,0.3889,-0.0006,0.3075,0.0027,0.1706,-0.0111
2023,up_1_f5_1_5,45_50,907,0.6615,0.5634,0.4157,0.5579,0.4432,0.9724,3577,0.6472,0.0143,0.5801,-0.0167,0.4082,0.0075,0.5639,-0.006,0.4507,-0.0075,0.9723,0.0001
2024,up_2_early_1_3,50_55,885,0.7672,0.4102,0.3695,0.5028,0.3921,0.3921,3030,0.7429,0.0243,0.4502,-0.04,0.3835,-0.014,0.5419,-0.0391,0.4145,-0.0224,0.4145,-0.0224
2024,up_1_early_1_3,55_60,879,0.7224,0.554,0.3857,0.5154,0.3982,0.9602,5340,0.6382,0.0842,0.6305,-0.0765,0.3964,-0.0107,0.5468,-0.0314,0.4255,-0.0273,0.9541,0.0061
2025,up_5_plus_late_7_plus,55_60,870,1.0,0.0011,0.369,0.4287,0.3345,0.0034,5064,0.9943,0.0057,0.0079,-0.0068,0.3474,0.0216,0.4017,0.027,0.3323,0.0022,0.0166,-0.0132
2024,up_3_late_7_plus,45_50,856,0.9603,0.0607,0.3318,0.3914,0.3446,0.1484,2744,0.953,0.0073,0.0678,-0.0071,0.3287,0.0031,0.3812,0.0102,0.32,0.0246,0.1396,0.0088
2024,up_2_f5_1_5,45_50,850,0.8082,0.3271,0.3906,0.5306,0.3871,0.3871,2806,0.7744,0.0338,0.3553,-0.0282,0.3813,0.0093,0.5474,-0.0168,0.4195,-0.0324,0.4195,-0.0324
2023,up_2_late_7_plus,45_50,835,0.8826,0.1533,0.3725,0.4335,0.3449,0.3449,3321,0.8814,0.0012,0.174,-0.0207,0.3342,0.0383,0.3927,0.0408,0.3219,0.023,0.3219,0.023
2024,up_2_f5_1_5,50_55,827,0.7811,0.3519,0.3519,0.5345,0.4268,0.4268,2806,0.7744,0.0067,0.3553,-0.0034,0.3813,-0.0294,0.5474,-0.0129,0.4195,0.0073,0.4195,0.0073
2024,up_3_late_7_plus,50_55,824,0.9697,0.0534,0.318,0.3701,0.3204,0.1153,2744,0.953,0.0167,0.0678,-0.0144,0.3287,-0.0107,0.3812,-0.0111,0.32,0.0004,0.1396,-0.0243
2023,up_5_plus_late_7_plus,55_60,805,1.0,0.0,0.2944,0.3304,0.282,0.0087,4855,0.9946,0.0054,0.0072,-0.0072,0.3574,-0.063,0.4122,-0.0818,0.3429,-0.0609,0.0185,-0.0098
2025,up_1_f5_1_5,45_50,805,0.6745,0.5516,0.3702,0.5006,0.4137,0.9677,3632,0.6352,0.0393,0.5765,-0.0249,0.4025,-0.0323,0.5498,-0.0492,0.4452,-0.0315,0.9722,-0.0045
2025,up_2_late_7_plus,45_50,802,0.919,0.1796,0.308,0.3828,0.3017,0.3017,3185,0.8942,0.0248,0.1799,-0.0003,0.3341,-0.0261,0.3962,-0.0134,0.3353,-0.0336,0.3353,-0.0336
2023,up_4_late_7_plus,50_55,791,0.9747,0.0379,0.2743,0.3312,0.2288,0.0721,2125,0.9755,-0.0008,0.0381,-0.0002,0.3233,-0.049,0.3751,-0.0439,0.2894,-0.0606,0.0776,-0.0055
2025,up_4_late_7_plus,50_55,774,0.9742,0.0297,0.2687,0.3217,0.2597,0.0711,1928,0.9761,-0.0019,0.0311,-0.0014,0.2822,-0.0135,0.333,-0.0113,0.2573,0.0024,0.0705,0.0006
2025,up_5_plus_f5_1_5,50_55,757,0.9736,0.0555,0.4359,0.5984,0.4808,0.0528,1789,0.9631,0.0105,0.0598,-0.0043,0.4203,0.0156,0.5696,0.0288,0.4477,0.0331,0.0464,0.0064
2023,up_2_early_1_3,45_50,733,0.6971,0.4952,0.4202,0.5894,0.4816,0.4816,2917,0.7011,-0.004,0.505,-0.0098,0.432,-0.0118,0.5883,0.0011,0.4758,0.0058,0.4758,0.0058
2023,up_1_early_1_3,55_60,708,0.6568,0.5975,0.4237,0.5706,0.4153,0.9605,5257,0.6173,0.0395,0.6371,-0.0396,0.4141,0.0096,0.5632,0.0074,0.4392,-0.0239,0.9583,0.0022
2025,up_1_late_7_plus,55_60,688,0.782,0.3198,0.3299,0.3823,0.3198,0.9724,4136,0.7962,-0.0142,0.3039,0.0159,0.3138,0.0161,0.3656,0.0167,0.3039,0.0159,0.9768,-0.0044
2024,up_4_late_7_plus,50_55,687,0.9825,0.0306,0.294,0.3377,0.2809,0.0553,2139,0.9715,0.011,0.0383,-0.0077,0.323,-0.029,0.3806,-0.0429,0.3249,-0.044,0.0827,-0.0274
2023,up_5_plus_f5_1_5,50_55,681,0.9633,0.0573,0.4023,0.5859,0.4581,0.0426,1901,0.9605,0.0028,0.0631,-0.0058,0.3924,0.0099,0.5692,0.0167,0.4477,0.0104,0.0568,-0.0142
2023,up_2_f5_1_5,45_50,680,0.7426,0.4088,0.4368,0.5868,0.4691,0.4691,2652,0.7534,-0.0108,0.4163,-0.0075,0.4427,-0.0059,0.592,-0.0052,0.4729,-0.0038,0.4729,-0.0038
2025,up_2_f5_1_5,45_50,678,0.7891,0.4027,0.3791,0.5265,0.4071,0.4071,2589,0.7636,0.0255,0.4002,0.0025,0.409,-0.0299,0.5577,-0.0312,0.4434,-0.0363,0.4434,-0.0363
2024,up_4_late_7_plus,45_50,658,0.962,0.0441,0.3313,0.4043,0.3541,0.1109,2139,0.9715,-0.0095,0.0383,0.0058,0.323,0.0083,0.3806,0.0237,0.3249,0.0292,0.0827,0.0282
2025,up_3_f5_1_5,50_55,652,0.8742,0.2209,0.3758,0.5445,0.4187,0.2561,1710,0.8643,0.0099,0.2216,-0.0007,0.3713,0.0045,0.5222,0.0223,0.4146,0.0041,0.2444,0.0117
2023,up_3_f5_1_5,50_55,646,0.839,0.2957,0.4334,0.5882,0.4675,0.2879,1832,0.8264,0.0126,0.2735,0.0222,0.4099,0.0235,0.5617,0.0265,0.4481,0.0194,0.2702,0.0177
2025,up_2_early_1_3,45_50,645,0.7845,0.4279,0.4078,0.5395,0.445,0.445,2763,0.7351,0.0494,0.4629,-0.035,0.3959,0.0119,0.553,-0.0135,0.447,-0.002,0.447,-0.002
2024,up_1_late_7_plus,55_60,638,0.779,0.3652,0.3636,0.4232,0.3652,0.9655,4150,0.7598,0.0192,0.3383,0.0269,0.3525,0.0111,0.4051,0.0181,0.3383,0.0269,0.974,-0.0085
2023,up_3_late_7_plus,45_50,635,0.9354,0.0961,0.3543,0.4016,0.3465,0.1764,2579,0.9387,-0.0033,0.0954,0.0007,0.3373,0.017,0.3889,0.0127,0.3075,0.039,0.1706,0.0058
2024,up_5_plus_f5_1_5,50_55,623,0.9518,0.0594,0.3596,0.5169,0.3884,0.0353,1894,0.9498,0.002,0.0692,-0.0098,0.3685,-0.0089,0.5148,0.0021,0.4197,-0.0313,0.0533,-0.018
2025,up_3_late_7_plus,45_50,618,0.9644,0.0534,0.3188,0.3657,0.2945,0.144,2484,0.9569,0.0075,0.0761,-0.0227,0.318,0.0008,0.3732,-0.0075,0.3019,-0.0074,0.1514,-0.0074
2025,up_1_middle_6,50_55,610,0.6443,0.5148,0.3869,0.5459,0.441,0.9721,1601,0.6721,-0.0278,0.4859,0.0289,0.3691,0.0178,0.524,0.0219,0.4204,0.0206,0.9781,-0.006
2025,up_1_early_1_3,40_45,609,0.5649,0.6749,0.445,0.5944,0.5041,0.9557,5522,0.6108,-0.0459,0.648,0.0269,0.404,0.041,0.5594,0.035,0.4591,0.045,0.958,-0.0023
2025,up_1_f5_1_5,55_60,607,0.6837,0.5074,0.3493,0.5189,0.3937,0.9654,3632,0.6352,0.0485,0.5765,-0.0691,0.4025,-0.0532,0.5498,-0.0309,0.4452,-0.0515,0.9722,-0.0068
2023,up_1_late_7_plus,55_60,603,0.7546,0.3798,0.4113,0.4693,0.3798,0.9751,4144,0.7734,-0.0188,0.3313,0.0485,0.3448,0.0665,0.3924,0.0769,0.3313,0.0485,0.9718,0.0033
2024,up_3_f5_1_5,45_50,599,0.8731,0.197,0.4057,0.5359,0.4174,0.2254,1931,0.8674,0.0057,0.2258,-0.0288,0.392,0.0137,0.5298,0.0061,0.4247,-0.0073,0.2496,-0.0242
2025,up_3_early_1_3,50_55,586,0.8072,0.3072,0.3601,0.5392,0.3908,0.244,1574,0.8113,-0.0041,0.3253,-0.0181,0.3952,-0.0351,0.5559,-0.0167,0.425,-0.0342,0.2541,-0.0101
2023,up_3_early_1_3,50_55,577,0.8024,0.3466,0.3899,0.5459,0.4281,0.279,1690,0.774,0.0284,0.3657,-0.0191,0.4385,-0.0486,0.5964,-0.0505,0.458,-0.0299,0.2817,-0.0027
2024,up_5_plus_f5_1_5,45_50,572,0.9528,0.0734,0.4056,0.5402,0.4703,0.0629,1894,0.9498,0.003,0.0692,0.0042,0.3685,0.0371,0.5148,0.0254,0.4197,0.0506,0.0533,0.0096
2023,up_1_middle_6,50_55,565,0.685,0.5097,0.3858,0.5204,0.4425,0.9699,1639,0.6705,0.0145,0.5095,0.0002,0.3905,-0.0047,0.5503,-0.0299,0.446,-0.0035,0.975,-0.0051
2024,up_1_f5_1_5,55_60,557,0.7451,0.5278,0.3698,0.5135,0.3896,0.9803,3704,0.6547,0.0904,0.5702,-0.0424,0.4023,-0.0325,0.5664,-0.0529,0.4355,-0.0459,0.9754,0.0049
2024,up_3_f5_1_5,50_55,554,0.8773,0.2347,0.3899,0.5487,0.4332,0.2473,1931,0.8674,0.0099,0.2258,0.0089,0.392,-0.0021,0.5298,0.0189,0.4247,0.0085,0.2496,-0.0023
2025,up_2_late_7_plus,55_60,554,0.9188,0.1498,0.3159,0.3863,0.3303,0.3303,3185,0.8942,0.0246,0.1799,-0.0301,0.3341,-0.0182,0.3962,-0.0099,0.3353,-0.005,0.3353,-0.005
2023,up_1_early_1_3,40_45,549,0.5556,0.6867,0.4481,0.5847,0.4936,0.9508,5257,0.6173,-0.0617,0.6371,0.0496,0.4141,0.034,0.5632,0.0215,0.4392,0.0544,0.9583,-0.0075
2024,up_2_late_7_plus,55_60,521,0.8752,0.1574,0.3071,0.3666,0.2802,0.2802,3327,0.8744,0.0008,0.1776,-0.0202,0.3408,-0.0337,0.3956,-0.029,0.3267,-0.0465,0.3267,-0.0465
2023,up_5_plus_late_7_plus,60_plus,520,0.9904,0.0135,0.3423,0.4135,0.3135,0.0135,4855,0.9946,-0.0042,0.0072,0.0063,0.3574,-0.0151,0.4122,0.0013,0.3429,-0.0294,0.0185,-0.005
2024,up_3_early_1_3,45_50,509,0.8271,0.2731,0.4067,0.5658,0.446,0.2318,1634,0.8237,0.0034,0.2803,-0.0072,0.4002,0.0065,0.5532,0.0126,0.4278,0.0182,0.2301,0.0017
2025,up_5_plus_middle_6,50_55,508,0.9902,0.0177,0.4075,0.5807,0.4528,0.0453,1288,0.9806,0.0096,0.0272,-0.0095,0.3773,0.0302,0.5435,0.0372,0.4045,0.0483,0.038,0.0073
2024,up_2_early_1_3,55_60,506,0.7747,0.4032,0.3834,0.5296,0.3972,0.3972,3030,0.7429,0.0318,0.4502,-0.047,0.3835,-0.0001,0.5419,-0.0123,0.4145,-0.0173,0.4145,-0.0173
2025,up_5_plus_late_7_plus,40_45,506,0.9941,0.0059,0.3458,0.3953,0.3399,0.0257,5064,0.9943,-0.0002,0.0079,-0.002,0.3474,-0.0016,0.4017,-0.0064,0.3323,0.0076,0.0166,0.0091
2025,up_4_late_7_plus,45_50,492,0.9695,0.0508,0.3028,0.3516,0.2642,0.0671,1928,0.9761,-0.0066,0.0311,0.0197,0.2822,0.0206,0.333,0.0186,0.2573,0.0069,0.0705,-0.0034
2023,up_1_early_1_3,60_plus,485,0.6866,0.5856,0.367,0.5258,0.4144,0.9588,5257,0.6173,0.0693,0.6371,-0.0515,0.4141,-0.0471,0.5632,-0.0374,0.4392,-0.0248,0.9583,0.0005
2024,up_1_middle_6,45_50,483,0.7039,0.4617,0.3665,0.5259,0.4265,0.9772,1608,0.658,0.0459,0.51,-0.0483,0.3943,-0.0278,0.5647,-0.0388,0.449,-0.0225,0.9826,-0.0054
2024,up_1_middle_6,50_55,482,0.6763,0.5,0.4232,0.612,0.473,0.9813,1608,0.658,0.0183,0.51,-0.01,0.3943,0.0289,0.5647,0.0473,0.449,0.024,0.9826,-0.0013
2023,up_1_f5_1_5,55_60,477,0.6855,0.5388,0.3941,0.5618,0.4235,0.9727,3577,0.6472,0.0383,0.5801,-0.0413,0.4082,-0.0141,0.5639,-0.0021,0.4507,-0.0272,0.9723,0.0004
2024,up_5_plus_middle_6,50_55,473,0.9873,0.0169,0.3805,0.4757,0.4186,0.0211,1412,0.9816,0.0057,0.0269,-0.01,0.3817,-0.0012,0.5163,-0.0406,0.4256,-0.007,0.0276,-0.0065
2024,up_3_early_1_3,50_55,460,0.8696,0.2174,0.3739,0.5087,0.3804,0.1783,1634,0.8237,0.0459,0.2803,-0.0629,0.4002,-0.0263,0.5532,-0.0445,0.4278,-0.0474,0.2301,-0.0518
2025,up_4_f5_1_5,50_55,456,0.9079,0.1228,0.3947,0.5482,0.4539,0.1469,1146,0.9136,-0.0057,0.1257,-0.0029,0.3927,0.002,0.5515,-0.0033,0.4564,-0.0025,0.1405,0.0064
2023,up_4_late_7_plus,45_50,454,0.9802,0.0374,0.3789,0.4207,0.3546,0.0903,2125,0.9755,0.0047,0.0381,-0.0007,0.3233,0.0556,0.3751,0.0456,0.2894,0.0652,0.0776,0.0127
2023,up_5_plus_middle_6,50_55,451,0.9712,0.0288,0.408,0.5809,0.4812,0.0244,1330,0.9805,-0.0093,0.0331,-0.0043,0.4113,-0.0033,0.5887,-0.0078,0.4549,0.0263,0.0406,-0.0162
2023,up_2_middle_6,50_55,448,0.8058,0.3237,0.3705,0.4866,0.4062,0.4062,1240,0.8016,0.0042,0.3056,0.0181,0.3903,-0.0198,0.5379,-0.0513,0.4323,-0.0261,0.4323,-0.0261
2025,up_2_early_1_3,55_60,446,0.7489,0.4305,0.4283,0.5919,0.4888,0.4888,2763,0.7351,0.0138,0.4629,-0.0324,0.3959,0.0324,0.553,0.0389,0.447,0.0418,0.447,0.0418
2023,up_2_early_1_3,55_60,445,0.6899,0.5663,0.4292,0.6022,0.4921,0.4921,2917,0.7011,-0.0112,0.505,0.0613,0.432,-0.0028,0.5883,0.0139,0.4758,0.0163,0.4758,0.0163
2025,up_3_late_7_plus,55_60,444,0.9414,0.0811,0.2815,0.3356,0.2613,0.1532,2484,0.9569,-0.0155,0.0761,0.005,0.318,-0.0365,0.3732,-0.0376,0.3019,-0.0406,0.1514,0.0018
2025,up_2_middle_6,50_55,442,0.819,0.3145,0.4027,0.543,0.4434,0.4434,1273,0.8272,-0.0082,0.3009,0.0136,0.392,0.0107,0.5169,0.0261,0.4171,0.0263,0.4171,0.0263
2025,up_3_f5_1_5,45_50,434,0.8963,0.1774,0.3779,0.5461,0.4378,0.2235,1710,0.8643,0.032,0.2216,-0.0442,0.3713,0.0066,0.5222,0.0239,0.4146,0.0232,0.2444,-0.0209
2023,up_2_late_7_plus,55_60,431,0.9095,0.1439,0.3318,0.3735,0.3132,0.3132,3321,0.8814,0.0281,0.174,-0.0301,0.3342,-0.0024,0.3927,-0.0192,0.3219,-0.0087,0.3219,-0.0087
2025,up_1_late_7_plus,40_45,424,0.8113,0.2594,0.2759,0.3231,0.2594,0.9741,4136,0.7962,0.0151,0.3039,-0.0445,0.3138,-0.0379,0.3656,-0.0425,0.3039,-0.0445,0.9768,-0.0027
2024,up_3_late_7_plus,55_60,422,0.9479,0.0664,0.3057,0.372,0.2275,0.1043,2744,0.953,-0.0051,0.0678,-0.0014,0.3287,-0.023,0.3812,-0.0092,0.32,-0.0925,0.1396,-0.0353
2024,up_1_early_1_3,lt_40,418,0.4665,0.7799,0.4282,0.6268,0.5024,0.9569,5340,0.6382,-0.1717,0.6305,0.1494,0.3964,0.0318,0.5468,0.08,0.4255,0.0769,0.9541,0.0028
2025,up_2_f5_1_5,55_60,415,0.7952,0.3157,0.412,0.5542,0.4241,0.4241,2589,0.7636,0.0316,0.4002,-0.0845,0.409,0.003,0.5577,-0.0035,0.4434,-0.0193,0.4434,-0.0193
2024,up_2_f5_1_5,55_60,414,0.8092,0.3043,0.3285,0.4976,0.3599,0.3599,2806,0.7744,0.0348,0.3553,-0.051,0.3813,-0.0528,0.5474,-0.0498,0.4195,-0.0596,0.4195,-0.0596
2023,up_1_middle_6,45_50,407,0.6978,0.4644,0.371,0.5479,0.4103,0.9803,1639,0.6705,0.0273,0.5095,-0.0451,0.3905,-0.0195,0.5503,-0.0024,0.446,-0.0357,0.975,0.0053
2024,up_1_early_1_3,40_45,407,0.5774,0.6585,0.4103,0.5577,0.4447,0.9509,5340,0.6382,-0.0608,0.6305,0.028,0.3964,0.0139,0.5468,0.0109,0.4255,0.0192,0.9541,-0.0032
2023,up_5_plus_f5_1_5,45_50,406,0.9433,0.0788,0.3966,0.6034,0.4778,0.0443,1901,0.9605,-0.0172,0.0631,0.0157,0.3924,0.0042,0.5692,0.0342,0.4477,0.0301,0.0568,-0.0125
2024,up_5_plus_middle_6,45_50,406,0.9754,0.0345,0.3892,0.532,0.436,0.0394,1412,0.9816,-0.0062,0.0269,0.0076,0.3817,0.0075,0.5163,0.0157,0.4256,0.0104,0.0276,0.0118
2023,up_1_early_1_3,lt_40,404,0.5248,0.7302,0.4703,0.6337,0.495,0.9629,5257,0.6173,-0.0925,0.6371,0.0931,0.4141,0.0562,0.5632,0.0705,0.4392,0.0558,0.9583,0.0046
2025,up_3_early_1_3,45_50,403,0.8586,0.2903,0.4119,0.5806,0.4566,0.2506,1574,0.8113,0.0473,0.3253,-0.035,0.3952,0.0167,0.5559,0.0247,0.425,0.0316,0.2541,-0.0035
2023,up_4_f5_1_5,50_55,400,0.925,0.155,0.435,0.57,0.465,0.135,1143,0.9029,0.0221,0.1557,-0.0007,0.4156,0.0194,0.5608,0.0092,0.4558,0.0092,0.1382,-0.0032
