season,state_bucket,offense_form_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_1_f5_1_5,45_50,978,0.6268,0.5736,0.3957,0.5481,0.4202,0.9714,3632,0.6352,-0.0084,0.5765,-0.0029,0.4025,-0.0068,0.5498,-0.0017,0.4452,-0.025,0.9722,-0.0008
2025,up_1_early_1_3,40_45,972,0.5916,0.6595,0.4156,0.5628,0.4588,0.9578,5522,0.6108,-0.0192,0.648,0.0115,0.404,0.0116,0.5594,0.0034,0.4591,-0.0003,0.958,-0.0002
2024,up_2_late_7_plus,45_50,956,0.8745,0.1946,0.3421,0.4038,0.341,0.341,3327,0.8744,0.0001,0.1776,0.017,0.3408,0.0013,0.3956,0.0082,0.3267,0.0143,0.3267,0.0143
2024,up_1_f5_1_5,50_55,950,0.6821,0.5505,0.3874,0.5663,0.4074,0.9758,3704,0.6547,0.0274,0.5702,-0.0197,0.4023,-0.0149,0.5664,-0.0001,0.4355,-0.0281,0.9754,0.0004
2024,up_2_late_7_plus,50_55,936,0.8462,0.2041,0.3515,0.4049,0.3291,0.3291,3327,0.8744,-0.0282,0.1776,0.0265,0.3408,0.0107,0.3956,0.0093,0.3267,0.0024,0.3267,0.0024
2024,up_1_early_1_3,40_45,910,0.6297,0.6176,0.3484,0.4989,0.4044,0.9538,5340,0.6382,-0.0085,0.6305,-0.0129,0.3964,-0.048,0.5468,-0.0479,0.4255,-0.0211,0.9541,-0.0003
2024,up_5_plus_late_7_plus,40_45,904,0.9912,0.0199,0.3374,0.3927,0.3451,0.0531,5053,0.9927,-0.0015,0.0113,0.0086,0.3275,0.0099,0.3794,0.0133,0.3137,0.0314,0.0263,0.0268
2024,up_2_f5_1_5,45_50,881,0.7809,0.3439,0.4018,0.5709,0.4302,0.4302,2806,0.7744,0.0065,0.3553,-0.0114,0.3813,0.0205,0.5474,0.0235,0.4195,0.0107,0.4195,0.0107
2023,up_2_late_7_plus,45_50,871,0.8886,0.1573,0.3479,0.4225,0.3341,0.3341,3321,0.8814,0.0072,0.174,-0.0167,0.3342,0.0137,0.3927,0.0298,0.3219,0.0122,0.3219,0.0122
2024,up_3_late_7_plus,45_50,866,0.955,0.0624,0.306,0.373,0.3141,0.142,2744,0.953,0.002,0.0678,-0.0054,0.3287,-0.0227,0.3812,-0.0082,0.32,-0.0059,0.1396,0.0024
2025,up_2_late_7_plus,45_50,862,0.8573,0.203,0.3155,0.3794,0.3155,0.3155,3185,0.8942,-0.0369,0.1799,0.0231,0.3341,-0.0186,0.3962,-0.0168,0.3353,-0.0198,0.3353,-0.0198
2023,up_2_early_1_3,50_55,858,0.7028,0.5256,0.4452,0.6224,0.5047,0.5047,2917,0.7011,0.0017,0.505,0.0206,0.432,0.0132,0.5883,0.0341,0.4758,0.0289,0.4758,0.0289
2025,up_2_late_7_plus,50_55,853,0.9144,0.1571,0.3306,0.4021,0.3341,0.3341,3185,0.8942,0.0202,0.1799,-0.0228,0.3341,-0.0035,0.3962,0.0059,0.3353,-0.0012,0.3353,-0.0012
2025,up_5_plus_late_7_plus,55_60,845,0.9976,0.0059,0.3349,0.3858,0.284,0.0083,5064,0.9943,0.0033,0.0079,-0.002,0.3474,-0.0125,0.4017,-0.0159,0.3323,-0.0483,0.0166,-0.0083
2023,up_1_early_1_3,40_45,828,0.5797,0.7041,0.4396,0.5966,0.4734,0.9565,5257,0.6173,-0.0376,0.6371,0.067,0.4141,0.0255,0.5632,0.0334,0.4392,0.0342,0.9583,-0.0018
2024,up_2_early_1_3,50_55,802,0.717,0.5175,0.3865,0.5773,0.4626,0.4626,3030,0.7429,-0.0259,0.4502,0.0673,0.3835,0.003,0.5419,0.0354,0.4145,0.0481,0.4145,0.0481
2023,up_5_plus_late_7_plus,55_60,797,1.0,0.0063,0.3526,0.4115,0.3187,0.0063,4855,0.9946,0.0054,0.0072,-0.0009,0.3574,-0.0048,0.4122,-0.0007,0.3429,-0.0242,0.0185,-0.0122
2023,up_3_late_7_plus,50_55,790,0.9494,0.1013,0.3354,0.3873,0.3013,0.1544,2579,0.9387,0.0107,0.0954,0.0059,0.3373,-0.0019,0.3889,-0.0016,0.3075,-0.0062,0.1706,-0.0162
2025,up_2_early_1_3,45_50,790,0.7076,0.4861,0.4025,0.5544,0.4633,0.4633,2763,0.7351,-0.0275,0.4629,0.0232,0.3959,0.0066,0.553,0.0014,0.447,0.0163,0.447,0.0163
2023,up_1_early_1_3,55_60,775,0.6129,0.6,0.3884,0.5277,0.391,0.9561,5257,0.6173,-0.0044,0.6371,-0.0371,0.4141,-0.0257,0.5632,-0.0355,0.4392,-0.0482,0.9583,-0.0022
2025,up_1_late_7_plus,40_45,775,0.7677,0.3303,0.3355,0.3677,0.3303,0.9871,4136,0.7962,-0.0285,0.3039,0.0264,0.3138,0.0217,0.3656,0.0021,0.3039,0.0264,0.9768,0.0103
2023,up_2_f5_1_5,50_55,763,0.7497,0.401,0.4679,0.6186,0.4679,0.4679,2652,0.7534,-0.0037,0.4163,-0.0153,0.4427,0.0252,0.592,0.0266,0.4729,-0.005,0.4729,-0.005
2024,up_1_early_1_3,55_60,763,0.6763,0.6042,0.4377,0.5583,0.4233,0.9581,5340,0.6382,0.0381,0.6305,-0.0263,0.3964,0.0413,0.5468,0.0115,0.4255,-0.0022,0.9541,0.004
2023,up_2_early_1_3,45_50,758,0.6781,0.4789,0.4288,0.5726,0.471,0.471,2917,0.7011,-0.023,0.505,-0.0261,0.432,-0.0032,0.5883,-0.0157,0.4758,-0.0048,0.4758,-0.0048
2023,up_2_f5_1_5,45_50,742,0.7668,0.3787,0.4447,0.6065,0.4623,0.4623,2652,0.7534,0.0134,0.4163,-0.0376,0.4427,0.002,0.592,0.0145,0.4729,-0.0106,0.4729,-0.0106
2025,up_1_early_1_3,55_60,741,0.6208,0.5857,0.3549,0.502,0.4184,0.9514,5522,0.6108,0.01,0.648,-0.0623,0.404,-0.0491,0.5594,-0.0574,0.4591,-0.0407,0.958,-0.0066
2024,up_5_plus_late_7_plus,55_60,738,1.0,0.0122,0.3211,0.3564,0.2873,0.0257,5053,0.9927,0.0073,0.0113,0.0009,0.3275,-0.0064,0.3794,-0.023,0.3137,-0.0264,0.0263,-0.0006
2025,up_5_plus_late_7_plus,40_45,738,0.9864,0.0136,0.3225,0.3631,0.3225,0.019,5064,0.9943,-0.0079,0.0079,0.0057,0.3474,-0.0249,0.4017,-0.0386,0.3323,-0.0098,0.0166,0.0024
2025,up_3_late_7_plus,50_55,736,0.981,0.0448,0.2717,0.3302,0.2541,0.125,2484,0.9569,0.0241,0.0761,-0.0313,0.318,-0.0463,0.3732,-0.043,0.3019,-0.0478,0.1514,-0.0264
