season,state_bucket,opponent_run_prevention_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_2_late_7_plus,50_55,955,0.9026,0.1529,0.3393,0.3832,0.3131,0.3131,3327,0.8744,0.0282,0.1776,-0.0247,0.3408,-0.0015,0.3956,-0.0124,0.3267,-0.0136,0.3267,-0.0136
2024,up_2_late_7_plus,45_50,948,0.8534,0.2152,0.3608,0.4156,0.3534,0.3534,3327,0.8744,-0.021,0.1776,0.0376,0.3408,0.02,0.3956,0.02,0.3267,0.0267,0.3267,0.0267
2024,up_1_early_1_3,55_60,938,0.5949,0.6301,0.4136,0.5576,0.4296,0.951,5340,0.6382,-0.0433,0.6305,-0.0004,0.3964,0.0172,0.5468,0.0108,0.4255,0.0041,0.9541,-0.0031
2024,up_2_early_1_3,50_55,912,0.7566,0.4825,0.3969,0.5603,0.4342,0.4342,3030,0.7429,0.0137,0.4502,0.0323,0.3835,0.0134,0.5419,0.0184,0.4145,0.0197,0.4145,0.0197
2025,up_1_f5_1_5,45_50,907,0.6384,0.5832,0.4223,0.5391,0.4443,0.9702,3632,0.6352,0.0032,0.5765,0.0067,0.4025,0.0198,0.5498,-0.0107,0.4452,-0.0009,0.9722,-0.002
2023,up_1_early_1_3,55_60,893,0.5913,0.6618,0.4244,0.57,0.4759,0.9586,5257,0.6173,-0.026,0.6371,0.0247,0.4141,0.0103,0.5632,0.0068,0.4392,0.0367,0.9583,0.0003
2025,up_2_late_7_plus,50_55,870,0.8805,0.2138,0.3713,0.446,0.3874,0.3874,3185,0.8942,-0.0137,0.1799,0.0339,0.3341,0.0372,0.3962,0.0498,0.3353,0.0521,0.3353,0.0521
2024,up_5_plus_late_7_plus,55_60,867,0.9942,0.0069,0.278,0.3379,0.2503,0.0358,5053,0.9927,0.0015,0.0113,-0.0044,0.3275,-0.0495,0.3794,-0.0415,0.3137,-0.0634,0.0263,0.0095
2025,up_1_early_1_3,55_60,857,0.5484,0.6803,0.4177,0.5904,0.4761,0.9685,5522,0.6108,-0.0624,0.648,0.0323,0.404,0.0137,0.5594,0.031,0.4591,0.017,0.958,0.0105
2023,up_2_late_7_plus,45_50,851,0.8519,0.188,0.3455,0.4078,0.3502,0.3502,3321,0.8814,-0.0295,0.174,0.014,0.3342,0.0113,0.3927,0.0151,0.3219,0.0283,0.3219,0.0283
2023,up_2_early_1_3,50_55,840,0.6786,0.5238,0.3905,0.5857,0.475,0.475,2917,0.7011,-0.0225,0.505,0.0188,0.432,-0.0415,0.5883,-0.0026,0.4758,-0.0008,0.4758,-0.0008
2025,up_2_late_7_plus,45_50,832,0.8822,0.1923,0.3438,0.3954,0.3534,0.3534,3185,0.8942,-0.012,0.1799,0.0124,0.3341,0.0097,0.3962,-0.0008,0.3353,0.0181,0.3353,0.0181
2024,up_2_f5_1_5,50_55,816,0.7819,0.3713,0.424,0.5956,0.4571,0.4571,2806,0.7744,0.0075,0.3553,0.016,0.3813,0.0427,0.5474,0.0482,0.4195,0.0376,0.4195,0.0376
2023,up_2_early_1_3,45_50,808,0.6844,0.5087,0.4653,0.5866,0.4889,0.4889,2917,0.7011,-0.0167,0.505,0.0037,0.432,0.0333,0.5883,-0.0017,0.4758,0.0131,0.4758,0.0131
2025,up_2_f5_1_5,50_55,800,0.7562,0.42,0.4012,0.5675,0.4525,0.4525,2589,0.7636,-0.0074,0.4002,0.0198,0.409,-0.0078,0.5577,0.0098,0.4434,0.0091,0.4434,0.0091
2024,up_3_late_7_plus,50_55,794,0.9622,0.068,0.3426,0.4005,0.3514,0.1461,2744,0.953,0.0092,0.0678,0.0002,0.3287,0.0139,0.3812,0.0193,0.32,0.0314,0.1396,0.0065
2025,up_1_early_1_3,40_45,790,0.6152,0.638,0.4013,0.5494,0.4608,0.9481,5522,0.6108,0.0044,0.648,-0.01,0.404,-0.0027,0.5594,-0.01,0.4591,0.0017,0.958,-0.0099
2023,up_2_f5_1_5,50_55,789,0.7364,0.4651,0.493,0.673,0.5349,0.5349,2652,0.7534,-0.017,0.4163,0.0488,0.4427,0.0503,0.592,0.081,0.4729,0.062,0.4729,0.062
2024,up_2_early_1_3,45_50,786,0.743,0.4389,0.3931,0.5445,0.4198,0.4198,3030,0.7429,0.0001,0.4502,-0.0113,0.3835,0.0096,0.5419,0.0026,0.4145,0.0053,0.4145,0.0053
2023,up_3_late_7_plus,50_55,777,0.9382,0.0824,0.3488,0.3938,0.3089,0.1364,2579,0.9387,-0.0005,0.0954,-0.013,0.3373,0.0115,0.3889,0.0049,0.3075,0.0014,0.1706,-0.0342
2025,up_2_early_1_3,50_55,769,0.6983,0.5085,0.3914,0.5488,0.4785,0.4785,2763,0.7351,-0.0368,0.4629,0.0456,0.3959,-0.0045,0.553,-0.0042,0.447,0.0315,0.447,0.0315
2024,up_1_early_1_3,40_45,763,0.6632,0.6081,0.3945,0.5334,0.405,0.9554,5340,0.6382,0.025,0.6305,-0.0224,0.3964,-0.0019,0.5468,-0.0134,0.4255,-0.0205,0.9541,0.0013
2025,up_5_plus_late_7_plus,55_60,758,0.9934,0.0066,0.3852,0.434,0.376,0.0106,5064,0.9943,-0.0009,0.0079,-0.0013,0.3474,0.0378,0.4017,0.0323,0.3323,0.0437,0.0166,-0.006
2023,up_1_early_1_3,40_45,754,0.6499,0.6167,0.431,0.5889,0.439,0.9642,5257,0.6173,0.0326,0.6371,-0.0204,0.4141,0.0169,0.5632,0.0257,0.4392,-0.0002,0.9583,0.0059
2023,up_5_plus_late_7_plus,55_60,753,0.9947,0.0106,0.332,0.3825,0.3187,0.0319,4855,0.9946,0.0001,0.0072,0.0034,0.3574,-0.0254,0.4122,-0.0297,0.3429,-0.0242,0.0185,0.0134
2024,up_2_f5_1_5,45_50,739,0.7673,0.3369,0.3518,0.5277,0.3951,0.3951,2806,0.7744,-0.0071,0.3553,-0.0184,0.3813,-0.0295,0.5474,-0.0197,0.4195,-0.0244,0.4195,-0.0244
2023,up_1_late_7_plus,55_60,737,0.829,0.2985,0.3012,0.3474,0.2985,0.9729,4144,0.7734,0.0556,0.3313,-0.0328,0.3448,-0.0436,0.3924,-0.045,0.3313,-0.0328,0.9718,0.0011
2024,up_5_plus_late_7_plus,40_45,727,0.9849,0.0151,0.3026,0.359,0.3026,0.022,5053,0.9927,-0.0078,0.0113,0.0038,0.3275,-0.0249,0.3794,-0.0204,0.3137,-0.0111,0.0263,-0.0043
2024,up_1_late_7_plus,55_60,723,0.7621,0.3361,0.332,0.3707,0.3361,0.9917,4150,0.7598,0.0023,0.3383,-0.0022,0.3525,-0.0205,0.4051,-0.0344,0.3383,-0.0022,0.974,0.0177
2025,up_5_plus_late_7_plus,lt_40,720,0.9861,0.0139,0.3625,0.4222,0.3472,0.0278,5064,0.9943,-0.0082,0.0079,0.006,0.3474,0.0151,0.4017,0.0205,0.3323,0.0149,0.0166,0.0112
2025,up_1_late_7_plus,55_60,697,0.7977,0.3085,0.3185,0.3831,0.3085,0.9742,4136,0.7962,0.0015,0.3039,0.0046,0.3138,0.0047,0.3656,0.0175,0.3039,0.0046,0.9768,-0.0026
2023,up_3_late_7_plus,45_50,696,0.9368,0.0948,0.3391,0.4009,0.3032,0.1681,2579,0.9387,-0.0019,0.0954,-0.0006,0.3373,0.0018,0.3889,0.012,0.3075,-0.0043,0.1706,-0.0025
2024,up_3_late_7_plus,45_50,694,0.928,0.0879,0.3559,0.4135,0.3228,0.1455,2744,0.953,-0.025,0.0678,0.0201,0.3287,0.0272,0.3812,0.0323,0.32,0.0028,0.1396,0.0059
2025,up_5_plus_late_7_plus,40_45,692,0.9884,0.0116,0.3656,0.4306,0.3483,0.0361,5064,0.9943,-0.0059,0.0079,0.0037,0.3474,0.0182,0.4017,0.0289,0.3323,0.016,0.0166,0.0195
2023,up_2_f5_1_5,45_50,691,0.7453,0.3965,0.4168,0.5543,0.4428,0.4428,2652,0.7534,-0.0081,0.4163,-0.0198,0.4427,-0.0259,0.592,-0.0377,0.4729,-0.0301,0.4729,-0.0301
2025,up_2_early_1_3,45_50,691,0.7149,0.4805,0.4096,0.5745,0.4602,0.4602,2763,0.7351,-0.0202,0.4629,0.0176,0.3959,0.0137,0.553,0.0215,0.447,0.0132,0.447,0.0132
2023,up_5_plus_late_7_plus,40_45,673,0.9941,0.0059,0.3551,0.4205,0.3507,0.0163,4855,0.9946,-0.0005,0.0072,-0.0013,0.3574,-0.0023,0.4122,0.0083,0.3429,0.0078,0.0185,-0.0022
2025,up_3_late_7_plus,50_55,670,0.9582,0.0806,0.3164,0.3657,0.2821,0.1552,2484,0.9569,0.0013,0.0761,0.0045,0.318,-0.0016,0.3732,-0.0075,0.3019,-0.0198,0.1514,0.0038
2025,up_1_f5_1_5,55_60,650,0.5708,0.62,0.4262,0.5538,0.4877,0.9769,3632,0.6352,-0.0644,0.5765,0.0435,0.4025,0.0237,0.5498,0.004,0.4452,0.0425,0.9722,0.0047
2023,up_4_late_7_plus,45_50,642,0.9642,0.0467,0.3131,0.3801,0.3053,0.0841,2125,0.9755,-0.0113,0.0381,0.0086,0.3233,-0.0102,0.3751,0.005,0.2894,0.0159,0.0776,0.0065
2024,up_1_f5_1_5,55_60,642,0.6807,0.5265,0.3738,0.5358,0.3879,0.9735,3704,0.6547,0.026,0.5702,-0.0437,0.4023,-0.0285,0.5664,-0.0306,0.4355,-0.0476,0.9754,-0.0019
2024,up_5_plus_f5_1_5,50_55,639,0.9452,0.0908,0.3756,0.5305,0.4429,0.0657,1894,0.9498,-0.0046,0.0692,0.0216,0.3685,0.0071,0.5148,0.0157,0.4197,0.0232,0.0533,0.0124
2025,up_3_late_7_plus,45_50,637,0.9388,0.0848,0.3014,0.3642,0.2998,0.1429,2484,0.9569,-0.0181,0.0761,0.0087,0.318,-0.0166,0.3732,-0.009,0.3019,-0.0021,0.1514,-0.0085
2024,up_4_late_7_plus,45_50,623,0.9727,0.0369,0.3258,0.3676,0.313,0.0738,2139,0.9715,0.0012,0.0383,-0.0014,0.323,0.0028,0.3806,-0.013,0.3249,-0.0119,0.0827,-0.0089
