season,inning_bucket,opponent_run_prevention_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2024,middle_6,55_60,373,0.4182,0.555,0.3458,1972,0.3722,0.046,0.5203,0.0347,0.3139,0.0319
2023,early_1_3,60_plus,370,0.3622,0.5486,0.2919,5928,0.3974,-0.0352,0.5633,-0.0147,0.3311,-0.0392
2024,early_1_3,lt_40,355,0.3972,0.5887,0.3155,5767,0.3648,0.0324,0.5225,0.0662,0.3123,0.0032
2025,middle_6,55_60,339,0.3422,0.5369,0.2802,1930,0.329,0.0132,0.5031,0.0338,0.3212,-0.041
2025,f5_1_5,lt_40,335,0.3194,0.5015,0.394,3836,0.3691,-0.0497,0.5209,-0.0194,0.317,0.077
2023,middle_6,55_60,332,0.3494,0.506,0.3373,2003,0.365,-0.0156,0.5417,-0.0357,0.3285,0.0088
2024,early_1_3,60_plus,328,0.3537,0.5061,0.3445,5767,0.3648,-0.0111,0.5225,-0.0164,0.3123,0.0322
2023,late_7_plus,60_plus,324,0.2963,0.3735,0.2562,5617,0.3025,-0.0062,0.3714,0.0021,0.3231,-0.0669
2023,f5_1_5,lt_40,308,0.3929,0.5844,0.3701,3987,0.3742,0.0187,0.549,0.0354,0.3203,0.0498
2023,middle_6,40_45,295,0.3424,0.5763,0.3492,2003,0.365,-0.0226,0.5417,0.0346,0.3285,0.0207
2025,middle_6,40_45,294,0.3673,0.534,0.3878,1930,0.329,0.0383,0.5031,0.0309,0.3212,0.0666
2025,early_1_3,60_plus,270,0.3815,0.5667,0.3593,5659,0.3492,0.0323,0.5211,0.0456,0.3211,0.0382
2024,late_7_plus,60_plus,266,0.282,0.3346,0.3008,5600,0.2929,-0.0109,0.3445,-0.0099,0.3243,-0.0235
2024,middle_6,40_45,265,0.3774,0.5396,0.3283,1972,0.3722,0.0052,0.5203,0.0193,0.3139,0.0144
2024,f5_1_5,lt_40,251,0.4462,0.5857,0.4024,3973,0.3612,0.085,0.5286,0.0571,0.3144,0.088
2023,f5_1_5,60_plus,241,0.3651,0.473,0.3071,3987,0.3742,-0.0091,0.549,-0.076,0.3203,-0.0132
2025,late_7_plus,60_plus,240,0.2833,0.325,0.3208,5458,0.2834,-0.0001,0.3474,-0.0224,0.3173,0.0035
2024,f5_1_5,60_plus,214,0.3131,0.5,0.2617,3973,0.3612,-0.0481,0.5286,-0.0286,0.3144,-0.0527
2025,f5_1_5,60_plus,194,0.4278,0.5361,0.3144,3836,0.3691,0.0587,0.5209,0.0152,0.317,-0.0026
2025,middle_6,lt_40,172,0.2674,0.4826,0.3895,1930,0.329,-0.0616,0.5031,-0.0205,0.3212,0.0683
2024,middle_6,lt_40,160,0.3187,0.5563,0.35,1972,0.3722,-0.0535,0.5203,0.036,0.3139,0.0361
2023,middle_6,lt_40,141,0.3262,0.5461,0.4326,2003,0.365,-0.0388,0.5417,0.0044,0.3285,0.1041
2024,middle_6,60_plus,105,0.2762,0.4667,0.2381,1972,0.3722,-0.096,0.5203,-0.0536,0.3139,-0.0758
2023,middle_6,60_plus,102,0.3824,0.4804,0.2647,2003,0.365,0.0174,0.5417,-0.0613,0.3285,-0.0638
