season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_5_plus_late_7_plus,55_60,967,0.0083,0.0083,0.3744,0.4302,0.3257,0.0155,5064,0.0057,0.0026,0.0079,0.0004,0.3474,0.027,0.4017,0.0285,0.3323,-0.0066,0.0166,-0.0011
2023,down_2_late_7_plus,50_55,952,0.0998,0.1544,0.3445,0.4076,0.3256,0.3256,3321,0.1186,-0.0188,0.174,-0.0196,0.3342,0.0103,0.3927,0.0149,0.3219,0.0037,0.3219,0.0037
2023,down_2_late_7_plus,45_50,946,0.111,0.1755,0.3383,0.4091,0.3383,0.3383,3321,0.1186,-0.0076,0.174,0.0015,0.3342,0.0041,0.3927,0.0164,0.3219,0.0164,0.3219,0.0164
2025,down_1_early_1_3,55_60,945,0.3397,0.6381,0.3767,0.5185,0.4381,0.9513,5522,0.3892,-0.0495,0.648,-0.0099,0.404,-0.0273,0.5594,-0.0409,0.4591,-0.021,0.958,-0.0067
2024,down_1_f5_1_5,45_50,925,0.3124,0.5632,0.4022,0.5492,0.4292,0.9762,3704,0.3386,-0.0262,0.5702,-0.007,0.4023,-0.0001,0.5664,-0.0172,0.4355,-0.0063,0.9754,0.0008
2023,down_5_plus_late_7_plus,55_60,917,0.0098,0.0142,0.3751,0.4297,0.3653,0.0262,4855,0.0054,0.0044,0.0072,0.007,0.3574,0.0177,0.4122,0.0175,0.3429,0.0224,0.0185,0.0077
2025,down_2_late_7_plus,50_55,912,0.1184,0.1897,0.3081,0.3607,0.3279,0.3279,3185,0.1058,0.0126,0.1799,0.0098,0.3341,-0.026,0.3962,-0.0355,0.3353,-0.0074,0.3353,-0.0074
2023,down_1_early_1_3,55_60,890,0.3393,0.5899,0.4124,0.5472,0.4202,0.9607,5257,0.3827,-0.0434,0.6371,-0.0472,0.4141,-0.0017,0.5632,-0.016,0.4392,-0.019,0.9583,0.0024
2024,down_2_early_1_3,50_55,879,0.2582,0.463,0.3902,0.5415,0.4312,0.4312,3030,0.2554,0.0028,0.4502,0.0128,0.3835,0.0067,0.5419,-0.0004,0.4145,0.0167,0.4145,0.0167
2024,down_2_late_7_plus,45_50,879,0.1297,0.1832,0.3276,0.3891,0.3174,0.3174,3327,0.1214,0.0083,0.1776,0.0056,0.3408,-0.0132,0.3956,-0.0065,0.3267,-0.0093,0.3267,-0.0093
