season,inning_bucket,opponent_team_strength_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2023,f5_1_5,40_45,373,0.3807,0.5603,0.3619,3987,0.3742,0.0065,0.549,0.0113,0.3203,0.0416
2023,f5_1_5,60_plus,365,0.3479,0.5589,0.3425,3987,0.3742,-0.0263,0.549,0.0099,0.3203,0.0222
2024,late_7_plus,60_plus,359,0.337,0.376,0.3203,5600,0.2929,0.0441,0.3445,0.0315,0.3243,-0.004
2025,late_7_plus,lt_40,352,0.2926,0.3466,0.429,5458,0.2834,0.0092,0.3474,-0.0008,0.3173,0.1117
2024,f5_1_5,40_45,344,0.3837,0.5581,0.4157,3973,0.3612,0.0225,0.5286,0.0295,0.3144,0.1013
2023,f5_1_5,lt_40,331,0.4018,0.574,0.4169,3987,0.3742,0.0276,0.549,0.025,0.3203,0.0966
2025,middle_6,55_60,323,0.3498,0.4768,0.291,1930,0.329,0.0208,0.5031,-0.0263,0.3212,-0.0302
2025,early_1_3,lt_40,317,0.3312,0.5016,0.4511,5659,0.3492,-0.018,0.5211,-0.0195,0.3211,0.13
2023,middle_6,55_60,296,0.3919,0.5507,0.2196,2003,0.365,0.0269,0.5417,0.009,0.3285,-0.1089
2024,f5_1_5,60_plus,292,0.387,0.5514,0.226,3973,0.3612,0.0258,0.5286,0.0228,0.3144,-0.0884
2024,middle_6,55_60,288,0.3958,0.5729,0.2847,1972,0.3722,0.0236,0.5203,0.0526,0.3139,-0.0292
2024,f5_1_5,lt_40,282,0.4078,0.5603,0.4291,3973,0.3612,0.0466,0.5286,0.0317,0.3144,0.1147
2025,late_7_plus,60_plus,278,0.223,0.2842,0.3417,5458,0.2834,-0.0604,0.3474,-0.0632,0.3173,0.0244
2025,early_1_3,60_plus,273,0.4176,0.5458,0.2821,5659,0.3492,0.0684,0.5211,0.0247,0.3211,-0.039
2025,middle_6,40_45,239,0.3473,0.5565,0.3975,1930,0.329,0.0183,0.5031,0.0534,0.3212,0.0763
2025,f5_1_5,lt_40,225,0.3511,0.5422,0.4267,3836,0.3691,-0.018,0.5209,0.0213,0.317,0.1097
2024,middle_6,40_45,209,0.4019,0.5407,0.3541,1972,0.3722,0.0297,0.5203,0.0204,0.3139,0.0402
2023,middle_6,40_45,206,0.3738,0.5922,0.4272,2003,0.365,0.0088,0.5417,0.0505,0.3285,0.0987
2023,middle_6,lt_40,173,0.3526,0.6185,0.4104,2003,0.365,-0.0124,0.5417,0.0768,0.3285,0.0819
2025,f5_1_5,60_plus,169,0.3432,0.5089,0.3432,3836,0.3691,-0.0259,0.5209,-0.012,0.317,0.0262
2023,middle_6,60_plus,152,0.3289,0.5066,0.2895,2003,0.365,-0.0361,0.5417,-0.0351,0.3285,-0.039
2024,middle_6,lt_40,151,0.4371,0.6424,0.4172,1972,0.3722,0.0649,0.5203,0.1221,0.3139,0.1033
2025,middle_6,lt_40,135,0.2963,0.5852,0.4815,1930,0.329,-0.0327,0.5031,0.0821,0.3212,0.1603
2024,middle_6,60_plus,115,0.2957,0.4783,0.2261,1972,0.3722,-0.0765,0.5203,-0.042,0.3139,-0.0878
