model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
baseline,comeback,down_5_plus_middle_6,,,"2023,2024,2025",4030,1288,0.0191,0.0184,0.0195,0.0011,0.0291,0.0269,0.0331,0.0062,0.3901,0.3773,0.4113,0.034,0.5495,0.5163,0.5887,0.0724,0.4283,0.4045,0.4549,0.0504,0.0354,0.0276,0.0406,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_2_middle_6,,,"2023,2024,2025",3804,1240,0.1924,0.1728,0.206,0.0332,0.3101,0.3009,0.3238,0.0229,0.4061,0.3903,0.4361,0.0458,0.5401,0.5169,0.5655,0.0486,0.4347,0.4171,0.4547,0.0376,0.4347,0.4171,0.4547,0.0376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_4_f5_1_5,,,"2023,2024,2025",3510,1143,0.0893,0.0844,0.0971,0.0127,0.1449,0.1257,0.1557,0.03,0.4005,0.3927,0.4156,0.0229,0.5564,0.5515,0.5608,0.0093,0.4507,0.4398,0.4564,0.0166,0.1431,0.1382,0.1507,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_3_middle_6,,,"2023,2024,2025",2956,955,0.1086,0.0974,0.1305,0.0331,0.1692,0.1539,0.1978,0.0439,0.4061,0.3916,0.4149,0.0233,0.5359,0.5047,0.5668,0.0621,0.4334,0.422,0.4506,0.0286,0.246,0.2392,0.2589,0.0197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_5_plus_early_1_3,,,"2023,2024,2025",2636,822,0.0787,0.0641,0.1071,0.043,0.1148,0.1042,0.135,0.0308,0.4081,0.3751,0.4332,0.0581,0.5792,0.5532,0.6113,0.0581,0.4554,0.4255,0.4734,0.0479,0.0501,0.0389,0.0571,0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_4_early_1_3,,,"2023,2024,2025",2436,719,0.1219,0.1099,0.1411,0.0312,0.2049,0.1918,0.2144,0.0226,0.4102,0.3873,0.4344,0.0471,0.5501,0.5268,0.57,0.0432,0.4339,0.4247,0.4431,0.0184,0.149,0.1108,0.1915,0.0807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,comeback,down_4_middle_6,,,"2023,2024,2025",2062,654,0.0703,0.0673,0.0746,0.0073,0.0965,0.078,0.1077,0.0297,0.399,0.3593,0.4268,0.0675,0.5322,0.5138,0.5468,0.033,0.415,0.3761,0.4448,0.0687,0.1301,0.1147,0.1389,0.0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,lead,up_1_early_1_3,,,"2023,2024,2025",16119,5257,,,,,,,,,,,,,,,,,,,,,,,,,0.6221,0.6108,0.6382,0.0274,0.6385,0.6305,0.648,0.0175,0.4048,0.3964,0.4141,0.0177,0.5565,0.5468,0.5632,0.0164,0.4413,0.4255,0.4591,0.0336,0.9568,0.9541,0.9583,0.0042,,,,,
baseline,lead,up_5_plus_late_7_plus,,,"2023,2024,2025",14972,4855,,,,,,,,,,,,,,,,,,,,,,,,,0.9939,0.9927,0.9946,0.0019,0.0088,0.0072,0.0113,0.0041,0.3441,0.3275,0.3574,0.0299,0.3978,0.3794,0.4122,0.0328,0.3296,0.3137,0.3429,0.0292,0.0205,0.0166,0.0263,0.0097,,,,,
baseline,lead,up_1_late_7_plus,,,"2023,2024,2025",12430,4136,,,,,,,,,,,,,,,,,,,,,,,,,0.7765,0.7598,0.7962,0.0364,0.3245,0.3039,0.3383,0.0344,0.337,0.3138,0.3525,0.0387,0.3877,0.3656,0.4051,0.0395,0.3245,0.3039,0.3383,0.0344,0.9742,0.9718,0.9768,0.005,,,,,
baseline,lead,up_1_f5_1_5,,,"2023,2024,2025",10913,3577,,,,,,,,,,,,,,,,,,,,,,,,,0.6457,0.6352,0.6547,0.0195,0.5756,0.5702,0.5801,0.0099,0.4043,0.4023,0.4082,0.0059,0.56,0.5498,0.5664,0.0166,0.4438,0.4355,0.4507,0.0152,0.9733,0.9722,0.9754,0.0032,,,,,
baseline,lead,up_2_late_7_plus,,,"2023,2024,2025",9833,3185,,,,,,,,,,,,,,,,,,,,,,,,,0.8833,0.8744,0.8942,0.0198,0.1772,0.174,0.1799,0.0059,0.3364,0.3341,0.3408,0.0067,0.3948,0.3927,0.3962,0.0035,0.328,0.3219,0.3353,0.0134,0.328,0.3219,0.3353,0.0134,,,,,
baseline,lead,up_2_early_1_3,,,"2023,2024,2025",8710,2763,,,,,,,,,,,,,,,,,,,,,,,,,0.7264,0.7011,0.7429,0.0418,0.4727,0.4502,0.505,0.0548,0.4038,0.3835,0.432,0.0485,0.5611,0.5419,0.5883,0.0464,0.4458,0.4145,0.4758,0.0613,0.4458,0.4145,0.4758,0.0613,,,,,
