model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
tier_modifier,comeback,down_1_f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",1032,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.6277,0.0521,0.0157,0.0883
tier_modifier,comeback,down_1_f5_1_5,opponent_team_strength_bucket,lt_40,"2023,2024,2025",866,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4285,0.0764,0.0432,0.1002
tier_modifier,comeback,down_1_f5_1_5,opponent_team_strength_bucket,lt_40,"2023,2024,2025",866,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.601,0.0409,0.0122,0.0804
tier_modifier,comeback,down_1_f5_1_5,opponent_team_strength_bucket,lt_40,"2023,2024,2025",866,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.6608,0.0852,0.0315,0.1212
tier_modifier,comeback,down_1_late_7_plus,home_away,home,"2023,2024,2025",6702,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.2625,0.0417,0.0324,0.0477
tier_modifier,comeback,down_1_late_7_plus,home_away,home,"2023,2024,2025",6702,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4306,0.0429,0.0299,0.0511
tier_modifier,comeback,down_1_late_7_plus,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",915,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3027,0.0819,0.0115,0.133
tier_modifier,comeback,down_1_late_7_plus,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",915,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.456,0.0683,0.0282,0.131
tier_modifier,comeback,down_1_late_7_plus,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",915,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.4173,0.0928,0.0275,0.1674
tier_modifier,comeback,down_1_middle_6,home_away,home,"2023,2024,2025",2462,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3772,0.0465,0.0378,0.055
tier_modifier,comeback,down_1_middle_6,home_away,home,"2023,2024,2025",2462,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5917,0.0454,0.0345,0.0552
tier_modifier,comeback,down_1_middle_6,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",345,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.407,0.0764,0.0519,0.125
tier_modifier,comeback,down_1_middle_6,opponent_team_strength_bucket,40_45,"2023,2024,2025",472,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4098,0.0791,0.0224,0.1305
tier_modifier,comeback,down_1_middle_6,opponent_team_strength_bucket,lt_40,"2023,2024,2025",418,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3903,0.0596,0.0203,0.1106
tier_modifier,comeback,down_1_middle_6,opponent_team_strength_bucket,lt_40,"2023,2024,2025",418,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.592,0.0457,0.0259,0.0564
tier_modifier,comeback,down_1_middle_6,opponent_team_strength_bucket,lt_40,"2023,2024,2025",418,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.5533,0.0515,0.0052,0.1223
tier_modifier,comeback,down_1_middle_6,team_strength_bucket,55_60,"2023,2024,2025",674,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3774,0.0467,0.02,0.0767
tier_modifier,comeback,down_1_middle_6,team_strength_bucket,55_60,"2023,2024,2025",674,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5977,0.0514,0.0322,0.089
tier_modifier,comeback,down_2_early_1_3,home_away,home,"2023,2024,2025",4935,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3174,0.0443,0.0428,0.0456
tier_modifier,comeback,down_2_early_1_3,home_away,home,"2023,2024,2025",4935,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6141,0.053,0.0439,0.061
tier_modifier,comeback,down_2_early_1_3,home_away,home,"2023,2024,2025",4935,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.5138,0.0411,0.0294,0.0498
tier_modifier,comeback,down_2_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",590,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3276,0.0545,0.0109,0.1114
tier_modifier,comeback,down_2_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",590,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6375,0.0765,0.0561,0.1103
tier_modifier,comeback,down_2_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",590,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.5493,0.0766,0.0728,0.0796
tier_modifier,comeback,down_2_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",589,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4108,0.1377,0.0854,0.1672
tier_modifier,comeback,down_2_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",589,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.5804,0.1077,0.032,0.1942
tier_modifier,comeback,down_2_f5_1_5,home_away,home,"2023,2024,2025",4139,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6117,0.046,0.0325,0.058
tier_modifier,comeback,down_2_f5_1_5,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",1427,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.2771,0.0422,0.029,0.0565
tier_modifier,comeback,down_2_f5_1_5,offense_form_bucket,60_plus,"2023,2024,2025",624,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3095,0.0746,0.0538,0.0908
tier_modifier,comeback,down_2_f5_1_5,offense_form_bucket,60_plus,"2023,2024,2025",624,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.4454,0.0548,0.0176,0.0815
tier_modifier,comeback,down_2_f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",518,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3167,0.0818,0.0713,0.0976
tier_modifier,comeback,down_2_f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",518,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6368,0.0711,0.0323,0.0959
tier_modifier,comeback,down_2_f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",518,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.458,0.0674,0.03,0.1146
tier_modifier,comeback,down_2_f5_1_5,opponent_team_strength_bucket,lt_40,"2023,2024,2025",552,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.515,0.1244,0.0107,0.2329
tier_modifier,comeback,down_2_late_7_plus,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",1725,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4406,0.0458,0.0287,0.0759
tier_modifier,comeback,down_2_late_7_plus,offense_form_bucket,60_plus,"2023,2024,2025",672,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4669,0.0721,0.0122,0.1137
tier_modifier,comeback,down_2_late_7_plus,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",620,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4638,0.069,0.0447,0.1044
tier_modifier,comeback,down_2_late_7_plus,opponent_team_strength_bucket,lt_40,"2023,2024,2025",611,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.1651,0.0498,0.0101,0.0803
tier_modifier,comeback,down_2_late_7_plus,opponent_team_strength_bucket,lt_40,"2023,2024,2025",611,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4585,0.0636,0.0132,0.1194
tier_modifier,comeback,down_2_late_7_plus,opponent_team_strength_bucket,lt_40,"2023,2024,2025",611,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.2279,0.0508,0.0133,0.11
tier_modifier,comeback,down_2_middle_6,opponent_run_prevention_bucket,40_45,"2023,2024,2025",489,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.602,0.0619,0.0135,0.0913
tier_modifier,comeback,down_3_early_1_3,home_away,home,"2023,2024,2025",2654,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6436,0.0751,0.0489,0.0958
tier_modifier,comeback,down_3_early_1_3,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",896,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.3756,0.0518,0.0379,0.074
tier_modifier,comeback,down_3_early_1_3,offense_form_bucket,60_plus,"2023,2024,2025",372,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.4271,0.1034,0.089,0.1234
tier_modifier,comeback,down_3_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",352,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.2559,0.0608,0.0129,0.133
tier_modifier,comeback,down_3_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",352,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6484,0.0799,0.0086,0.2036
tier_modifier,comeback,down_3_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",352,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.4003,0.0766,0.0457,0.1129
tier_modifier,comeback,down_3_early_1_3,opponent_team_strength_bucket,40_45,"2023,2024,2025",567,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.2765,0.0814,0.0122,0.1511
tier_modifier,comeback,down_3_early_1_3,opponent_team_strength_bucket,40_45,"2023,2024,2025",567,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.4392,0.1154,0.0755,0.1507
tier_modifier,comeback,down_3_early_1_3,team_strength_bucket,55_60,"2023,2024,2025",728,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.3672,0.0435,0.0341,0.0513
tier_modifier,comeback,down_3_f5_1_5,home_away,home,"2023,2024,2025",2778,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5834,0.0455,0.0357,0.0621
tier_modifier,comeback,down_3_f5_1_5,offense_form_bucket,55_60,"2023,2024,2025",774,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.1878,0.0414,0.0138,0.0614
tier_modifier,comeback,down_3_f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",599,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.2062,0.0597,0.0213,0.1163
tier_modifier,comeback,down_3_f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",599,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.284,0.0437,0.025,0.0598
tier_modifier,comeback,down_3_f5_1_5,team_strength_bucket,55_60,"2023,2024,2025",784,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.2878,0.0475,0.0002,0.1049
tier_modifier,comeback,down_3_late_7_plus,team_strength_bucket,60_plus,"2023,2024,2025",456,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4602,0.0791,0.0136,0.2094
tier_modifier,comeback,down_3_middle_6,offense_form_bucket,55_60,"2023,2024,2025",391,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.1711,0.0625,0.0204,0.1082
tier_modifier,comeback,down_3_middle_6,offense_form_bucket,55_60,"2023,2024,2025",391,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6183,0.0824,0.0393,0.1611
tier_modifier,comeback,down_3_middle_6,offense_form_bucket,55_60,"2023,2024,2025",391,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.2423,0.0731,0.0369,0.115
tier_modifier,comeback,down_3_middle_6,opponent_team_strength_bucket,40_45,"2023,2024,2025",323,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.1711,0.0624,0.0377,0.0981
tier_modifier,comeback,down_3_middle_6,opponent_team_strength_bucket,40_45,"2023,2024,2025",323,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5792,0.0432,0.0237,0.0629
tier_modifier,comeback,down_3_middle_6,opponent_team_strength_bucket,40_45,"2023,2024,2025",323,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.242,0.0727,0.0611,0.0879
tier_modifier,comeback,down_4_early_1_3,home_away,home,"2023,2024,2025",1309,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.592,0.0419,0.0268,0.0548
tier_modifier,comeback,down_4_early_1_3,opponent_run_prevention_bucket,40_45,"2023,2024,2025",367,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.1776,0.0557,0.0156,0.087
tier_modifier,comeback,down_4_early_1_3,team_strength_bucket,55_60,"2023,2024,2025",323,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.609,0.0589,0.046,0.0715
tier_modifier,comeback,down_4_early_1_3,team_strength_bucket,55_60,"2023,2024,2025",323,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.2798,0.0749,0.0356,0.0995
tier_modifier,comeback,down_4_f5_1_5,home_away,home,"2023,2024,2025",1776,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.608,0.0516,0.0327,0.0624
tier_modifier,comeback,down_4_f5_1_5,home_away,home,"2023,2024,2025",1776,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.186,0.0412,0.0243,0.0604
tier_modifier,comeback,down_4_f5_1_5,opponent_run_prevention_bucket,40_45,"2023,2024,2025",470,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.1946,0.0498,0.0266,0.0861
tier_modifier,comeback,down_4_f5_1_5,team_strength_bucket,45_50,"2023,2024,2025",946,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.604,0.0476,0.0097,0.0987
tier_modifier,comeback,down_4_middle_6,home_away,home,"2023,2024,2025",1050,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5786,0.0464,0.0355,0.0605
tier_modifier,comeback,down_4_middle_6,offense_form_bucket,50_55,"2023,2024,2025",532,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5804,0.0482,0.0149,0.1078
tier_modifier,comeback,down_5_plus_early_1_3,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",377,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.1247,0.046,0.0206,0.0742
tier_modifier,comeback,down_5_plus_early_1_3,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",377,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6262,0.047,0.0003,0.1251
tier_modifier,comeback,down_5_plus_early_1_3,offense_form_bucket,50_55,"2023,2024,2025",690,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.1625,0.0477,0.0284,0.0796
tier_modifier,comeback,down_5_plus_f5_1_5,home_away,home,"2023,2024,2025",2883,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5945,0.0433,0.0221,0.0692
tier_modifier,comeback,down_5_plus_middle_6,home_away,home,"2023,2024,2025",2043,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5912,0.0417,0.0308,0.0521
tier_modifier,lead,up_1_early_1_3,home_away,away,"2023,2024,2025",9064,2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6026,0.0462,0.0381,0.0574
tier_modifier,lead,up_1_early_1_3,home_away,home,"2023,2024,2025",7055,2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.6647,0.0426,0.027,0.063
tier_modifier,lead,up_1_early_1_3,opponent_run_prevention_bucket,60_plus,"2023,2024,2025",826,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.6744,0.0523,0.0219,0.0824
tier_modifier,lead,up_1_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",1286,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.6878,0.0657,0.0412,0.0878
tier_modifier,lead,up_1_early_1_3,opponent_team_strength_bucket,40_45,"2023,2024,2025",1812,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.685,0.0629,0.0494,0.0897
tier_modifier,lead,up_1_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",1491,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.707,0.0849,0.065,0.1162
tier_modifier,lead,up_1_early_1_3,team_strength_bucket,55_60,"2023,2024,2025",2509,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.6915,0.0694,0.0395,0.0844
tier_modifier,lead,up_1_early_1_3,team_strength_bucket,lt_40,"2023,2024,2025",1147,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.7341,0.0956,0.0443,0.1494
tier_modifier,lead,up_1_early_1_3,team_strength_bucket,lt_40,"2023,2024,2025",1147,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6079,0.0514,0.0037,0.08
tier_modifier,lead,up_1_f5_1_5,home_away,away,"2023,2024,2025",5666,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6001,0.0401,0.0313,0.0449
tier_modifier,lead,up_1_f5_1_5,offense_form_bucket,lt_40,"2023,2024,2025",557,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.6261,0.0505,0.0277,0.0801
tier_modifier,lead,up_1_f5_1_5,opponent_team_strength_bucket,lt_40,"2023,2024,2025",935,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7155,0.0698,0.026,0.0941
tier_modifier,lead,up_1_f5_1_5,team_strength_bucket,40_45,"2023,2024,2025",1032,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.6277,0.0521,0.0157,0.0883
tier_modifier,lead,up_1_f5_1_5,team_strength_bucket,40_45,"2023,2024,2025",1032,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6106,0.0505,0.034,0.065
tier_modifier,lead,up_1_f5_1_5,team_strength_bucket,55_60,"2023,2024,2025",1641,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7048,0.0591,0.0383,0.0904
tier_modifier,lead,up_1_f5_1_5,team_strength_bucket,lt_40,"2023,2024,2025",866,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.6608,0.0852,0.0315,0.1212
tier_modifier,lead,up_1_f5_1_5,team_strength_bucket,lt_40,"2023,2024,2025",866,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.601,0.0409,0.0122,0.0804
tier_modifier,lead,up_1_late_7_plus,home_away,away,"2023,2024,2025",6702,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4306,0.0429,0.0299,0.0511
tier_modifier,lead,up_1_late_7_plus,home_away,home,"2023,2024,2025",5728,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.8271,0.0507,0.0452,0.0551
tier_modifier,lead,up_1_middle_6,home_away,away,"2023,2024,2025",2462,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5917,0.0454,0.0345,0.0552
tier_modifier,lead,up_1_middle_6,home_away,home,"2023,2024,2025",2386,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7149,0.048,0.0412,0.054
tier_modifier,lead,up_1_middle_6,opponent_team_strength_bucket,55_60,"2023,2024,2025",674,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5977,0.0514,0.0322,0.089
tier_modifier,lead,up_1_middle_6,opponent_team_strength_bucket,lt_40,"2023,2024,2025",397,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7383,0.0714,0.0343,0.1352
tier_modifier,lead,up_1_middle_6,team_strength_bucket,lt_40,"2023,2024,2025",418,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.5533,0.0515,0.0052,0.1223
tier_modifier,lead,up_1_middle_6,team_strength_bucket,lt_40,"2023,2024,2025",418,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.592,0.0457,0.0259,0.0564
tier_modifier,lead,up_2_early_1_3,home_away,away,"2023,2024,2025",4935,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.5138,0.0411,0.0294,0.0498
tier_modifier,lead,up_2_early_1_3,home_away,away,"2023,2024,2025",4935,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6141,0.053,0.0439,0.061
