season,state_bucket,home_away,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_1_early_1_3,away,2273,0.3322,0.6067,0.3132,0.4954,0.3836,0.9437,5340,0.3575,-0.0253,0.6305,-0.0238,0.3964,-0.0832,0.5468,-0.0514,0.4255,-0.0419,0.9541,-0.0104
2024,down_1_late_7_plus,home,2273,0.2644,0.3744,0.4074,0.4562,0.3744,0.9705,4150,0.232,0.0324,0.3383,0.0361,0.3525,0.0549,0.4051,0.0511,0.3383,0.0361,0.974,-0.0035
2024,down_5_plus_late_7_plus,away,2232,0.0058,0.0121,0.2894,0.358,0.31,0.0278,5053,0.0073,-0.0015,0.0113,0.0008,0.3275,-0.0381,0.3794,-0.0214,0.3137,-0.0037,0.0263,0.0015
2025,down_1_late_7_plus,home,2151,0.2515,0.3422,0.3691,0.4133,0.3422,0.9712,4136,0.2038,0.0477,0.3039,0.0383,0.3138,0.0553,0.3656,0.0477,0.3039,0.0383,0.9768,-0.0056
2023,down_5_plus_late_7_plus,away,2108,0.0,0.0014,0.3392,0.4165,0.3444,0.0076,4855,0.0054,-0.0054,0.0072,-0.0058,0.3574,-0.0182,0.4122,0.0043,0.3429,0.0015,0.0185,-0.0109
2024,down_1_f5_1_5,home,1994,0.3551,0.5692,0.4509,0.6113,0.4524,0.9774,3704,0.3386,0.0165,0.5702,-0.001,0.4023,0.0486,0.5664,0.0449,0.4355,0.0169,0.9754,0.002
2025,down_1_late_7_plus,away,1985,0.1521,0.2625,0.2539,0.3139,0.2625,0.9829,4136,0.2038,-0.0517,0.3039,-0.0414,0.3138,-0.0599,0.3656,-0.0517,0.3039,-0.0414,0.9768,0.0061
2024,down_1_late_7_plus,away,1877,0.1929,0.2946,0.2861,0.3431,0.2946,0.9782,4150,0.232,-0.0391,0.3383,-0.0437,0.3525,-0.0664,0.4051,-0.062,0.3383,-0.0437,0.974,0.0042
2023,down_1_late_7_plus,away,1866,0.1715,0.3114,0.3028,0.3558,0.3114,0.9759,4144,0.2266,-0.0551,0.3313,-0.0199,0.3448,-0.042,0.3924,-0.0366,0.3313,-0.0199,0.9718,0.0041
2025,down_1_f5_1_5,home,1844,0.4116,0.6041,0.4599,0.5938,0.474,0.9723,3632,0.3648,0.0468,0.5765,0.0276,0.4025,0.0574,0.5498,0.044,0.4452,0.0288,0.9722,0.0001
