season,state_bucket,opponent_team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_3_late_7_plus,50_55,913,0.0482,0.0811,0.3231,0.3866,0.31,0.1424,2484,0.0431,0.0051,0.0761,0.005,0.318,0.0051,0.3732,0.0134,0.3019,0.0081,0.1514,-0.009
2023,down_3_late_7_plus,50_55,909,0.0539,0.0957,0.3355,0.3883,0.3102,0.1595,2579,0.0613,-0.0074,0.0954,0.0003,0.3373,-0.0018,0.3889,-0.0006,0.3075,0.0027,0.1706,-0.0111
2023,down_1_f5_1_5,45_50,907,0.3385,0.5634,0.4157,0.5579,0.4432,0.9724,3577,0.3528,-0.0143,0.5801,-0.0167,0.4082,0.0075,0.5639,-0.006,0.4507,-0.0075,0.9723,0.0001
2024,down_2_early_1_3,50_55,885,0.2316,0.4102,0.3695,0.5028,0.3921,0.3921,3030,0.2554,-0.0238,0.4502,-0.04,0.3835,-0.014,0.5419,-0.0391,0.4145,-0.0224,0.4145,-0.0224
2024,down_1_early_1_3,55_60,879,0.2719,0.554,0.3857,0.5154,0.3982,0.9602,5340,0.3575,-0.0856,0.6305,-0.0765,0.3964,-0.0107,0.5468,-0.0314,0.4255,-0.0273,0.9541,0.0061
2025,down_5_plus_late_7_plus,55_60,870,0.0,0.0011,0.369,0.4287,0.3345,0.0034,5064,0.0057,-0.0057,0.0079,-0.0068,0.3474,0.0216,0.4017,0.027,0.3323,0.0022,0.0166,-0.0132
2024,down_3_late_7_plus,45_50,856,0.0397,0.0607,0.3318,0.3914,0.3446,0.1484,2744,0.0466,-0.0069,0.0678,-0.0071,0.3287,0.0031,0.3812,0.0102,0.32,0.0246,0.1396,0.0088
2024,down_2_f5_1_5,45_50,850,0.1918,0.3271,0.3906,0.5306,0.3871,0.3871,2806,0.2217,-0.0299,0.3553,-0.0282,0.3813,0.0093,0.5474,-0.0168,0.4195,-0.0324,0.4195,-0.0324
2023,down_2_late_7_plus,45_50,835,0.1174,0.1533,0.3725,0.4335,0.3449,0.3449,3321,0.1186,-0.0012,0.174,-0.0207,0.3342,0.0383,0.3927,0.0408,0.3219,0.023,0.3219,0.023
2024,down_2_f5_1_5,50_55,827,0.2116,0.3519,0.3519,0.5345,0.4268,0.4268,2806,0.2217,-0.0101,0.3553,-0.0034,0.3813,-0.0294,0.5474,-0.0129,0.4195,0.0073,0.4195,0.0073
2024,down_3_late_7_plus,50_55,824,0.0303,0.0534,0.318,0.3701,0.3204,0.1153,2744,0.0466,-0.0163,0.0678,-0.0144,0.3287,-0.0107,0.3812,-0.0111,0.32,0.0004,0.1396,-0.0243
2023,down_5_plus_late_7_plus,55_60,805,0.0,0.0,0.2944,0.3304,0.282,0.0087,4855,0.0054,-0.0054,0.0072,-0.0072,0.3574,-0.063,0.4122,-0.0818,0.3429,-0.0609,0.0185,-0.0098
2025,down_1_f5_1_5,45_50,805,0.3255,0.5516,0.3702,0.5006,0.4137,0.9677,3632,0.3648,-0.0393,0.5765,-0.0249,0.4025,-0.0323,0.5498,-0.0492,0.4452,-0.0315,0.9722,-0.0045
2025,down_2_late_7_plus,45_50,802,0.081,0.1796,0.308,0.3828,0.3017,0.3017,3185,0.1058,-0.0248,0.1799,-0.0003,0.3341,-0.0261,0.3962,-0.0134,0.3353,-0.0336,0.3353,-0.0336
2023,down_4_late_7_plus,50_55,791,0.0253,0.0379,0.2743,0.3312,0.2288,0.0721,2125,0.0245,0.0008,0.0381,-0.0002,0.3233,-0.049,0.3751,-0.0439,0.2894,-0.0606,0.0776,-0.0055
2025,down_4_late_7_plus,50_55,774,0.0258,0.0297,0.2687,0.3217,0.2597,0.0711,1928,0.0239,0.0019,0.0311,-0.0014,0.2822,-0.0135,0.333,-0.0113,0.2573,0.0024,0.0705,0.0006
2025,down_5_plus_f5_1_5,50_55,757,0.0264,0.0555,0.4359,0.5984,0.4808,0.0528,1789,0.0369,-0.0105,0.0598,-0.0043,0.4203,0.0156,0.5696,0.0288,0.4477,0.0331,0.0464,0.0064
2023,down_2_early_1_3,45_50,733,0.3029,0.4952,0.4202,0.5894,0.4816,0.4816,2917,0.2989,0.004,0.505,-0.0098,0.432,-0.0118,0.5883,0.0011,0.4758,0.0058,0.4758,0.0058
