season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_2_late_7_plus,high_4_5_5_5,1159,0.8809,0.1674,0.3296,0.3909,0.3218,0.3218,3321,0.8814,-0.0005,0.174,-0.0066,0.3342,-0.0046,0.3927,-0.0018,0.3219,-0.0001,0.3219,-0.0001
2025,up_5_plus_late_7_plus,very_high_5_5_plus,1139,0.9982,0.0018,0.381,0.4495,0.3565,0.0053,5064,0.9943,0.0039,0.0079,-0.0061,0.3474,0.0336,0.4017,0.0478,0.3323,0.0242,0.0166,-0.0113
2024,up_2_early_1_3,mid_3_5_4_5,1092,0.7473,0.4322,0.3535,0.5229,0.3938,0.3938,3030,0.7429,0.0044,0.4502,-0.018,0.3835,-0.03,0.5419,-0.019,0.4145,-0.0207,0.4145,-0.0207
2023,up_1_f5_1_5,mid_3_5_4_5,1091,0.6462,0.5894,0.4042,0.5655,0.4638,0.9808,3577,0.6472,-0.001,0.5801,0.0093,0.4082,-0.004,0.5639,0.0016,0.4507,0.0131,0.9723,0.0085
2025,up_1_early_1_3,low_lt_3_5,1087,0.5906,0.6596,0.4204,0.563,0.4591,0.9577,5522,0.6108,-0.0202,0.648,0.0116,0.404,0.0164,0.5594,0.0036,0.4591,0.0,0.958,-0.0003
2025,up_1_f5_1_5,high_4_5_5_5,1083,0.6279,0.5762,0.4054,0.5669,0.4681,0.9732,3632,0.6352,-0.0073,0.5765,-0.0003,0.4025,0.0029,0.5498,0.0171,0.4452,0.0229,0.9722,0.001
2024,up_1_f5_1_5,high_4_5_5_5,1073,0.685,0.5517,0.3719,0.5377,0.3896,0.9767,3704,0.6547,0.0303,0.5702,-0.0185,0.4023,-0.0304,0.5664,-0.0287,0.4355,-0.0459,0.9754,0.0013
2025,up_1_early_1_3,very_high_5_5_plus,1072,0.6474,0.6073,0.3881,0.5457,0.445,0.9552,5522,0.6108,0.0366,0.648,-0.0407,0.404,-0.0159,0.5594,-0.0137,0.4591,-0.0141,0.958,-0.0028
2024,up_2_late_7_plus,high_4_5_5_5,1070,0.8458,0.2093,0.3421,0.3991,0.3215,0.3215,3327,0.8744,-0.0286,0.1776,0.0317,0.3408,0.0013,0.3956,0.0035,0.3267,-0.0052,0.3267,-0.0052
2025,up_2_late_7_plus,mid_3_5_4_5,1055,0.855,0.2047,0.3213,0.3915,0.328,0.328,3185,0.8942,-0.0392,0.1799,0.0248,0.3341,-0.0128,0.3962,-0.0047,0.3353,-0.0073,0.3353,-0.0073
2024,up_2_late_7_plus,mid_3_5_4_5,1033,0.8674,0.2004,0.3591,0.4201,0.3553,0.3553,3327,0.8744,-0.007,0.1776,0.0228,0.3408,0.0183,0.3956,0.0245,0.3267,0.0286,0.3267,0.0286
2024,up_5_plus_late_7_plus,very_high_5_5_plus,1011,1.0,0.0089,0.3046,0.3333,0.27,0.0287,5053,0.9927,0.0073,0.0113,-0.0024,0.3275,-0.0229,0.3794,-0.0461,0.3137,-0.0437,0.0263,0.0024
