season,inning_bucket,offense_form_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,baseline_count,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,eventually_won_baseline_rate,eventually_won_lift
2023,late_7_plus,60_plus,387,0.3282,0.3979,0.385,5617,0.3025,0.0257,0.3714,0.0265,0.3231,0.0619
2023,middle_6,40_45,379,0.343,0.4855,0.3008,2003,0.365,-0.022,0.5417,-0.0562,0.3285,-0.0277
2025,f5_1_5,60_plus,369,0.3252,0.5041,0.393,3836,0.3691,-0.0439,0.5209,-0.0168,0.317,0.076
2024,early_1_3,lt_40,345,0.3942,0.5565,0.2812,5767,0.3648,0.0294,0.5225,0.034,0.3123,-0.0311
2023,late_7_plus,lt_40,333,0.3063,0.3544,0.2823,5617,0.3025,0.0038,0.3714,-0.017,0.3231,-0.0408
2024,middle_6,40_45,328,0.3384,0.4939,0.253,1972,0.3722,-0.0338,0.5203,-0.0264,0.3139,-0.0609
2025,middle_6,40_45,320,0.3156,0.4719,0.325,1930,0.329,-0.0134,0.5031,-0.0312,0.3212,0.0038
2023,middle_6,55_60,316,0.3038,0.5285,0.2943,2003,0.365,-0.0612,0.5417,-0.0132,0.3285,-0.0342
2023,early_1_3,lt_40,311,0.3151,0.4662,0.2637,5928,0.3974,-0.0823,0.5633,-0.0971,0.3311,-0.0674
2024,late_7_plus,lt_40,308,0.2597,0.3182,0.3019,5600,0.2929,-0.0332,0.3445,-0.0263,0.3243,-0.0224
2023,f5_1_5,60_plus,303,0.4224,0.6403,0.4389,3987,0.3742,0.0482,0.549,0.0913,0.3203,0.1186
2024,middle_6,55_60,294,0.4592,0.6259,0.3707,1972,0.3722,0.087,0.5203,0.1056,0.3139,0.0568
2025,early_1_3,lt_40,289,0.4291,0.5917,0.3114,5659,0.3492,0.0799,0.5211,0.0706,0.3211,-0.0097
2024,f5_1_5,60_plus,264,0.322,0.5114,0.4167,3973,0.3612,-0.0392,0.5286,-0.0172,0.3144,0.1023
2025,middle_6,55_60,263,0.308,0.5057,0.3764,1930,0.329,-0.021,0.5031,0.0026,0.3212,0.0552
2025,late_7_plus,lt_40,256,0.3086,0.3984,0.3047,5458,0.2834,0.0252,0.3474,0.051,0.3173,-0.0126
2023,f5_1_5,lt_40,216,0.3519,0.5231,0.3009,3987,0.3742,-0.0223,0.549,-0.0259,0.3203,-0.0194
2024,f5_1_5,lt_40,216,0.2917,0.4769,0.2407,3973,0.3612,-0.0695,0.5286,-0.0517,0.3144,-0.0737
2025,f5_1_5,lt_40,193,0.3627,0.4922,0.3523,3836,0.3691,-0.0064,0.5209,-0.0287,0.317,0.0353
2025,middle_6,60_plus,173,0.2543,0.4451,0.3179,1930,0.329,-0.0747,0.5031,-0.058,0.3212,-0.0033
2024,middle_6,60_plus,143,0.3916,0.5455,0.3846,1972,0.3722,0.0194,0.5203,0.0252,0.3139,0.0707
2023,middle_6,60_plus,142,0.3592,0.5282,0.4225,2003,0.365,-0.0058,0.5417,-0.0135,0.3285,0.094
2023,middle_6,lt_40,112,0.4554,0.6875,0.2768,2003,0.365,0.0904,0.5417,0.1458,0.3285,-0.0517
2024,middle_6,lt_40,108,0.3611,0.4537,0.3056,1972,0.3722,-0.0111,0.5203,-0.0666,0.3139,-0.0083
2025,middle_6,lt_40,103,0.2427,0.466,0.3107,1930,0.329,-0.0863,0.5031,-0.0371,0.3212,-0.0105
