season,state_bucket,opponent_team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_1_late_7_plus,45_50,1064,0.7284,0.3741,0.3853,0.4286,0.3741,0.9756,4144,0.7734,-0.045,0.3313,0.0428,0.3448,0.0405,0.3924,0.0362,0.3313,0.0428,0.9718,0.0038
2024,up_1_f5_1_5,50_55,1061,0.6475,0.5401,0.4166,0.5815,0.4185,0.9755,3704,0.6547,-0.0072,0.5702,-0.0301,0.4023,0.0143,0.5664,0.0151,0.4355,-0.017,0.9754,0.0001
2025,up_1_late_7_plus,45_50,1056,0.7888,0.3049,0.3021,0.3532,0.3049,0.9811,4136,0.7962,-0.0074,0.3039,0.001,0.3138,-0.0117,0.3656,-0.0124,0.3039,0.001,0.9768,0.0043
2023,up_2_early_1_3,50_55,1007,0.6544,0.5084,0.3992,0.5869,0.4846,0.4846,2917,0.7011,-0.0467,0.505,0.0034,0.432,-0.0328,0.5883,-0.0014,0.4758,0.0088,0.4758,0.0088
2024,up_2_late_7_plus,45_50,1003,0.8804,0.1705,0.3559,0.4217,0.3519,0.3519,3327,0.8744,0.006,0.1776,-0.0071,0.3408,0.0151,0.3956,0.0261,0.3267,0.0252,0.3267,0.0252
2024,up_2_late_7_plus,50_55,979,0.857,0.2022,0.3483,0.4035,0.3299,0.3299,3327,0.8744,-0.0174,0.1776,0.0246,0.3408,0.0075,0.3956,0.0079,0.3267,0.0032,0.3267,0.0032
2023,up_2_f5_1_5,50_55,977,0.7369,0.4166,0.4688,0.609,0.479,0.479,2652,0.7534,-0.0165,0.4163,0.0003,0.4427,0.0261,0.592,0.017,0.4729,0.0061,0.4729,0.0061
2024,up_2_early_1_3,45_50,951,0.7182,0.4911,0.3628,0.5289,0.4196,0.4196,3030,0.7429,-0.0247,0.4502,0.0409,0.3835,-0.0207,0.5419,-0.013,0.4145,0.0051,0.4145,0.0051
2024,up_2_f5_1_5,45_50,923,0.7671,0.3911,0.3944,0.5796,0.4442,0.4442,2806,0.7744,-0.0073,0.3553,0.0358,0.3813,0.0131,0.5474,0.0322,0.4195,0.0247,0.4195,0.0247
2025,up_3_late_7_plus,50_55,898,0.9577,0.0746,0.3129,0.3786,0.284,0.1214,2484,0.9569,0.0008,0.0761,-0.0015,0.318,-0.0051,0.3732,0.0054,0.3019,-0.0179,0.1514,-0.03
