blocked_reason,runs_needed_team_bucket,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
wide_spread_hard_block: spread=48c > 12c,need_4,3,3,0,3,0.0,-68.667,-206.0,206.0,-1.0,-18.667,-18.667,-18.667,-18.667,0.0,0.0,-18.667,-21.333,50.333,34.033,4.0,-3.0,48.0
wide_spread_hard_block: spread=53c > 12c,need_6,3,3,0,3,0.0,-62.667,-188.0,188.0,-1.0,-12.667,-12.667,-12.667,-12.667,0.0,0.0,-12.667,-14.833,48.667,34.8,6.0,0.667,53.0
wide_spread_hard_block: spread=16c > 12c,need_5,3,3,0,3,0.0,-29.667,-89.0,89.0,-1.0,20.333,20.333,20.333,20.333,1.0,1.0,20.333,9.0,50.333,35.3,5.0,-2.0,16.0
wide_spread_hard_block: spread=37c > 12c,need_3,3,3,1,2,0.3333,-32.0,-96.0,196.0,-0.4898,-12.833,-15.333,-24.5,-24.5,0.3333,0.0,-12.833,-15.333,50.333,35.3,3.0,-4.333,37.0
wide_spread_hard_block: spread=41c > 12c,need_5,3,3,0,3,0.0,-51.333,-154.0,154.0,-1.0,-3.5,-1.333,-1.333,-3.5,0.3333,0.3333,-1.333,-3.5,48.333,34.7,5.0,-3.333,41.0
team_lag_insufficient_baseball_support,need_3,3,3,0,3,0.0,-34.0,-102.0,102.0,-1.0,16.0,17.0,17.0,23.0,1.0,1.0,16.0,16.0,25.0,43.0,3.0,-0.333,5.0
wide_spread_hard_block: spread=28c > 12c,need_3,3,3,1,2,0.3333,-20.333,-61.0,161.0,-0.3789,-3.667,-3.667,-1.0,-1.0,0.3333,0.5,-11.5,-11.5,50.333,35.333,3.0,-3.333,28.0
wide_spread_hard_block: spread=52c > 12c,need_4,3,3,0,3,0.0,-63.667,-191.0,191.0,-1.0,-13.667,-13.667,-13.667,-13.667,0.0,0.0,-13.667,-22.0,53.0,36.1,4.0,-6.0,52.0
wide_spread_hard_block: spread=19c > 12c,need_7_plus,2,2,0,2,0.0,-25.5,-51.0,51.0,-1.0,4.25,4.25,24.5,24.0,0.5,1.0,4.75,4.25,37.5,29.2,8.0,5.0,19.0
wide_spread_hard_block: spread=14c > 12c,need_7_plus,2,2,0,2,0.0,-21.0,-42.0,42.0,-1.0,29.0,29.0,29.0,29.0,1.0,1.0,29.0,12.25,50.0,35.2,7.0,4.0,14.0
wide_spread_hard_block: spread=50c > 12c,need_2,2,2,2,0,1.0,12.5,25.0,175.0,0.1429,-37.5,-37.5,-37.5,-37.5,0.0,0.0,-23.25,-37.5,52.5,36.0,2.0,-1.5,50.0
wide_spread_hard_block: spread=36c > 12c,need_2,2,2,2,0,1.0,24.0,48.0,152.0,0.3158,-26.0,-26.0,-26.0,-26.0,0.0,0.0,2.5,-26.0,50.0,35.2,2.0,-3.0,36.0
wide_spread_hard_block: spread=50c > 12c,need_6,2,2,0,2,0.0,-58.5,-117.0,117.0,-1.0,-8.5,-8.5,-8.5,-8.5,0.0,0.0,-8.5,-24.5,49.0,34.9,6.0,2.5,50.0
wide_spread_hard_block: spread=23c > 12c,need_2,2,2,1,1,0.5,-18.0,-36.0,136.0,-0.2647,-18.0,-18.0,-18.0,-18.0,0.0,0.0,-10.75,-18.0,48.0,34.6,2.0,-6.0,23.0
wide_spread_hard_block: spread=24c > 12c,need_2,2,2,2,0,1.0,33.0,66.0,134.0,0.4925,-17.0,-24.0,-24.0,-24.0,0.0,0.0,-17.0,-17.0,50.0,35.2,2.0,-4.5,24.0
wide_spread_hard_block: spread=54c > 12c,need_4,2,2,0,2,0.0,-63.5,-127.0,127.0,-1.0,-13.5,-13.5,-13.5,-13.5,0.0,0.0,-13.5,-14.75,50.0,35.2,4.0,-0.5,54.0
wide_spread_hard_block: spread=40c > 12c,need_7_plus,2,2,0,2,0.0,-48.0,-96.0,96.0,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,48.0,32.7,7.5,3.5,40.0
wide_spread_hard_block: spread=43c > 12c,need_3,2,2,2,0,1.0,14.0,28.0,172.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,-5.5,-36.0,48.0,34.6,3.0,-1.0,43.0
