blocked_reason,runs_needed_team_bucket,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
wide_spread_hard_block: spread=20c > 12c,need_6,1,1,0,1,0.0,-27.0,-27.0,27.0,-1.0,23.0,23.0,23.0,23.0,1.0,1.0,23.0,23.0,25.0,23.2,6.0,3.0,20.0
wide_spread_hard_block: spread=34c > 12c,need_2,1,1,1,0,1.0,30.0,30.0,70.0,0.4286,-20.0,-20.0,-20.0,-20.0,0.0,0.0,-20.0,-20.0,50.0,35.2,2.0,-6.0,34.0
wide_spread_hard_block: spread=79c > 12c,need_6,1,1,0,1,0.0,-95.0,-95.0,95.0,-1.0,-45.0,-45.0,-45.0,-45.0,0.0,0.0,-45.0,-45.0,48.0,34.6,6.0,2.0,79.0
missing,need_5,1,1,0,1,0.0,-15.0,-15.0,15.0,-1.0,35.0,35.0,,,1.0,,35.0,35.0,46.0,53.8,5.0,-2.0,5.0
wide_spread_hard_block: spread=15c > 12c,need_2,1,1,1,0,1.0,49.0,49.0,51.0,0.9608,-1.0,-1.0,,,0.0,,-1.0,-1.0,50.0,35.2,2.0,-6.0,15.0
wide_spread_hard_block: spread=60c > 12c,need_7_plus,1,1,0,1,0.0,-64.0,-64.0,64.0,-1.0,-14.0,-14.0,,,0.0,,-14.0,-14.0,25.0,23.2,8.0,5.0,60.0
wide_spread_hard_block: spread=45c > 12c,need_3,1,1,0,1,0.0,-52.0,-52.0,52.0,-1.0,,,,,,,-2.0,-2.0,50.0,35.2,3.0,-5.0,45.0
wide_spread_hard_block: spread=14c > 12c,need_5,1,1,0,1,0.0,-24.0,-24.0,24.0,-1.0,26.0,26.0,26.0,26.0,1.0,1.0,,,46.0,34.0,5.0,-4.0,14.0
wide_spread_hard_block: spread=32c > 12c,need_3,1,1,0,1,0.0,-43.0,-43.0,43.0,-1.0,7.0,7.0,7.0,7.0,1.0,1.0,,,50.0,35.2,3.0,-5.0,32.0
wide_spread_hard_block: spread=34c > 12c,need_5,1,1,0,1,0.0,-44.0,-44.0,44.0,-1.0,6.0,6.0,6.0,6.0,1.0,1.0,,,46.0,34.0,5.0,-4.0,34.0
wide_spread_hard_block: spread=57c > 12c,need_2,1,1,1,0,1.0,7.0,7.0,93.0,0.0753,-43.0,-43.0,-43.0,-43.0,0.0,0.0,,,53.0,36.1,2.0,0.0,57.0
wide_spread_hard_block: spread=45c > 12c,need_4,1,1,0,1,0.0,-56.0,-56.0,56.0,-1.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,,,46.0,34.0,4.0,-6.0,45.0
wide_spread_hard_block: spread=24c > 12c,need_5,1,1,0,1,0.0,-34.0,-34.0,34.0,-1.0,16.0,16.0,16.0,16.0,1.0,1.0,,,46.0,34.0,5.0,-6.0,24.0
wide_spread_hard_block: spread=47c > 12c,need_4,1,1,0,1,0.0,-62.0,-62.0,62.0,-1.0,-12.0,-12.0,-12.0,-12.0,0.0,0.0,,,46.0,34.0,4.0,-7.0,47.0
wide_spread_hard_block: spread=28c > 12c,need_2,1,1,0,1,0.0,-72.0,-72.0,72.0,-1.0,-22.0,-22.0,-22.0,-22.0,0.0,0.0,,,46.0,34.0,2.0,-9.0,28.0
wide_spread_hard_block: spread=34c > 12c,need_4,1,1,0,1,0.0,-46.0,-46.0,46.0,-1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,46.0,34.0,4.0,-7.0,34.0
team_lag_insufficient_baseball_support,need_7_plus,1,1,0,1,0.0,-6.0,-6.0,6.0,-1.0,44.0,44.0,44.0,44.0,1.0,1.0,44.0,44.0,25.0,50.5,7.0,3.0,1.0
team_lag_insufficient_baseball_support,need_6,1,1,0,1,0.0,-8.0,-8.0,8.0,-1.0,42.0,42.0,42.0,42.0,1.0,1.0,42.0,42.0,25.0,50.5,6.0,2.0,1.0
wide_spread_hard_block: spread=27c > 12c,need_2,1,1,0,1,0.0,-64.0,-64.0,64.0,-1.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,0.5,-14.0,46.0,34.0,2.0,-9.0,27.0
wide_spread_hard_block: spread=29c > 12c,need_6,1,1,0,1,0.0,-33.0,-33.0,33.0,-1.0,17.0,-16.5,17.0,17.0,1.0,1.0,17.0,-16.5,46.0,34.0,6.0,-5.0,29.0
wide_spread_hard_block: spread=60c > 12c,need_6,1,1,0,1,0.0,-69.0,-69.0,69.0,-1.0,-19.0,-19.0,-19.0,-19.0,0.0,0.0,-19.0,-35.5,48.0,34.6,6.0,1.0,60.0
wide_spread_hard_block: spread=44c > 12c,need_7_plus,1,1,0,1,0.0,-46.0,-46.0,46.0,-1.0,-35.5,4.0,4.0,4.0,0.0,1.0,4.0,-35.5,46.0,34.0,7.0,-4.0,44.0
wide_spread_hard_block: spread=63c > 12c,need_3,1,1,0,1,0.0,-64.0,-64.0,64.0,-1.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,4.5,-14.0,50.0,35.2,3.0,1.0,63.0
wide_spread_hard_block: spread=13c > 12c,need_2,1,1,0,1,0.0,-57.0,-57.0,57.0,-1.0,-7.0,-7.0,-7.0,-7.0,0.0,0.0,7.5,-7.0,46.0,34.0,2.0,-9.0,13.0
wide_spread_hard_block: spread=17c > 12c,need_6,1,1,0,1,0.0,-18.0,-18.0,18.0,-1.0,32.0,32.0,-7.5,32.0,1.0,0.0,32.0,-7.5,46.0,34.0,6.0,-5.0,17.0
wide_spread_hard_block: spread=15c > 12c,need_3,1,1,0,1,0.0,-37.0,-37.0,37.0,-1.0,13.0,13.0,13.0,13.0,1.0,1.0,13.0,6.5,48.0,34.6,3.0,-2.0,15.0
wide_spread_hard_block: spread=22c > 12c,need_3,1,1,0,1,0.0,-37.0,-37.0,37.0,-1.0,13.0,13.0,13.0,13.0,1.0,1.0,13.0,6.5,48.0,34.6,3.0,-2.0,22.0
wide_spread_hard_block: spread=23c > 12c,need_5,1,1,0,1,0.0,-34.0,-34.0,34.0,-1.0,16.0,16.0,9.5,16.0,1.0,1.0,16.0,9.5,53.0,36.1,5.0,-4.0,23.0
wide_spread_hard_block: spread=48c > 12c,need_5,1,1,0,1,0.0,-58.0,-58.0,58.0,-1.0,-8.0,-14.5,-8.0,-8.0,0.0,0.0,-8.0,-14.5,53.0,36.1,5.0,-5.0,48.0
wide_spread_hard_block: spread=52c > 12c,need_6,1,1,0,1,0.0,-64.0,-64.0,64.0,-1.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,-14.0,-14.0,53.0,36.1,6.0,-4.0,52.0
wide_spread_hard_block: spread=39c > 12c,need_4,1,1,0,1,0.0,-64.0,-64.0,64.0,-1.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,-14.0,-14.0,53.0,36.1,4.0,-6.0,39.0
wide_spread_hard_block: spread=44c > 12c,need_5,1,1,0,1,0.0,-55.0,-55.0,55.0,-1.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,53.0,36.1,5.0,-5.0,44.0
wide_spread_hard_block: spread=13c > 12c,need_4,1,1,0,1,0.0,-31.0,-31.0,31.0,-1.0,19.0,12.5,19.0,19.0,1.0,1.0,19.0,12.5,53.0,36.1,4.0,-6.0,13.0
wide_spread_hard_block: spread=42c > 12c,need_4,1,1,0,1,0.0,-63.0,-63.0,63.0,-1.0,-13.0,-13.0,-13.0,-13.0,0.0,0.0,-13.0,-19.5,53.0,36.1,4.0,-6.0,42.0
wide_spread_hard_block: spread=38c > 12c,need_3,1,1,0,1,0.0,-53.0,-53.0,53.0,-1.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,-3.0,-9.5,53.0,36.1,3.0,-7.0,38.0
wide_spread_hard_block: spread=29c > 12c,need_2,1,1,0,1,0.0,-58.0,-58.0,58.0,-1.0,-8.0,-8.0,-8.0,-8.0,0.0,0.0,-8.0,-8.0,53.0,36.1,2.0,-8.0,29.0
wide_spread_hard_block: spread=26c > 12c,need_4,1,1,0,1,0.0,-40.0,-40.0,40.0,-1.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,-8.5,53.0,36.1,4.0,-6.0,26.0
wide_spread_hard_block: spread=51c > 12c,need_4,1,1,0,1,0.0,-63.0,-63.0,63.0,-1.0,-13.0,-13.0,-13.0,-13.0,0.0,0.0,-13.0,-31.5,53.0,36.1,4.0,-6.0,51.0
wide_spread_hard_block: spread=19c > 12c,need_1,1,1,0,1,0.0,-80.0,-80.0,80.0,-1.0,-30.0,-30.0,-30.0,-30.0,0.0,0.0,-8.5,-30.0,53.0,36.1,1.0,-9.0,19.0
wide_spread_hard_block: spread=24c > 12c,need_4,1,1,0,1,0.0,-62.0,-62.0,62.0,-1.0,-12.0,-12.0,-12.0,-12.0,0.0,0.0,-4.0,-12.0,48.0,34.6,4.0,2.0,24.0
wide_spread_hard_block: spread=22c > 12c,need_4,1,1,1,0,1.0,33.0,33.0,67.0,0.4925,-17.0,-17.0,-17.0,-17.0,0.0,0.0,-17.0,-17.0,55.0,36.8,4.0,0.0,22.0
wide_spread_hard_block: spread=20c > 12c,need_2,1,1,0,1,0.0,-75.0,-75.0,75.0,-1.0,-25.0,-25.0,-25.0,-25.0,0.0,0.0,-25.0,-25.0,48.0,34.6,2.0,0.0,20.0
wide_spread_hard_block: spread=44c > 12c,need_2,1,1,0,1,0.0,-80.0,-80.0,80.0,-1.0,-30.0,-30.0,-30.0,-30.0,0.0,0.0,5.5,-30.0,48.0,34.6,2.0,0.0,44.0
wide_spread_hard_block: spread=40c > 12c,need_5,1,1,1,0,1.0,36.0,36.0,64.0,0.5625,-14.0,-14.0,-14.0,-14.0,0.0,0.0,-14.0,-14.0,55.0,36.8,5.0,1.0,40.0
wide_spread_hard_block: spread=27c > 12c,need_3,1,1,0,1,0.0,-63.0,-63.0,63.0,-1.0,-13.0,-13.0,-13.0,-13.0,0.0,0.0,9.0,-13.0,48.0,34.6,3.0,0.0,27.0
wide_spread_hard_block: spread=17c > 12c,need_5,1,1,1,0,1.0,63.0,63.0,37.0,1.7027,13.0,13.0,13.0,13.0,1.0,1.0,13.0,6.5,55.0,36.8,5.0,1.0,17.0
wide_spread_hard_block: spread=14c > 12c,need_2,1,1,1,0,1.0,28.0,28.0,72.0,0.3889,-22.0,-22.0,-22.0,-22.0,0.0,0.0,6.0,-22.0,55.0,36.8,2.0,-2.0,14.0
wide_spread_hard_block: spread=21c > 12c,need_3,1,1,1,0,1.0,36.0,36.0,64.0,0.5625,-14.0,-14.0,-14.0,-14.0,0.0,0.0,-14.0,-14.0,55.0,36.8,3.0,-1.0,21.0
wide_spread_hard_block: spread=39c > 12c,need_5,1,1,0,1,0.0,-48.0,-48.0,48.0,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,48.0,34.6,5.0,0.0,39.0
wide_spread_hard_block: spread=19c > 12c,need_5,1,1,0,1,0.0,-28.0,-28.0,28.0,-1.0,22.0,22.0,22.0,22.0,1.0,1.0,22.0,22.0,48.0,34.6,5.0,0.0,19.0
