deficit_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,14802,0.3151,0.5204,0.3961,0.3854,0.5139,0.4061,0.9681,-1.081,0.111
down_2,10454,0.1976,0.3224,0.2452,0.3758,0.4997,0.3929,0.3929,-2.161,1.182
down_5_plus,9181,0.0266,0.0367,0.032,0.3522,0.4457,0.3665,0.0332,-6.589,5.883
down_3,7329,0.1034,0.1688,0.1258,0.3729,0.4803,0.3865,0.2026,-3.238,2.231
down_4,4887,0.0622,0.1025,0.0771,0.3665,0.4717,0.3878,0.1123,-4.128,3.229
