l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
mid_3_5_4_5,14518,0.1546,0.2599,0.1928,0.3597,0.4754,0.3809,0.4311,-3.33,2.313
high_4_5_5_5,13260,0.1842,0.3049,0.2325,0.3762,0.4933,0.3992,0.468,-3.041,2.104
low_lt_3_5,8833,0.1669,0.2709,0.2083,0.366,0.4766,0.3831,0.4621,-3.032,2.165
very_high_5_5_plus,8031,0.2087,0.3203,0.251,0.3742,0.4912,0.4009,0.4813,-2.939,2.048
missing,263,0.3042,0.4068,0.3498,0.4791,0.6198,0.4905,0.6198,-2.084,1.278
