offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
45_50,13470,0.1761,0.2753,0.2162,0.3847,0.5034,0.3965,0.4336,-3.273,2.289
50_55,11945,0.1907,0.3113,0.2451,0.3891,0.5057,0.4061,0.4758,-2.876,2.013
40_45,8170,0.1709,0.2935,0.2198,0.3938,0.5114,0.4089,0.4483,-3.159,2.134
55_60,6356,0.1986,0.2983,0.2324,0.385,0.5017,0.4058,0.4644,-2.868,2.059
60_plus,3226,0.2092,0.3292,0.2567,0.421,0.5406,0.4377,0.5236,-2.454,1.694
lt_40,2535,0.1779,0.3014,0.2394,0.3621,0.4686,0.3811,0.4422,-3.548,2.398
