team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
50_55,15729,0.201,0.3151,0.2415,0.3956,0.5187,0.4222,0.4734,-2.718,1.972
45_50,11387,0.1885,0.302,0.2347,0.3816,0.4933,0.3941,0.4546,-3.123,2.13
55_60,5553,0.2067,0.3114,0.26,0.4007,0.5186,0.4104,0.4646,-2.871,2.068
40_45,5129,0.1568,0.2574,0.2086,0.3913,0.5067,0.388,0.4295,-3.602,2.488
lt_40,4988,0.1327,0.237,0.1712,0.3675,0.4794,0.3777,0.4136,-3.746,2.438
60_plus,2916,0.1759,0.3155,0.2435,0.3899,0.5058,0.4143,0.5072,-2.733,1.806
