deficit_bucket,inning_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,middle_4_6,mid_3_5_4_5,1867,0.2994,0.5137,0.3851,0.3739,0.5362,0.4092,0.977,-1.273,0.119
down_5_plus,late_7_plus,mid_3_5_4_5,1774,0.0051,0.0085,0.0062,0.3303,0.3867,0.3112,0.0186,-6.924,6.405
down_1,early_1_3,mid_3_5_4_5,1766,0.3126,0.5985,0.4479,0.3732,0.5238,0.3964,0.9547,-1.429,0.142
down_1,early_1_3,high_4_5_5_5,1589,0.3537,0.6023,0.4726,0.3751,0.5186,0.3933,0.9427,-1.461,0.115
down_5_plus,late_7_plus,high_4_5_5_5,1547,0.009,0.0123,0.0123,0.3284,0.3743,0.3264,0.0233,-6.641,6.132
down_1,middle_4_6,high_4_5_5_5,1546,0.3797,0.586,0.4702,0.3887,0.5783,0.4547,0.978,-0.836,-0.056
down_1,late_7_plus,mid_3_5_4_5,1515,0.2165,0.3063,0.2363,0.3182,0.3644,0.3063,0.9723,-0.953,0.382
down_2,middle_4_6,mid_3_5_4_5,1411,0.1906,0.3111,0.2431,0.4075,0.5485,0.4295,0.4295,-2.203,1.12
down_2,middle_4_6,high_4_5_5_5,1242,0.2246,0.3639,0.2818,0.4098,0.5588,0.4372,0.4372,-2.157,1.052
down_5_plus,middle_4_6,mid_3_5_4_5,1210,0.038,0.0537,0.0479,0.3727,0.5223,0.4149,0.0397,-6.316,5.385
down_1,late_7_plus,high_4_5_5_5,1190,0.2311,0.3521,0.263,0.3706,0.4261,0.3521,0.9731,-0.885,0.282
down_2,late_7_plus,mid_3_5_4_5,1161,0.0922,0.137,0.1025,0.3075,0.3557,0.2989,0.2989,-2.028,1.479
down_1,middle_4_6,low_lt_3_5,1089,0.3306,0.5546,0.3967,0.4288,0.5666,0.4628,0.9816,-1.087,-0.029
down_1,early_1_3,low_lt_3_5,1043,0.3912,0.6731,0.5081,0.3988,0.5647,0.4487,0.9693,-1.084,0.026
down_2,early_1_3,mid_3_5_4_5,1008,0.2341,0.4127,0.3185,0.3681,0.5288,0.4077,0.4077,-2.424,1.16
down_5_plus,middle_4_6,high_4_5_5_5,995,0.0271,0.0392,0.0322,0.3779,0.5136,0.409,0.0452,-6.704,5.696
down_3,middle_4_6,mid_3_5_4_5,966,0.1087,0.2008,0.148,0.4079,0.5238,0.4244,0.2464,-3.284,2.076
down_3,late_7_plus,mid_3_5_4_5,963,0.0488,0.0717,0.055,0.3157,0.3676,0.3032,0.1319,-2.975,2.484
down_2,late_7_plus,high_4_5_5_5,959,0.1522,0.195,0.17,0.3462,0.4077,0.3264,0.3264,-1.843,1.279
down_3,middle_4_6,high_4_5_5_5,952,0.1103,0.1796,0.1303,0.3866,0.5053,0.4034,0.2143,-3.57,2.149
down_1,early_1_3,very_high_5_5_plus,921,0.4093,0.6938,0.5451,0.4756,0.62,0.5103,0.9566,-0.737,-0.125
down_2,early_1_3,high_4_5_5_5,921,0.2465,0.4571,0.3388,0.3453,0.5201,0.3887,0.3887,-2.4,1.098
down_5_plus,late_7_plus,low_lt_3_5,896,0.0112,0.0156,0.0112,0.3136,0.385,0.3013,0.0324,-6.654,6.157
down_2,middle_4_6,low_lt_3_5,804,0.2164,0.3458,0.26,0.357,0.5199,0.4092,0.4092,-2.224,1.141
down_5_plus,late_7_plus,very_high_5_5_plus,799,0.005,0.0113,0.01,0.3342,0.363,0.3141,0.0438,-6.778,6.15
down_1,middle_4_6,very_high_5_5_plus,784,0.3469,0.5663,0.4158,0.4349,0.602,0.4452,0.9732,-1.12,-0.023
down_3,late_7_plus,high_4_5_5_5,772,0.0453,0.0544,0.0492,0.3135,0.3718,0.3199,0.1308,-3.074,2.44
