deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_3,middle_4_6,55_60,384,0.1094,0.1875,0.1328,0.3698,0.5,0.4193,0.2578,-3.409,1.982
down_5_plus,middle_4_6,lt_40,353,0.0765,0.0963,0.0793,0.4334,0.5609,0.4674,0.0368,-6.805,5.592
down_3,late_7_plus,55_60,352,0.0256,0.071,0.0256,0.2358,0.2841,0.2188,0.1165,-3.423,2.574
down_3,middle_4_6,40_45,352,0.108,0.1648,0.1364,0.3608,0.5142,0.4233,0.2017,-3.528,2.185
down_3,late_7_plus,40_45,350,0.0171,0.0486,0.0314,0.3686,0.4143,0.3429,0.16,-3.183,2.46
down_1,middle_4_6,lt_40,338,0.2456,0.4941,0.3373,0.4142,0.5444,0.4172,0.9734,-1.509,0.172
down_2,middle_4_6,lt_40,327,0.2018,0.3058,0.2477,0.3945,0.5382,0.4128,0.4128,-2.343,1.076
down_2,early_1_3,40_45,316,0.2184,0.3892,0.3101,0.3703,0.5253,0.4051,0.4051,-2.797,1.278
down_4,late_7_plus,55_60,308,0.0162,0.0162,0.0162,0.2857,0.3312,0.263,0.0552,-4.143,3.588
down_1,late_7_plus,lt_40,283,0.1802,0.2756,0.1979,0.311,0.4028,0.2756,0.9788,-1.007,0.435
down_5_plus,early_1_3,45_50,271,0.0664,0.0959,0.0701,0.3063,0.5203,0.3838,0.0406,-6.771,5.52
down_4,late_7_plus,40_45,265,0.0113,0.0189,0.0189,0.3094,0.3547,0.3057,0.1094,-3.94,3.426
down_4,middle_4_6,55_60,260,0.0846,0.1423,0.0846,0.4346,0.5808,0.5115,0.15,-3.846,2.958
down_3,early_1_3,55_60,256,0.2344,0.3594,0.3086,0.3984,0.5156,0.418,0.2266,-2.422,2.125
down_2,early_1_3,lt_40,252,0.2183,0.3929,0.2778,0.3968,0.5198,0.4008,0.4008,-3.063,1.246
