offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
45_50,13712,0.1526,0.2596,0.1965,0.3605,0.4722,0.3784,0.4446,-3.117,2.22
50_55,12523,0.1789,0.2868,0.2244,0.3684,0.4861,0.3893,0.4413,-3.065,2.134
40_45,8854,0.1701,0.2804,0.2028,0.3676,0.4815,0.3817,0.4459,-3.074,2.133
55_60,5928,0.166,0.2795,0.2045,0.4044,0.5236,0.4081,0.4276,-3.19,2.199
60_plus,2991,0.235,0.3557,0.2862,0.4025,0.5189,0.4336,0.4771,-2.613,1.843
lt_40,2645,0.1928,0.2998,0.2461,0.3698,0.4786,0.3977,0.4696,-2.992,2.099
