deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_4,middle_4_6,50_55,425,0.0965,0.1741,0.1247,0.4165,0.5529,0.4729,0.1694,-3.826,2.819
down_4,late_7_plus,40_45,416,0.0288,0.0457,0.0385,0.3173,0.3774,0.2524,0.0817,-4.038,3.474
down_1,early_1_3,60_plus,415,0.4675,0.6675,0.5735,0.453,0.5928,0.4675,0.9783,-0.272,-0.154
down_3,middle_4_6,55_60,406,0.2118,0.2709,0.2217,0.3768,0.5493,0.4335,0.2537,-2.825,2.049
down_2,early_1_3,55_60,397,0.3073,0.4509,0.3753,0.4055,0.539,0.4055,0.4055,-2.053,1.103
down_4,middle_4_6,40_45,339,0.1062,0.1445,0.1121,0.4425,0.5929,0.4838,0.1475,-4.372,2.914
down_3,late_7_plus,55_60,336,0.0923,0.1458,0.0982,0.3958,0.4643,0.381,0.2054,-2.613,2.193
down_2,middle_4_6,60_plus,320,0.2687,0.4344,0.3219,0.5625,0.7031,0.6031,0.6031,-1.466,0.472
down_5_plus,late_7_plus,lt_40,318,0.0126,0.0126,0.0126,0.3585,0.3836,0.3585,0.0126,-7.84,7.085
down_5_plus,early_1_3,45_50,310,0.0516,0.1032,0.1032,0.4645,0.6581,0.5065,0.0323,-6.926,5.161
down_1,late_7_plus,60_plus,298,0.1846,0.3255,0.198,0.3322,0.3725,0.3255,0.9765,-0.762,0.282
down_4,early_1_3,45_50,294,0.1429,0.2551,0.1803,0.5238,0.6531,0.5204,0.1735,-4.463,2.867
down_1,middle_4_6,lt_40,290,0.3759,0.6345,0.5276,0.4138,0.6207,0.4931,0.9793,-0.859,-0.097
down_4,middle_4_6,55_60,283,0.0777,0.1095,0.0777,0.3675,0.5088,0.3569,0.1166,-4.555,3.223
down_5_plus,late_7_plus,60_plus,282,0.0,0.0,0.0,0.305,0.3511,0.2624,0.0,-7.252,6.546
down_1,early_1_3,lt_40,281,0.3523,0.6299,0.5018,0.3381,0.4413,0.3452,0.9573,-1.32,0.221
down_4,late_7_plus,55_60,280,0.0071,0.0214,0.0071,0.3143,0.3964,0.3,0.0393,-3.918,3.536
down_5_plus,early_1_3,50_55,264,0.0947,0.1326,0.1098,0.447,0.6364,0.4508,0.0871,-6.731,5.386
down_3,early_1_3,40_45,261,0.2069,0.3257,0.2605,0.387,0.6207,0.4061,0.2107,-2.49,2.161
down_2,early_1_3,60_plus,235,0.3489,0.5787,0.4553,0.5191,0.7106,0.5957,0.5957,-1.0,0.498
down_3,early_1_3,55_60,230,0.2391,0.3478,0.2478,0.4478,0.5391,0.4348,0.3,-2.4,2.0
down_1,late_7_plus,lt_40,228,0.2018,0.3904,0.2939,0.4254,0.4781,0.3904,0.9693,-0.961,0.206
down_4,early_1_3,50_55,226,0.1858,0.2478,0.1991,0.3761,0.5265,0.3894,0.208,-3.836,2.938
down_5_plus,middle_4_6,lt_40,223,0.009,0.0135,0.0135,0.296,0.4933,0.3274,0.0404,-8.036,5.991
down_3,late_7_plus,60_plus,208,0.0385,0.0529,0.0433,0.3365,0.375,0.3173,0.1538,-2.827,2.466
