deficit_bucket,inning_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_5_plus,late_7_plus,mid_3_5_4_5,1728,0.0127,0.0127,0.0127,0.3617,0.4184,0.3524,0.026,-6.929,6.343
down_1,early_1_3,mid_3_5_4_5,1638,0.3681,0.6136,0.4927,0.3919,0.5568,0.4243,0.9554,-1.438,0.067
down_1,middle_4_6,mid_3_5_4_5,1635,0.3456,0.5713,0.4336,0.4067,0.5639,0.4679,0.9743,-1.073,0.049
down_1,early_1_3,high_4_5_5_5,1615,0.3895,0.6502,0.5313,0.4217,0.5703,0.4514,0.9585,-1.152,-0.032
down_1,middle_4_6,high_4_5_5_5,1611,0.3557,0.5338,0.4295,0.3973,0.5419,0.4252,0.9727,-0.952,0.0
down_5_plus,late_7_plus,high_4_5_5_5,1415,0.0,0.0064,0.0021,0.3682,0.4226,0.342,0.0177,-7.107,6.498
down_1,late_7_plus,mid_3_5_4_5,1314,0.2275,0.3455,0.2679,0.3584,0.4072,0.3455,0.9718,-0.87,0.311
down_1,late_7_plus,high_4_5_5_5,1307,0.2303,0.2999,0.2502,0.3152,0.3665,0.2999,0.9663,-1.013,0.366
down_2,middle_4_6,mid_3_5_4_5,1287,0.1981,0.3442,0.2533,0.3963,0.5587,0.4429,0.4429,-2.424,1.085
down_2,middle_4_6,high_4_5_5_5,1230,0.2455,0.4041,0.3081,0.4301,0.578,0.4528,0.4528,-1.801,0.835
down_5_plus,middle_4_6,mid_3_5_4_5,1177,0.0331,0.0595,0.0467,0.3925,0.5684,0.4384,0.0467,-6.723,5.686
down_1,early_1_3,very_high_5_5_plus,1165,0.4197,0.6498,0.5167,0.4369,0.5768,0.4524,0.9605,-0.903,-0.015
down_1,middle_4_6,very_high_5_5_plus,1128,0.3493,0.5576,0.4211,0.4113,0.57,0.4548,0.9699,-0.872,-0.126
down_2,late_7_plus,high_4_5_5_5,1095,0.0986,0.1553,0.1059,0.3132,0.3763,0.3132,0.3132,-1.963,1.417
down_2,late_7_plus,mid_3_5_4_5,1040,0.124,0.1827,0.1413,0.3529,0.4058,0.3269,0.3269,-1.893,1.345
down_2,early_1_3,mid_3_5_4_5,961,0.2986,0.4755,0.3809,0.4183,0.5775,0.4631,0.4631,-2.281,0.964
down_5_plus,middle_4_6,high_4_5_5_5,926,0.0356,0.0616,0.0432,0.4287,0.608,0.4698,0.0648,-6.83,5.427
down_3,middle_4_6,mid_3_5_4_5,910,0.1473,0.2429,0.1659,0.3846,0.5297,0.4121,0.2462,-3.243,2.056
down_5_plus,late_7_plus,very_high_5_5_plus,898,0.0,0.0,0.0,0.3396,0.402,0.3374,0.0067,-7.186,6.559
down_3,middle_4_6,high_4_5_5_5,892,0.1581,0.2567,0.2018,0.4361,0.5874,0.4933,0.2836,-2.71,1.918
down_1,late_7_plus,very_high_5_5_plus,858,0.2075,0.3228,0.2389,0.3147,0.3601,0.3228,0.9779,-0.833,0.322
down_2,early_1_3,high_4_5_5_5,849,0.3345,0.5559,0.4405,0.4664,0.6219,0.4982,0.4982,-1.558,0.942
down_3,late_7_plus,mid_3_5_4_5,831,0.071,0.1119,0.0782,0.3297,0.3851,0.3141,0.1733,-2.921,2.337
down_1,early_1_3,low_lt_3_5,818,0.3484,0.6394,0.4976,0.4095,0.5416,0.4242,0.9597,-1.516,0.094
down_1,middle_4_6,low_lt_3_5,817,0.3219,0.5789,0.4565,0.3941,0.5728,0.4504,0.9767,-1.337,0.048
down_2,middle_4_6,very_high_5_5_plus,792,0.2702,0.4104,0.322,0.4747,0.6187,0.5227,0.5227,-1.586,0.673
down_3,late_7_plus,high_4_5_5_5,790,0.0342,0.057,0.0456,0.3215,0.3747,0.2734,0.1506,-3.13,2.503
down_5_plus,late_7_plus,low_lt_3_5,789,0.0051,0.0051,0.0051,0.3511,0.3954,0.3321,0.0101,-7.465,6.738
down_4,late_7_plus,mid_3_5_4_5,724,0.0262,0.0414,0.0318,0.3094,0.366,0.2845,0.0691,-3.972,3.464
down_2,late_7_plus,very_high_5_5_plus,677,0.1196,0.1817,0.1433,0.3368,0.4254,0.3353,0.3353,-1.827,1.319
down_1,late_7_plus,low_lt_3_5,642,0.2336,0.3692,0.2804,0.4097,0.4517,0.3692,0.9735,-0.97,0.237
down_4,late_7_plus,high_4_5_5_5,638,0.0141,0.0313,0.0172,0.315,0.3621,0.279,0.0878,-4.053,3.472
down_4,middle_4_6,mid_3_5_4_5,635,0.0898,0.1323,0.1008,0.4079,0.5512,0.4409,0.1134,-4.2,3.113
down_2,early_1_3,very_high_5_5_plus,627,0.3254,0.5024,0.4083,0.4434,0.5965,0.4721,0.4721,-1.671,0.874
down_5_plus,middle_4_6,very_high_5_5_plus,605,0.038,0.038,0.038,0.3686,0.5355,0.4264,0.0397,-6.635,5.461
down_3,middle_4_6,very_high_5_5_plus,588,0.1939,0.2687,0.216,0.3997,0.5629,0.4371,0.2721,-2.866,2.012
down_3,early_1_3,mid_3_5_4_5,586,0.2201,0.3276,0.2679,0.4061,0.5887,0.4198,0.2321,-3.155,2.036
down_2,middle_4_6,low_lt_3_5,563,0.2291,0.373,0.2895,0.4139,0.5453,0.4281,0.4281,-2.387,1.021
down_3,early_1_3,high_4_5_5_5,557,0.2406,0.3842,0.3088,0.4434,0.5925,0.474,0.307,-2.621,1.93
down_3,late_7_plus,very_high_5_5_plus,524,0.0744,0.1145,0.0802,0.3779,0.437,0.3607,0.187,-2.689,2.286
down_5_plus,middle_4_6,low_lt_3_5,512,0.0078,0.0234,0.0098,0.3945,0.584,0.4629,0.041,-7.207,5.529
down_4,middle_4_6,high_4_5_5_5,498,0.0863,0.1486,0.1104,0.4177,0.5703,0.4799,0.1667,-3.994,2.849
down_2,late_7_plus,low_lt_3_5,489,0.1554,0.1943,0.1656,0.3456,0.3661,0.319,0.319,-1.753,1.215
down_2,early_1_3,low_lt_3_5,466,0.1931,0.4721,0.3155,0.3798,0.53,0.4614,0.4614,-3.238,1.017
down_3,late_7_plus,low_lt_3_5,424,0.0778,0.1132,0.0778,0.3325,0.3656,0.2925,0.1792,-2.936,2.363
down_4,late_7_plus,very_high_5_5_plus,405,0.0148,0.0247,0.0148,0.3383,0.4025,0.3086,0.0593,-3.923,3.464
down_3,middle_4_6,low_lt_3_5,398,0.1407,0.206,0.1583,0.4347,0.5879,0.4573,0.2688,-3.573,2.063
down_4,middle_4_6,very_high_5_5_plus,396,0.0732,0.1035,0.0758,0.3965,0.5303,0.3838,0.1212,-4.591,3.187
down_4,late_7_plus,low_lt_3_5,342,0.0526,0.0614,0.0556,0.3626,0.4006,0.307,0.0994,-3.912,3.371
down_5_plus,early_1_3,mid_3_5_4_5,342,0.0439,0.1082,0.0906,0.4327,0.6023,0.4737,0.0439,-6.073,5.126
down_3,early_1_3,very_high_5_5_plus,337,0.2315,0.4036,0.2819,0.4837,0.5935,0.5074,0.3205,-2.454,1.846
down_4,early_1_3,mid_3_5_4_5,328,0.1585,0.2652,0.2073,0.503,0.6433,0.497,0.1768,-4.006,2.866
down_5_plus,early_1_3,high_4_5_5_5,318,0.0975,0.1289,0.1101,0.4654,0.6635,0.4811,0.0723,-6.925,5.358
down_4,middle_4_6,low_lt_3_5,285,0.1123,0.1719,0.1298,0.4421,0.5754,0.4702,0.1719,-4.242,2.979
