deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,50_55,1595,0.4307,0.6934,0.5643,0.4031,0.5542,0.4671,0.9661,-0.889,-0.004
down_1,middle_4_6,50_55,1568,0.3967,0.5938,0.4751,0.4088,0.5708,0.4758,0.9726,-0.823,-0.061
down_1,early_1_3,45_50,1438,0.363,0.614,0.468,0.411,0.5661,0.4534,0.9527,-1.323,0.033
down_5_plus,late_7_plus,50_55,1405,0.0057,0.0085,0.0078,0.3587,0.4064,0.3196,0.0171,-7.266,6.572
down_1,middle_4_6,45_50,1371,0.3275,0.5193,0.3844,0.3961,0.547,0.426,0.9745,-1.136,0.071
down_5_plus,late_7_plus,45_50,1339,0.0037,0.0075,0.0037,0.3323,0.4018,0.3226,0.0134,-7.423,6.801
down_1,late_7_plus,50_55,1126,0.2025,0.3117,0.2291,0.3268,0.3694,0.3117,0.9778,-1.017,0.353
down_1,late_7_plus,45_50,1087,0.1757,0.2668,0.1987,0.2677,0.3165,0.2668,0.9742,-0.983,0.465
down_2,middle_4_6,45_50,1086,0.2072,0.3471,0.2523,0.3858,0.5193,0.4134,0.4134,-2.091,1.074
down_2,middle_4_6,50_55,1049,0.2336,0.4013,0.3022,0.4309,0.5834,0.4728,0.4728,-2.096,0.894
down_1,early_1_3,40_45,927,0.3344,0.5998,0.4779,0.3927,0.5545,0.4455,0.9493,-1.389,0.168
down_2,late_7_plus,45_50,880,0.0909,0.1761,0.1102,0.317,0.3784,0.3284,0.3284,-1.972,1.357
down_2,late_7_plus,50_55,870,0.1103,0.192,0.1322,0.3356,0.4034,0.346,0.346,-1.976,1.272
down_5_plus,middle_4_6,45_50,870,0.031,0.0437,0.0345,0.4253,0.554,0.4299,0.0322,-6.908,5.81
down_5_plus,late_7_plus,40_45,866,0.0104,0.0127,0.0104,0.3568,0.4053,0.3603,0.03,-6.657,6.167
down_1,early_1_3,55_60,820,0.411,0.6756,0.5463,0.4024,0.572,0.4683,0.9524,-0.739,0.017
down_1,middle_4_6,40_45,804,0.2973,0.5012,0.3868,0.3968,0.5286,0.4179,0.9689,-1.248,0.127
down_5_plus,middle_4_6,50_55,796,0.0201,0.0427,0.0302,0.3932,0.5704,0.4523,0.049,-6.627,5.467
down_2,early_1_3,45_50,789,0.2471,0.4322,0.3181,0.3764,0.5298,0.4246,0.4246,-2.38,1.167
down_1,middle_4_6,55_60,763,0.3788,0.578,0.4666,0.4128,0.5544,0.4522,0.979,-0.883,-0.033
down_3,middle_4_6,50_55,756,0.1495,0.2487,0.1931,0.3981,0.5556,0.4233,0.2698,-3.287,1.954
down_5_plus,late_7_plus,55_60,730,0.0,0.0,0.0,0.3027,0.3438,0.2671,0.0027,-6.989,6.488
down_1,late_7_plus,40_45,718,0.1922,0.2827,0.2103,0.2967,0.3649,0.2827,0.9735,-1.123,0.444
down_2,early_1_3,50_55,700,0.2543,0.4514,0.3557,0.3571,0.5286,0.44,0.44,-2.436,1.026
down_3,middle_4_6,45_50,692,0.0954,0.1604,0.1069,0.3988,0.5159,0.4162,0.2442,-3.592,2.118
