opponent_l10_allowed_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
high_4_5_5_5,15215,0.183,0.3002,0.2292,0.3947,0.5146,0.4121,0.4626,-2.97,2.041
mid_3_5_4_5,14445,0.1872,0.3018,0.2368,0.3976,0.5156,0.4127,0.4674,-2.969,2.088
very_high_5_5_plus,8735,0.2085,0.3135,0.2541,0.3935,0.5143,0.4157,0.4722,-2.806,2.05
low_lt_3_5,7071,0.1536,0.2553,0.1932,0.3513,0.4574,0.357,0.4127,-3.717,2.472
missing,236,0.161,0.3178,0.2331,0.4237,0.4958,0.4364,0.4873,-2.233,1.521
