deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,middle_4_6,45_50,1592,0.2933,0.5101,0.3775,0.375,0.5446,0.4045,0.9755,-1.352,0.151
down_5_plus,late_7_plus,45_50,1503,0.006,0.01,0.0073,0.3413,0.4019,0.322,0.0166,-6.947,6.427
down_1,early_1_3,45_50,1488,0.3233,0.6136,0.455,0.3837,0.5302,0.4093,0.9563,-1.295,0.115
down_1,middle_4_6,50_55,1447,0.3822,0.5902,0.4762,0.4029,0.5888,0.4692,0.9786,-0.808,-0.105
down_1,early_1_3,50_55,1431,0.3578,0.6003,0.4759,0.3599,0.5136,0.3816,0.9455,-1.459,0.113
down_5_plus,late_7_plus,50_55,1341,0.0037,0.0037,0.0037,0.3229,0.3587,0.311,0.0157,-6.734,6.228
down_1,late_7_plus,45_50,1299,0.2109,0.2964,0.2317,0.311,0.3518,0.2964,0.9731,-0.952,0.392
down_2,middle_4_6,45_50,1175,0.1966,0.3251,0.2502,0.4085,0.543,0.4409,0.4409,-2.134,1.065
down_2,middle_4_6,50_55,1116,0.233,0.3754,0.2912,0.4265,0.5753,0.4633,0.4633,-2.089,1.022
down_1,late_7_plus,50_55,1062,0.2354,0.3503,0.2608,0.3738,0.4379,0.3503,0.9718,-0.866,0.266
down_1,middle_4_6,40_45,1038,0.3276,0.5434,0.3748,0.3921,0.5385,0.4355,0.9798,-1.081,0.023
down_1,early_1_3,40_45,1022,0.3552,0.6301,0.4491,0.3796,0.5294,0.409,0.9579,-1.29,0.134
down_5_plus,middle_4_6,45_50,1009,0.0337,0.0496,0.0426,0.3409,0.4896,0.3875,0.0357,-6.422,5.485
down_2,late_7_plus,45_50,971,0.0917,0.1401,0.1009,0.3244,0.3728,0.3203,0.3203,-1.99,1.448
down_5_plus,late_7_plus,40_45,947,0.0084,0.0127,0.0084,0.3178,0.3865,0.2978,0.0359,-6.724,6.249
down_5_plus,middle_4_6,50_55,894,0.0369,0.0526,0.0447,0.4072,0.538,0.4374,0.0537,-6.666,5.559
down_2,late_7_plus,50_55,883,0.1438,0.1857,0.1563,0.3284,0.3907,0.3114,0.3114,-1.925,1.33
down_2,early_1_3,45_50,843,0.2456,0.4223,0.3262,0.3737,0.5338,0.4199,0.4199,-2.262,1.123
down_3,middle_4_6,45_50,841,0.1011,0.1938,0.1427,0.3853,0.5089,0.4209,0.2545,-3.29,2.059
down_3,late_7_plus,45_50,837,0.0514,0.0741,0.055,0.319,0.3728,0.3082,0.1481,-2.955,2.453
down_2,early_1_3,50_55,820,0.2573,0.4829,0.3561,0.3537,0.5329,0.4159,0.4159,-2.198,1.051
down_3,middle_4_6,50_55,810,0.1123,0.1728,0.1333,0.4012,0.5123,0.4185,0.2284,-3.426,2.102
down_2,middle_4_6,40_45,795,0.205,0.3208,0.2516,0.3648,0.5371,0.4013,0.4013,-2.234,1.162
down_1,late_7_plus,40_45,777,0.2355,0.3436,0.2523,0.3655,0.417,0.3436,0.9665,-0.923,0.311
down_3,late_7_plus,50_55,698,0.0415,0.0559,0.0458,0.2937,0.3467,0.2994,0.1175,-3.092,2.474
down_1,early_1_3,55_60,683,0.3719,0.6457,0.5081,0.4641,0.6032,0.4993,0.9414,-0.909,-0.161
down_5_plus,late_7_plus,55_60,677,0.0133,0.0281,0.0266,0.3294,0.3767,0.3309,0.0502,-6.815,6.129
down_2,late_7_plus,40_45,660,0.1197,0.1758,0.1318,0.3364,0.3788,0.3106,0.3106,-1.829,1.374
down_4,late_7_plus,45_50,631,0.0206,0.0333,0.0238,0.3471,0.4041,0.3661,0.0887,-3.846,3.349
