deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,50_55,1900,0.4105,0.6695,0.5221,0.4153,0.5674,0.4579,0.9605,-0.875,-0.013
down_1,middle_4_6,50_55,1807,0.3968,0.6038,0.4698,0.4344,0.5905,0.4842,0.9701,-0.67,-0.12
down_5_plus,late_7_plus,50_55,1505,0.0027,0.006,0.0047,0.3787,0.4425,0.3787,0.0246,-6.825,6.252
down_1,late_7_plus,50_55,1428,0.2101,0.3298,0.2367,0.3354,0.388,0.3298,0.9734,-0.972,0.373
down_2,middle_4_6,50_55,1421,0.2442,0.3821,0.2977,0.4483,0.5968,0.4764,0.4764,-1.835,0.844
down_1,early_1_3,45_50,1297,0.3878,0.6307,0.5081,0.4032,0.5482,0.4179,0.9584,-1.399,0.107
down_1,middle_4_6,45_50,1296,0.3434,0.5548,0.4313,0.3943,0.5502,0.446,0.9784,-1.145,0.014
down_5_plus,late_7_plus,45_50,1237,0.0105,0.0137,0.0105,0.3226,0.3719,0.291,0.0154,-7.243,6.528
down_2,late_7_plus,50_55,1172,0.1084,0.1681,0.1229,0.3362,0.4019,0.3379,0.3379,-1.827,1.334
down_1,late_7_plus,45_50,1064,0.2716,0.3741,0.312,0.3853,0.4286,0.3741,0.9756,-0.813,0.201
down_5_plus,middle_4_6,50_55,1024,0.0381,0.0586,0.0547,0.4141,0.5918,0.4746,0.0566,-6.618,5.455
down_2,early_1_3,50_55,1007,0.3456,0.5084,0.4032,0.3992,0.5869,0.4846,0.4846,-1.563,0.884
down_3,middle_4_6,50_55,988,0.166,0.2611,0.1923,0.4241,0.5789,0.4626,0.2611,-2.82,1.992
down_2,middle_4_6,45_50,907,0.2205,0.3837,0.2889,0.4068,0.5469,0.4421,0.4421,-2.228,0.981
down_3,late_7_plus,50_55,862,0.0557,0.0789,0.0568,0.3434,0.3956,0.319,0.181,-2.838,2.385
down_2,late_7_plus,45_50,852,0.1291,0.1854,0.1479,0.3439,0.4038,0.3275,0.3275,-1.873,1.358
down_5_plus,middle_4_6,45_50,792,0.0354,0.0518,0.0366,0.3687,0.5429,0.4457,0.0391,-6.501,5.251
down_2,early_1_3,45_50,762,0.2598,0.4987,0.3727,0.4147,0.5486,0.4488,0.4488,-2.444,1.029
down_4,late_7_plus,50_55,744,0.0242,0.0323,0.0242,0.3414,0.4046,0.3011,0.086,-3.809,3.418
