l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
mid_3_5_4_5,15136,0.176,0.2853,0.2209,0.3833,0.5045,0.4022,0.4353,-3.21,2.257
high_4_5_5_5,14009,0.1894,0.299,0.237,0.3907,0.5072,0.403,0.4672,-2.932,2.065
very_high_5_5_plus,9337,0.2022,0.3106,0.2415,0.3962,0.5137,0.4156,0.4833,-2.742,1.939
low_lt_3_5,6984,0.1704,0.2954,0.2255,0.386,0.4964,0.3972,0.4562,-3.38,2.206
missing,236,0.161,0.3178,0.2331,0.4237,0.4958,0.4364,0.4873,-2.233,1.521
