team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
50_55,15208,0.1985,0.3283,0.2416,0.3774,0.4946,0.4043,0.5045,-2.685,1.875
45_50,11308,0.1725,0.2779,0.2137,0.3609,0.4717,0.3831,0.4461,-3.396,2.342
55_60,6579,0.1956,0.3111,0.2453,0.3719,0.4899,0.4052,0.4724,-2.923,2.039
40_45,5837,0.1311,0.2186,0.1729,0.3617,0.4811,0.3721,0.3997,-3.473,2.487
lt_40,3982,0.1399,0.2318,0.176,0.3654,0.4784,0.3737,0.386,-3.795,2.597
60_plus,1991,0.1703,0.2546,0.2084,0.3722,0.4867,0.3767,0.4415,-2.889,2.064
