deficit_bucket,inning_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,5257,0.3827,0.6371,0.5106,0.4141,0.5632,0.4392,0.9583,-1.244,0.023
down_1,middle_4_6,5216,0.3455,0.5579,0.4327,0.4026,0.5596,0.4492,0.9732,-1.037,-0.004
down_5_plus,late_7_plus,4855,0.0054,0.0072,0.006,0.3574,0.4122,0.3429,0.0185,-7.102,6.481
down_1,late_7_plus,4144,0.2266,0.3313,0.2599,0.3448,0.3924,0.3313,0.9718,-0.918,0.316
down_2,middle_4_6,3892,0.2312,0.381,0.2891,0.426,0.5748,0.4599,0.4599,-2.054,0.914
down_2,late_7_plus,3321,0.1186,0.174,0.1328,0.3342,0.3927,0.3219,0.3219,-1.886,1.347
down_5_plus,middle_4_6,3231,0.0313,0.0508,0.0387,0.4002,0.5772,0.4506,0.0501,-6.796,5.533
down_2,early_1_3,2917,0.2989,0.505,0.3949,0.432,0.5883,0.4758,0.4758,-2.078,0.939
down_3,middle_4_6,2813,0.1585,0.2471,0.1856,0.4117,0.5635,0.449,0.2663,-3.045,2.005
down_3,late_7_plus,2579,0.0613,0.0954,0.0682,0.3373,0.3889,0.3075,0.1706,-2.941,2.382
down_4,late_7_plus,2125,0.0245,0.0381,0.0278,0.3233,0.3751,0.2894,0.0776,-3.978,3.456
down_4,middle_4_6,1827,0.0887,0.1363,0.1024,0.4138,0.5556,0.4439,0.1385,-4.223,3.035
down_3,early_1_3,1690,0.226,0.3657,0.2852,0.4385,0.5964,0.458,0.2817,-2.845,1.96
down_5_plus,early_1_3,921,0.0641,0.1042,0.0858,0.4332,0.6113,0.4734,0.0543,-6.417,5.194
down_4,early_1_3,914,0.1411,0.2144,0.1674,0.4344,0.57,0.4431,0.1915,-4.202,2.915
