deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,middle_4_6,45_50,1681,0.3248,0.5592,0.4218,0.4111,0.58,0.4474,0.9786,-1.089,0.034
down_5_plus,late_7_plus,45_50,1568,0.0077,0.0096,0.0089,0.3265,0.3909,0.3176,0.0242,-6.77,6.221
down_1,early_1_3,45_50,1563,0.3448,0.6116,0.4766,0.3781,0.5304,0.4063,0.9475,-1.344,0.11
down_1,middle_4_6,50_55,1530,0.3327,0.5046,0.3928,0.3922,0.5621,0.4072,0.9765,-1.141,0.039
down_1,early_1_3,50_55,1483,0.3715,0.646,0.4916,0.3837,0.5327,0.4255,0.9548,-1.12,0.02
down_5_plus,late_7_plus,50_55,1366,0.0037,0.0102,0.0102,0.3031,0.3382,0.2826,0.0242,-6.93,6.4
down_1,late_7_plus,45_50,1354,0.24,0.3471,0.2733,0.3656,0.4151,0.3471,0.9764,-0.838,0.264
down_2,middle_4_6,45_50,1334,0.2219,0.3748,0.2879,0.4183,0.5735,0.455,0.455,-2.064,1.007
down_1,late_7_plus,50_55,1157,0.2195,0.3155,0.2325,0.3345,0.3803,0.3155,0.9723,-0.932,0.336
down_2,middle_4_6,50_55,1079,0.2391,0.3587,0.2762,0.4022,0.5551,0.431,0.431,-2.132,1.095
down_5_plus,middle_4_6,45_50,1035,0.0367,0.0425,0.0415,0.3729,0.515,0.4193,0.029,-6.32,5.524
down_2,late_7_plus,45_50,1003,0.1196,0.1705,0.1376,0.3559,0.4217,0.3519,0.3519,-1.896,1.342
down_2,late_7_plus,50_55,979,0.141,0.2022,0.145,0.3483,0.4035,0.3299,0.3299,-1.896,1.289
down_3,middle_4_6,45_50,954,0.1384,0.2275,0.173,0.4403,0.5618,0.4528,0.2673,-3.267,1.99
down_2,early_1_3,45_50,951,0.2787,0.4911,0.3849,0.3628,0.5289,0.4196,0.4196,-2.09,1.027
down_5_plus,middle_4_6,50_55,900,0.0233,0.0411,0.0311,0.3856,0.5256,0.4222,0.0344,-6.82,5.681
down_1,early_1_3,55_60,819,0.4151,0.6593,0.5116,0.4408,0.5971,0.4737,0.967,-0.785,-0.098
down_3,late_7_plus,45_50,817,0.0539,0.0796,0.0649,0.3231,0.3745,0.3121,0.164,-2.982,2.397
down_1,middle_4_6,55_60,777,0.3964,0.6139,0.4903,0.4427,0.601,0.5071,0.9678,-0.649,-0.229
down_2,early_1_3,50_55,775,0.2658,0.4374,0.3303,0.3871,0.5626,0.4039,0.4039,-2.382,1.107
down_3,late_7_plus,50_55,772,0.0466,0.0751,0.0531,0.3497,0.408,0.3562,0.1399,-2.937,2.392
down_3,middle_4_6,50_55,761,0.1143,0.1892,0.1406,0.4008,0.5322,0.3968,0.2221,-3.436,2.192
down_5_plus,late_7_plus,55_60,690,0.0072,0.0072,0.0072,0.3478,0.4043,0.3493,0.0362,-6.5,5.981
