avg_final_margin,avg_next_2_innings_opp_runs,avg_next_2_innings_team_runs,count,deficit_bucket,eventually_won_rate,gave_up_tie_or_lead_rate,held_to_win_rate,inning_bucket,lead_bucket,lead_cut_to_1_next_2_rate,lead_reduced_next_2_rate,note,offense_form_bucket,opponent_run_prevention_bucket,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,opponent_took_lead_later_rate,reduced_deficit_next_2_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,source,team_strength_bucket,tied_or_led_later_rate,took_lead_later_rate,within_1_next_2_rate
1.955,1.352,1.394,1240,,,0.3056,0.8016,middle_6,up_2,0.4323,0.4323,leader_under_pressure,,,0.3903,0.5379,0.2387,,,,lead_protection_by_lead_inning.csv,,,,
1.248,1.271,1.432,1234,,,0.5543,0.671,f5_1_5,up_1,0.9692,0.4206,leader_under_pressure,,,0.3744,0.5324,0.4165,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
1.059,1.365,1.447,1195,,,0.6477,0.6017,early_1_3,up_1,0.9506,0.4477,leader_under_pressure,,,0.4209,0.5665,0.5113,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
4.316,1.372,1.562,1143,,,0.1557,0.9029,f5_1_5,up_4,0.1382,0.4558,leader_under_pressure,,,0.4156,0.5608,0.112,,,,lead_protection_by_lead_inning.csv,,,,
-4.316,1.562,1.372,1143,down_4,0.0971,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4558,0.4156,0.5608,comeback_by_deficit_inning.csv,,0.1557,0.112,0.1382
,,,1066,,0.349,,,f5_1_5,,,,high_score_next_2_rebound,50_55,,,,,,0.3856,0.5572,response_after_allowed_by_inning_offense.csv,,,,
-1.03,1.342,1.413,1046,down_1,0.3566,,,f5_1_5,,,,high_tie_or_lead_rebound,,45_50,,,,0.4943,0.4455,0.6004,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.6176,0.4474,0.9723
-0.871,1.371,1.348,1024,down_1,0.375,,,f5_1_5,,,,high_tie_or_lead_rebound,,50_55,,,,0.4434,0.3818,0.5449,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5879,0.4795,0.9766
-1.563,1.291,1.51,1007,down_2,0.3456,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4846,0.3992,0.5869,comeback_by_deficit_inning_strength.csv,50_55,0.5084,0.4032,0.4846
2.998,1.344,1.457,981,,,0.1978,0.8695,middle_6,up_3,0.2589,0.4506,leader_under_pressure,,,0.4149,0.5668,0.1498,,,,lead_protection_by_lead_inning.csv,,,,
-2.998,1.457,1.344,981,down_3,0.1305,,,middle_6,,,,high_score_next_2_rebound,,,,,,0.4506,0.4149,0.5668,comeback_by_deficit_inning.csv,,0.1978,0.1498,0.2589
-1.816,1.395,1.552,977,down_2,0.2631,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.479,0.4688,0.609,comeback_by_deficit_inning_strength.csv,50_55,0.4166,0.3214,0.479
2.406,1.378,1.608,939,,,0.4888,0.721,early_1_3,up_2,0.4867,0.4867,leader_under_pressure,,,0.4388,0.5911,0.3706,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
2.154,1.505,1.4,933,,,0.4202,0.7428,f5_1_5,up_2,0.4791,0.4791,leader_under_pressure,,,0.4362,0.5927,0.3215,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
6.417,1.317,1.574,921,,,0.1042,0.9359,early_1_3,up_5_plus,0.0543,0.4734,leader_under_pressure,,,0.4332,0.6113,0.0858,,,,lead_protection_by_lead_inning.csv,,,,
-6.417,1.574,1.317,921,down_5_plus,0.0641,,,early_1_3,,,,high_score_next_2_rebound,,,,,,0.4734,0.4332,0.6113,comeback_by_deficit_inning.csv,,0.1042,0.0858,0.0543
4.202,1.46,1.516,914,,,0.2144,0.8589,early_1_3,up_4,0.1915,0.4431,leader_under_pressure,,,0.4344,0.57,0.1674,,,,lead_protection_by_lead_inning.csv,,,,
-4.202,1.516,1.46,914,down_4,0.1411,,,early_1_3,,,,high_score_next_2_rebound,,,,,,0.4431,0.4344,0.57,comeback_by_deficit_inning.csv,,0.2144,0.1674,0.1915
0.917,1.331,1.499,907,,,0.5634,0.6615,f5_1_5,up_1,0.9724,0.4432,leader_under_pressure,,,0.4157,0.5579,0.4487,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-1.721,1.58,1.393,890,down_1,0.3393,,,early_1_3,,,,high_tie_or_lead_rebound,,55_60,,,,0.4202,0.4124,0.5472,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5899,0.491,0.9607
-1.159,1.484,1.322,880,down_1,0.35,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4443,0.3955,0.5466,comeback_by_deficit_inning_strength.csv,45_50,0.575,0.4398,0.9773
,,,860,,0.3721,,,early_1_3,,,,high_score_next_2_rebound,55_60,,,,,,0.4337,0.586,response_after_allowed_by_inning_offense.csv,,,,
-2.084,1.588,1.586,844,down_2,0.295,,,early_1_3,,,,high_tie_or_lead_rebound,,45_50,,,,0.5166,0.4893,0.6303,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4964,0.4028,0.5166
-1.837,1.363,1.561,823,down_2,0.3038,,,early_1_3,,,,high_tie_or_lead_rebound,,50_55,,,,0.5067,0.4313,0.6233,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5358,0.4241,0.5067
-2.099,1.35,1.479,820,down_2,0.2549,,,f5_1_5,,,,high_tie_or_lead_rebound,,50_55,,,,0.4793,0.4561,0.6037,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4183,0.328,0.4793
-2.444,1.462,1.331,762,down_2,0.2598,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4488,0.4147,0.5486,comeback_by_deficit_inning_strength.csv,45_50,0.4987,0.3727,0.4488
1.996,1.416,1.422,733,,,0.4952,0.6971,early_1_3,up_2,0.4816,0.4816,leader_under_pressure,,,0.4202,0.5894,0.4052,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
1.541,1.415,1.651,708,,,0.5975,0.6568,early_1_3,up_1,0.9605,0.4153,leader_under_pressure,,,0.4237,0.5706,0.476,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-2.194,1.488,1.581,707,down_2,0.2419,,,f5_1_5,,,,high_tie_or_lead_rebound,,45_50,,,,0.5021,0.4639,0.6351,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4144,0.314,0.5021
-0.967,1.558,1.342,704,down_1,0.3935,,,early_1_3,,,,high_tie_or_lead_rebound,,40_45,,,,0.4545,0.4375,0.5724,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.6378,0.517,0.9588
4.067,1.278,1.532,684,,,0.1038,0.9254,middle_6,up_4,0.1389,0.424,leader_under_pressure,,,0.4108,0.5468,0.0863,,,,lead_protection_by_lead_inning.csv,,,,
7.213,1.364,1.693,681,,,0.0573,0.9633,f5_1_5,up_5_plus,0.0426,0.4581,leader_under_pressure,,,0.4023,0.5859,0.0455,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
1.941,1.369,1.374,680,,,0.4088,0.7426,f5_1_5,up_2,0.4691,0.4691,leader_under_pressure,,,0.4368,0.5868,0.3235,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
3.098,1.353,1.361,646,,,0.2957,0.839,f5_1_5,up_3,0.2879,0.4675,leader_under_pressure,,,0.4334,0.5882,0.1997,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-0.831,1.79,1.475,638,down_1,0.4279,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.442,0.4326,0.5643,comeback_by_deficit_inning_strength.csv,55_60,0.6364,0.5611,0.9498
-2.813,1.496,1.351,635,down_3,0.1827,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4693,0.4126,0.5669,comeback_by_deficit_inning_strength.csv,50_55,0.2929,0.2126,0.2772
-2.479,1.457,1.443,632,down_3,0.2405,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4557,0.4351,0.5791,comeback_by_deficit_inning_strength.csv,50_55,0.4035,0.2943,0.2848
-2.375,1.423,1.332,614,down_2,0.2248,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4593,0.4267,0.5782,comeback_by_deficit_inning_strength.csv,45_50,0.4121,0.3029,0.4593
-1.639,1.662,1.144,613,down_1,0.2953,,,f5_1_5,,,,high_tie_or_lead_rebound,,55_60,,,,0.3817,0.3409,0.4959,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4976,0.3687,0.9608
1.095,0.879,0.977,603,,,0.3798,0.7546,late_7_plus,up_1,0.9751,0.3798,leader_under_pressure,,,0.4113,0.4693,0.2769,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-6.451,1.523,1.422,597,down_5_plus,0.0503,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.474,0.3886,0.5779,comeback_by_deficit_inning_strength.csv,50_55,0.0737,0.0704,0.0653
3.173,1.334,1.458,577,,,0.3466,0.8024,early_1_3,up_3,0.279,0.4281,leader_under_pressure,,,0.3899,0.5459,0.26,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
1.129,1.195,1.352,565,,,0.5097,0.685,middle_6,up_1,0.9699,0.4425,leader_under_pressure,,,0.3858,0.5204,0.3841,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-0.711,1.177,1.385,558,down_1,0.3728,,,middle_6,,,,high_tie_or_lead_rebound,,,,,,0.4767,0.4337,0.5645,comeback_by_deficit_inning_strength.csv,50_55,0.5538,0.4319,0.9677
0.268,1.648,1.33,549,,,0.6867,0.5556,early_1_3,up_1,0.9508,0.4936,leader_under_pressure,,,0.4481,0.5847,0.5556,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
-1.761,1.537,1.304,540,down_1,0.3333,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4407,0.4352,0.563,comeback_by_deficit_inning_strength.csv,40_45,0.6204,0.5019,0.9685
-1.985,1.487,1.285,536,down_2,0.2463,,,f5_1_5,,,,high_tie_or_lead_rebound,,55_60,,,,0.4496,0.4086,0.5653,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4254,0.3041,0.4496
-2.259,1.802,1.234,529,down_1,0.2665,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.3819,0.3667,0.5595,comeback_by_deficit_inning_strength.csv,lt_40,0.5198,0.4121,0.9527
,,,528,,0.3163,,,middle_6,,,,high_score_next_2_rebound,45_50,,,,,,0.3902,0.5701,response_after_allowed_by_inning_offense.csv,,,,
-6.854,1.65,1.362,506,down_5_plus,0.0415,,,f5_1_5,,,,high_score_next_2_rebound,,50_55,,,,0.4704,0.4269,0.6344,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0573,0.0474,0.0534
-2.014,1.331,1.391,496,down_2,0.3085,,,early_1_3,,,,high_tie_or_lead_rebound,,55_60,,,,0.4738,0.4294,0.5726,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5383,0.3851,0.4738
1.858,1.307,1.746,485,,,0.5856,0.6866,early_1_3,up_1,0.9588,0.4144,leader_under_pressure,,,0.367,0.5258,0.4289,,,,lead_protection_by_lead_inning_team_strength.csv,60_plus,,,
-1.006,1.453,1.449,483,down_1,0.3333,,,f5_1_5,,,,high_tie_or_lead_rebound,,40_45,,,,0.4948,0.4762,0.6025,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5797,0.4472,0.9834
-2.967,1.5,1.371,482,down_3,0.1743,,,f5_1_5,,,,high_score_next_2_rebound,,50_55,,,,0.4481,0.4191,0.5705,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.2863,0.2012,0.278
-2.65,1.462,1.637,480,down_3,0.2062,,,early_1_3,,,,high_score_next_2_rebound,,45_50,,,,0.4771,0.4417,0.6125,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.3521,0.2687,0.3312
1.572,1.31,1.597,477,,,0.5388,0.6855,f5_1_5,up_1,0.9727,0.4235,leader_under_pressure,,,0.3941,0.5618,0.4214,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-6.277,1.264,1.476,477,down_5_plus,0.0356,,,f5_1_5,,,,high_score_next_2_rebound,,45_50,,,,0.4759,0.4256,0.5807,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0587,0.0482,0.0503
-2.977,1.528,1.496,472,down_3,0.2119,,,early_1_3,,,,high_score_next_2_rebound,,50_55,,,,0.4597,0.4661,0.6229,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.3686,0.2839,0.2818
-0.918,1.314,1.296,452,down_1,0.3473,,,middle_6,,,,high_tie_or_lead_rebound,,50_55,,,,0.4668,0.4159,0.5708,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5531,0.4491,0.969
7.029,1.264,1.601,451,,,0.0288,0.9712,middle_6,up_5_plus,0.0244,0.4812,leader_under_pressure,,,0.408,0.5809,0.0288,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-1.002,1.333,1.259,451,down_1,0.3171,,,middle_6,,,,high_tie_or_lead_rebound,,45_50,,,,0.459,0.3792,0.5499,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5299,0.3969,0.969
2.069,1.152,1.333,448,,,0.3237,0.8058,middle_6,up_2,0.4062,0.4062,leader_under_pressure,,,0.3705,0.4866,0.2411,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
,,,447,,0.3647,,,early_1_3,,,,high_score_next_2_rebound,60_plus,,,,,,0.4519,0.5906,response_after_allowed_by_inning_offense.csv,,,,
1.613,1.699,1.366,445,,,0.5663,0.6899,early_1_3,up_2,0.4921,0.4921,leader_under_pressure,,,0.4292,0.6022,0.4067,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-1.878,1.39,1.468,444,down_2,0.2027,,,middle_6,,,,high_score_next_2_rebound,,,,,,0.4707,0.4032,0.5698,comeback_by_deficit_inning_strength.csv,50_55,0.3063,0.2455,0.4707
-2.87,1.669,1.449,432,down_3,0.2523,,,early_1_3,,,,high_score_next_2_rebound,,,,,,0.412,0.4282,0.581,comeback_by_deficit_inning_strength.csv,45_50,0.3657,0.2963,0.2407
-1.56,1.642,1.283,427,down_1,0.2974,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.3841,0.3607,0.5246,comeback_by_deficit_inning_strength.csv,40_45,0.5012,0.4239,0.9719
-6.852,1.611,1.33,427,down_5_plus,0.0211,,,middle_6,,,,high_score_next_2_rebound,,,,,,0.4754,0.4496,0.6112,comeback_by_deficit_inning_strength.csv,50_55,0.0375,0.0328,0.0445
-0.694,1.289,1.409,418,down_1,0.3804,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4306,0.3971,0.5526,comeback_by_deficit_inning_strength.csv,55_60,0.5813,0.4737,0.9809
-1.115,1.519,1.308,416,down_1,0.3293,,,middle_6,,,,high_tie_or_lead_rebound,,,,,,0.4495,0.3918,0.5577,comeback_by_deficit_inning_strength.csv,45_50,0.512,0.4135,0.9808
0.946,1.329,1.391,407,,,0.4644,0.6978,middle_6,up_1,0.9803,0.4103,leader_under_pressure,,,0.371,0.5479,0.4029,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
6.217,1.574,1.335,406,,,0.0788,0.9433,f5_1_5,up_5_plus,0.0443,0.4778,leader_under_pressure,,,0.3966,0.6034,0.0567,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
0.616,1.636,1.495,404,,,0.7302,0.5248,early_1_3,up_1,0.9629,0.495,leader_under_pressure,,,0.4703,0.6337,0.6386,,,,lead_protection_by_lead_inning_team_strength.csv,lt_40,,,
4.543,1.337,1.515,400,,,0.155,0.925,f5_1_5,up_4,0.135,0.465,leader_under_pressure,,,0.435,0.57,0.09,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
2.783,1.302,1.294,391,,,0.2583,0.8465,f5_1_5,up_3,0.2506,0.4527,leader_under_pressure,,,0.3504,0.5396,0.1918,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
